,,날짜,강원
0,0,2021-01-01,22
1,1,2021-01-02,30
2,2,2021-01-03,32
3,3,2021-01-04,30
4,4,2021-01-05,25
5,5,2021-01-06,20
6,6,2021-01-07,29
7,7,2021-01-08,16
8,8,2021-01-09,20
9,9,2021-01-10,25
10,10,2021-01-11,31
11,11,2021-01-12,43
12,12,2021-01-13,99
13,13,2021-01-14,82
14,14,2021-01-15,81
15,15,2021-01-16,74
16,16,2021-01-17,20
17,17,2021-01-18,31
18,18,2021-01-19,29
19,19,2021-01-20,47
20,20,2021-01-21,42
21,21,2021-01-22,27
22,22,2021-01-23,10
23,23,2021-01-24,15
24,24,2021-01-25,23
25,25,2021-01-26,25
26,26,2021-01-27,33
27,27,2021-01-28,34
28,28,2021-01-29,20
29,29,2021-01-30,39
30,30,2021-01-31,42
