,날짜,강원
0,2021-06-01,34
1,2021-06-02,38
2,2021-06-03,29
3,2021-06-04,22
4,2021-06-05,37
5,2021-06-06,45
6,2021-06-07,39
7,2021-06-08,29
8,2021-06-09,30
9,2021-06-10,37
10,2021-06-11,22
11,2021-06-12,19
12,2021-06-13,16
13,2021-06-14,16
14,2021-06-15,12
15,2021-06-16,10
16,2021-06-17,15
17,2021-06-18,15
18,2021-06-19,26
19,2021-06-20,35
20,2021-06-21,32
21,2021-06-22,14
22,2021-06-23,13
23,2021-06-24,18
24,2021-06-25,26
25,2021-06-26,21
26,2021-06-27,21
27,2021-06-28,21
28,2021-06-29,21
29,2021-06-30,24
