,Unnamed: 1,날짜,광주
0,0.0,2021-01-01,23
1,1.0,2021-01-02,32
2,2.0,2021-01-03,38
3,3.0,2021-01-04,46
4,4.0,2021-01-05,36
5,5.0,2021-01-06,18
6,6.0,2021-01-07,18
7,7.0,2021-01-08,17
8,8.0,2021-01-09,19
9,9.0,2021-01-10,27
10,10.0,2021-01-11,32
11,11.0,2021-01-12,43
12,12.0,2021-01-13,77
13,13.0,2021-01-14,79
14,14.0,2021-01-15,66
15,15.0,2021-01-16,58
16,16.0,2021-01-17,18
17,17.0,2021-01-18,46
18,18.0,2021-01-19,27
19,19.0,2021-01-20,35
20,20.0,2021-01-21,34
21,21.0,2021-01-22,26
22,22.0,2021-01-23,25
23,23.0,2021-01-24,17
24,24.0,2021-01-25,25
25,25.0,2021-01-26,22
26,26.0,2021-01-27,38
27,27.0,2021-01-28,41
28,28.0,2021-01-29,25
29,29.0,2021-01-30,63
30,30.0,2021-01-31,65
31,,2021-02-01,78
32,,2021-02-02,36
33,,2021-02-03,30
34,,2021-02-04,35
35,,2021-02-05,34
36,,2021-02-06,49
37,,2021-02-07,82
38,,2021-02-08,26
39,,2021-02-09,23
40,,2021-02-10,31
41,,2021-02-11,47
42,,2021-02-12,57
43,,2021-02-13,54
44,,2021-02-14,50
45,,2021-02-15,32
46,,2021-02-16,22
47,,2021-02-17,16
48,,2021-02-18,25
49,,2021-02-19,31
50,,2021-02-20,64
51,,2021-02-21,52
52,,2021-02-22,51
53,,2021-02-23,36
54,,2021-02-24,52
55,,2021-02-25,38
56,,2021-02-26,20
57,,2021-02-27,20
58,,2021-02-28,21
59,,2021-03-01,11
60,,2021-03-02,16
61,,2021-03-03,29
62,,2021-03-04,26
63,,2021-03-05,23
64,,2021-03-06,50
65,,2021-03-07,36
66,,2021-03-08,46
67,,2021-03-09,41
68,,2021-03-10,65
69,,2021-03-11,65
70,,2021-03-12,22
71,,2021-03-13,25
72,,2021-03-14,46
73,,2021-03-15,55
74,,2021-03-16,70
75,,2021-03-17,78
76,,2021-03-18,70
77,,2021-03-19,60
78,,2021-03-20,24
79,,2021-03-21,49
80,,2021-03-22,43
81,,2021-03-23,81
82,,2021-03-24,54
83,,2021-03-25,48
84,,2021-03-26,64
85,,2021-03-27,31
86,,2021-03-28,27
87,,2021-03-29,507
88,,2021-03-30,188
89,,2021-03-31,71
90,,2021-04-01,53
91,,2021-04-02,49
92,,2021-04-03,23
93,,2021-04-04,9
94,,2021-04-05,19
95,,2021-04-06,34
96,,2021-04-07,48
97,,2021-04-08,41
98,,2021-04-09,32
99,,2021-04-10,29
100,,2021-04-11,24
101,,2021-04-12,15
102,,2021-04-13,16
103,,2021-04-14,27
104,,2021-04-15,31
105,,2021-04-16,33
106,,2021-04-17,71
107,,2021-04-18,34
108,,2021-04-19,40
109,,2021-04-20,52
110,,2021-04-21,56
111,,2021-04-22,56
112,,2021-04-23,46
113,,2021-04-24,31
114,,2021-04-25,33
115,,2021-04-26,27
116,,2021-04-27,25
117,,2021-04-28,85
118,,2021-04-29,93
119,,2021-04-30,43
120,,2021-05-01,25
121,,2021-05-02,22
122,,2021-05-03,19
123,,2021-05-04,20
124,,2021-05-05,41
125,,2021-05-06,59
126,,2021-05-07,204
127,,2021-05-08,333
128,,2021-05-09,98
129,,2021-05-10,29
130,,2021-05-11,30
131,,2021-05-12,29
132,,2021-05-13,41
133,,2021-05-14,33
134,,2021-05-15,17
135,,2021-05-16,7
136,,2021-05-17,12
137,,2021-05-18,19
138,,2021-05-19,30
139,,2021-05-20,22
140,,2021-05-21,20
141,,2021-05-22,20
142,,2021-05-23,29
143,,2021-05-24,51
144,,2021-05-25,104
145,,2021-05-26,40
146,,2021-05-27,31
147,,2021-05-28,42
148,,2021-05-29,32
149,,2021-05-30,33
150,,2021-05-31,37
151,,2021-06-01,45
152,,2021-06-02,40
153,,2021-06-03,15
154,,2021-06-04,19
155,,2021-06-05,50
156,,2021-06-06,47
157,,2021-06-07,43
158,,2021-06-08,28
159,,2021-06-09,32
160,,2021-06-10,33
161,,2021-06-11,14
162,,2021-06-12,31
163,,2021-06-13,30
164,,2021-06-14,31
165,,2021-06-15,20
166,,2021-06-16,10
167,,2021-06-17,17
168,,2021-06-18,13
169,,2021-06-19,28
170,,2021-06-20,35
171,,2021-06-21,32
172,,2021-06-22,30
173,,2021-06-23,29
174,,2021-06-24,24
175,,2021-06-25,24
176,,2021-06-26,21
177,,2021-06-27,25
178,,2021-06-28,29
179,,2021-06-29,31
180,,2021-06-30,29
