,날짜,광주
0,2021-04-01,53
1,2021-04-02,49
2,2021-04-03,23
3,2021-04-04,9
4,2021-04-05,19
5,2021-04-06,34
6,2021-04-07,48
7,2021-04-08,41
8,2021-04-09,32
9,2021-04-10,29
10,2021-04-11,24
11,2021-04-12,15
12,2021-04-13,16
13,2021-04-14,27
14,2021-04-15,31
15,2021-04-16,33
16,2021-04-17,71
17,2021-04-18,34
18,2021-04-19,40
19,2021-04-20,52
20,2021-04-21,56
21,2021-04-22,56
22,2021-04-23,46
23,2021-04-24,31
24,2021-04-25,33
25,2021-04-26,27
26,2021-04-27,25
27,2021-04-28,85
28,2021-04-29,93
29,2021-04-30,43
