,Unnamed: 1,날짜,경북
0,0.0,2021-01-01,24
1,1.0,2021-01-02,38
2,2.0,2021-01-03,37
3,3.0,2021-01-04,42
4,4.0,2021-01-05,39
5,5.0,2021-01-06,23
6,6.0,2021-01-07,26
7,7.0,2021-01-08,17
8,8.0,2021-01-09,18
9,9.0,2021-01-10,22
10,10.0,2021-01-11,31
11,11.0,2021-01-12,38
12,12.0,2021-01-13,93
13,13.0,2021-01-14,78
14,14.0,2021-01-15,63
15,15.0,2021-01-16,89
16,16.0,2021-01-17,19
17,17.0,2021-01-18,39
18,18.0,2021-01-19,26
19,19.0,2021-01-20,37
20,20.0,2021-01-21,46
21,21.0,2021-01-22,42
22,22.0,2021-01-23,24
23,23.0,2021-01-24,18
24,24.0,2021-01-25,20
25,25.0,2021-01-26,19
26,26.0,2021-01-27,33
27,27.0,2021-01-28,37
28,28.0,2021-01-29,28
29,29.0,2021-01-30,60
30,30.0,2021-01-31,43
31,,2021-02-01,55
32,,2021-02-02,37
33,,2021-02-03,27
34,,2021-02-04,27
35,,2021-02-05,31
36,,2021-02-06,56
37,,2021-02-07,77
38,,2021-02-08,23
39,,2021-02-09,23
40,,2021-02-10,42
41,,2021-02-11,54
42,,2021-02-12,50
43,,2021-02-13,49
44,,2021-02-14,54
45,,2021-02-15,32
46,,2021-02-16,20
47,,2021-02-17,25
48,,2021-02-18,33
49,,2021-02-19,36
50,,2021-02-20,67
51,,2021-02-21,58
52,,2021-02-22,48
53,,2021-02-23,31
54,,2021-02-24,38
55,,2021-02-25,38
56,,2021-02-26,28
57,,2021-02-27,22
58,,2021-02-28,24
59,,2021-03-01,23
60,,2021-03-02,12
61,,2021-03-03,25
62,,2021-03-04,32
63,,2021-03-05,31
64,,2021-03-06,31
65,,2021-03-07,20
66,,2021-03-08,31
67,,2021-03-09,35
68,,2021-03-10,55
69,,2021-03-11,44
70,,2021-03-12,30
71,,2021-03-13,42
72,,2021-03-14,52
73,,2021-03-15,53
74,,2021-03-16,73
75,,2021-03-17,91
76,,2021-03-18,71
77,,2021-03-19,41
78,,2021-03-20,22
79,,2021-03-21,38
80,,2021-03-22,34
81,,2021-03-23,92
82,,2021-03-24,62
83,,2021-03-25,50
84,,2021-03-26,62
85,,2021-03-27,50
86,,2021-03-28,15
87,,2021-03-29,360
88,,2021-03-30,106
89,,2021-03-31,61
90,,2021-04-01,64
91,,2021-04-02,48
92,,2021-04-03,36
93,,2021-04-04,16
94,,2021-04-05,21
95,,2021-04-06,29
96,,2021-04-07,44
97,,2021-04-08,35
98,,2021-04-09,27
99,,2021-04-10,24
100,,2021-04-11,25
101,,2021-04-12,27
102,,2021-04-13,16
103,,2021-04-14,28
104,,2021-04-15,38
105,,2021-04-16,39
106,,2021-04-17,122
107,,2021-04-18,33
108,,2021-04-19,44
109,,2021-04-20,61
110,,2021-04-21,67
111,,2021-04-22,61
112,,2021-04-23,33
113,,2021-04-24,28
114,,2021-04-25,29
115,,2021-04-26,21
116,,2021-04-27,30
117,,2021-04-28,79
118,,2021-04-29,68
119,,2021-04-30,54
120,,2021-05-01,30
121,,2021-05-02,21
122,,2021-05-03,25
123,,2021-05-04,28
124,,2021-05-05,39
125,,2021-05-06,60
126,,2021-05-07,113
127,,2021-05-08,246
128,,2021-05-09,89
129,,2021-05-10,23
130,,2021-05-11,22
131,,2021-05-12,24
132,,2021-05-13,29
133,,2021-05-14,37
134,,2021-05-15,30
135,,2021-05-16,17
136,,2021-05-17,10
137,,2021-05-18,21
138,,2021-05-19,35
139,,2021-05-20,27
140,,2021-05-21,14
141,,2021-05-22,27
142,,2021-05-23,37
143,,2021-05-24,49
144,,2021-05-25,94
145,,2021-05-26,41
146,,2021-05-27,27
147,,2021-05-28,30
148,,2021-05-29,23
149,,2021-05-30,27
150,,2021-05-31,33
151,,2021-06-01,36
152,,2021-06-02,52
153,,2021-06-03,33
154,,2021-06-04,22
155,,2021-06-05,42
156,,2021-06-06,56
157,,2021-06-07,48
158,,2021-06-08,44
159,,2021-06-09,42
160,,2021-06-10,44
161,,2021-06-11,24
162,,2021-06-12,22
163,,2021-06-13,24
164,,2021-06-14,24
165,,2021-06-15,18
166,,2021-06-16,14
167,,2021-06-17,19
168,,2021-06-18,22
169,,2021-06-19,28
170,,2021-06-20,35
171,,2021-06-21,33
172,,2021-06-22,24
173,,2021-06-23,19
174,,2021-06-24,21
175,,2021-06-25,30
176,,2021-06-26,29
177,,2021-06-27,28
178,,2021-06-28,29
179,,2021-06-29,27
180,,2021-06-30,29
