,,날짜,경북
0,0,2021-01-01,24
1,1,2021-01-02,38
2,2,2021-01-03,37
3,3,2021-01-04,42
4,4,2021-01-05,39
5,5,2021-01-06,23
6,6,2021-01-07,26
7,7,2021-01-08,17
8,8,2021-01-09,18
9,9,2021-01-10,22
10,10,2021-01-11,31
11,11,2021-01-12,38
12,12,2021-01-13,93
13,13,2021-01-14,78
14,14,2021-01-15,63
15,15,2021-01-16,89
16,16,2021-01-17,19
17,17,2021-01-18,39
18,18,2021-01-19,26
19,19,2021-01-20,37
20,20,2021-01-21,46
21,21,2021-01-22,42
22,22,2021-01-23,24
23,23,2021-01-24,18
24,24,2021-01-25,20
25,25,2021-01-26,19
26,26,2021-01-27,33
27,27,2021-01-28,37
28,28,2021-01-29,28
29,29,2021-01-30,60
30,30,2021-01-31,43
