,날짜,경북
0,2021-05-01,30
1,2021-05-02,21
2,2021-05-03,25
3,2021-05-04,28
4,2021-05-05,39
5,2021-05-06,60
6,2021-05-07,113
7,2021-05-08,246
8,2021-05-09,89
9,2021-05-10,23
10,2021-05-11,22
11,2021-05-12,24
12,2021-05-13,29
13,2021-05-14,37
14,2021-05-15,30
15,2021-05-16,17
16,2021-05-17,10
17,2021-05-18,21
18,2021-05-19,35
19,2021-05-20,27
20,2021-05-21,14
21,2021-05-22,27
22,2021-05-23,37
23,2021-05-24,49
24,2021-05-25,94
25,2021-05-26,41
26,2021-05-27,27
27,2021-05-28,30
28,2021-05-29,23
29,2021-05-30,27
30,2021-05-31,33
