,Unnamed: 1,날짜,경기
0,0.0,2021-01-01,30
1,1.0,2021-01-02,36
2,2.0,2021-01-03,42
3,3.0,2021-01-04,42
4,4.0,2021-01-05,30
5,5.0,2021-01-06,29
6,6.0,2021-01-07,30
7,7.0,2021-01-08,20
8,8.0,2021-01-09,26
9,9.0,2021-01-10,32
10,10.0,2021-01-11,51
11,11.0,2021-01-12,61
12,12.0,2021-01-13,102
13,13.0,2021-01-14,83
14,14.0,2021-01-15,79
15,15.0,2021-01-16,55
16,16.0,2021-01-17,20
17,17.0,2021-01-18,39
18,18.0,2021-01-19,33
19,19.0,2021-01-20,49
20,20.0,2021-01-21,55
21,21.0,2021-01-22,39
22,22.0,2021-01-23,13
23,23.0,2021-01-24,14
24,24.0,2021-01-25,29
25,25.0,2021-01-26,38
26,26.0,2021-01-27,43
27,27.0,2021-01-28,36
28,28.0,2021-01-29,25
29,29.0,2021-01-30,56
30,30.0,2021-01-31,58
31,,2021-02-01,71
32,,2021-02-02,32
33,,2021-02-03,34
34,,2021-02-04,24
35,,2021-02-05,30
36,,2021-02-06,66
37,,2021-02-07,81
38,,2021-02-08,27
39,,2021-02-09,27
40,,2021-02-10,37
41,,2021-02-11,69
42,,2021-02-12,90
43,,2021-02-13,95
44,,2021-02-14,93
45,,2021-02-15,49
46,,2021-02-16,22
47,,2021-02-17,39
48,,2021-02-18,44
49,,2021-02-19,46
50,,2021-02-20,69
51,,2021-02-21,72
52,,2021-02-22,59
53,,2021-02-23,56
54,,2021-02-24,59
55,,2021-02-25,66
56,,2021-02-26,39
57,,2021-02-27,20
58,,2021-02-28,28
59,,2021-03-01,17
60,,2021-03-02,12
61,,2021-03-03,41
62,,2021-03-04,46
63,,2021-03-05,41
64,,2021-03-06,31
65,,2021-03-07,26
66,,2021-03-08,49
67,,2021-03-09,54
68,,2021-03-10,84
69,,2021-03-11,116
70,,2021-03-12,82
71,,2021-03-13,52
72,,2021-03-14,73
73,,2021-03-15,78
74,,2021-03-16,104
75,,2021-03-17,103
76,,2021-03-18,103
77,,2021-03-19,73
78,,2021-03-20,35
79,,2021-03-21,46
80,,2021-03-22,41
81,,2021-03-23,87
82,,2021-03-24,65
83,,2021-03-25,65
84,,2021-03-26,104
85,,2021-03-27,62
86,,2021-03-28,18
87,,2021-03-29,332
88,,2021-03-30,148
89,,2021-03-31,52
90,,2021-04-01,52
91,,2021-04-02,49
92,,2021-04-03,33
93,,2021-04-04,10
94,,2021-04-05,23
95,,2021-04-06,46
96,,2021-04-07,57
97,,2021-04-08,39
98,,2021-04-09,34
99,,2021-04-10,35
100,,2021-04-11,49
101,,2021-04-12,38
102,,2021-04-13,16
103,,2021-04-14,29
104,,2021-04-15,46
105,,2021-04-16,88
106,,2021-04-17,90
107,,2021-04-18,32
108,,2021-04-19,53
109,,2021-04-20,68
110,,2021-04-21,77
111,,2021-04-22,78
112,,2021-04-23,45
113,,2021-04-24,26
114,,2021-04-25,28
115,,2021-04-26,31
116,,2021-04-27,38
117,,2021-04-28,68
118,,2021-04-29,76
119,,2021-04-30,35
120,,2021-05-01,27
121,,2021-05-02,17
122,,2021-05-03,33
123,,2021-05-04,30
124,,2021-05-05,50
125,,2021-05-06,75
126,,2021-05-07,365
127,,2021-05-08,466
128,,2021-05-09,66
129,,2021-05-10,22
130,,2021-05-11,22
131,,2021-05-12,25
132,,2021-05-13,49
133,,2021-05-14,58
134,,2021-05-15,43
135,,2021-05-16,8
136,,2021-05-17,12
137,,2021-05-18,30
138,,2021-05-19,37
139,,2021-05-20,31
140,,2021-05-21,14
141,,2021-05-22,26
142,,2021-05-23,34
143,,2021-05-24,127
144,,2021-05-25,100
145,,2021-05-26,46
146,,2021-05-27,44
147,,2021-05-28,39
148,,2021-05-29,24
149,,2021-05-30,29
150,,2021-05-31,36
151,,2021-06-01,42
152,,2021-06-02,52
153,,2021-06-03,35
154,,2021-06-04,30
155,,2021-06-05,53
156,,2021-06-06,63
157,,2021-06-07,44
158,,2021-06-08,44
159,,2021-06-09,49
160,,2021-06-10,58
161,,2021-06-11,22
162,,2021-06-12,26
163,,2021-06-13,31
164,,2021-06-14,38
165,,2021-06-15,30
166,,2021-06-16,13
167,,2021-06-17,19
168,,2021-06-18,19
169,,2021-06-19,47
170,,2021-06-20,57
171,,2021-06-21,47
172,,2021-06-22,32
173,,2021-06-23,23
174,,2021-06-24,36
175,,2021-06-25,43
176,,2021-06-26,24
177,,2021-06-27,24
178,,2021-06-28,28
179,,2021-06-29,36
180,,2021-06-30,43
