,,날짜,경기
0,0,2021-01-01,30
1,1,2021-01-02,36
2,2,2021-01-03,42
3,3,2021-01-04,42
4,4,2021-01-05,30
5,5,2021-01-06,29
6,6,2021-01-07,30
7,7,2021-01-08,20
8,8,2021-01-09,26
9,9,2021-01-10,32
10,10,2021-01-11,51
11,11,2021-01-12,61
12,12,2021-01-13,102
13,13,2021-01-14,83
14,14,2021-01-15,79
15,15,2021-01-16,55
16,16,2021-01-17,20
17,17,2021-01-18,39
18,18,2021-01-19,33
19,19,2021-01-20,49
20,20,2021-01-21,55
21,21,2021-01-22,39
22,22,2021-01-23,13
23,23,2021-01-24,14
24,24,2021-01-25,29
25,25,2021-01-26,38
26,26,2021-01-27,43
27,27,2021-01-28,36
28,28,2021-01-29,25
29,29,2021-01-30,56
30,30,2021-01-31,58
