,날짜,경기
0,2021-03-01,17
1,2021-03-02,12
2,2021-03-03,41
3,2021-03-04,46
4,2021-03-05,41
5,2021-03-06,31
6,2021-03-07,26
7,2021-03-08,49
8,2021-03-09,54
9,2021-03-10,84
10,2021-03-11,116
11,2021-03-12,82
12,2021-03-13,52
13,2021-03-14,73
14,2021-03-15,78
15,2021-03-16,104
16,2021-03-17,103
17,2021-03-18,103
18,2021-03-19,73
19,2021-03-20,35
20,2021-03-21,46
21,2021-03-22,41
22,2021-03-23,87
23,2021-03-24,65
24,2021-03-25,65
25,2021-03-26,104
26,2021-03-27,62
27,2021-03-28,18
28,2021-03-29,332
29,2021-03-30,148
30,2021-03-31,52
