,Unnamed: 1,날짜,경남
0,0.0,2021-01-01,19
1,1.0,2021-01-02,29
2,2.0,2021-01-03,28
3,3.0,2021-01-04,38
4,4.0,2021-01-05,35
5,5.0,2021-01-06,17
6,6.0,2021-01-07,18
7,7.0,2021-01-08,14
8,8.0,2021-01-09,15
9,9.0,2021-01-10,19
10,10.0,2021-01-11,28
11,11.0,2021-01-12,34
12,12.0,2021-01-13,81
13,13.0,2021-01-14,73
14,14.0,2021-01-15,50
15,15.0,2021-01-16,71
16,16.0,2021-01-17,14
17,17.0,2021-01-18,39
18,18.0,2021-01-19,23
19,19.0,2021-01-20,30
20,20.0,2021-01-21,33
21,21.0,2021-01-22,37
22,22.0,2021-01-23,25
23,23.0,2021-01-24,17
24,24.0,2021-01-25,19
25,25.0,2021-01-26,15
26,26.0,2021-01-27,25
27,27.0,2021-01-28,34
28,28.0,2021-01-29,26
29,29.0,2021-01-30,62
30,30.0,2021-01-31,58
31,,2021-02-01,47
32,,2021-02-02,34
33,,2021-02-03,22
34,,2021-02-04,28
35,,2021-02-05,24
36,,2021-02-06,41
37,,2021-02-07,65
38,,2021-02-08,18
39,,2021-02-09,18
40,,2021-02-10,36
41,,2021-02-11,47
42,,2021-02-12,44
43,,2021-02-13,39
44,,2021-02-14,45
45,,2021-02-15,26
46,,2021-02-16,18
47,,2021-02-17,17
48,,2021-02-18,24
49,,2021-02-19,29
50,,2021-02-20,54
51,,2021-02-21,48
52,,2021-02-22,40
53,,2021-02-23,21
54,,2021-02-24,28
55,,2021-02-25,34
56,,2021-02-26,22
57,,2021-02-27,20
58,,2021-02-28,21
59,,2021-03-01,18
60,,2021-03-02,9
61,,2021-03-03,22
62,,2021-03-04,28
63,,2021-03-05,25
64,,2021-03-06,31
65,,2021-03-07,21
66,,2021-03-08,29
67,,2021-03-09,30
68,,2021-03-10,50
69,,2021-03-11,37
70,,2021-03-12,15
71,,2021-03-13,31
72,,2021-03-14,39
73,,2021-03-15,42
74,,2021-03-16,57
75,,2021-03-17,65
76,,2021-03-18,63
77,,2021-03-19,37
78,,2021-03-20,17
79,,2021-03-21,30
80,,2021-03-22,30
81,,2021-03-23,71
82,,2021-03-24,51
83,,2021-03-25,45
84,,2021-03-26,50
85,,2021-03-27,38
86,,2021-03-28,17
87,,2021-03-29,452
88,,2021-03-30,119
89,,2021-03-31,71
90,,2021-04-01,53
91,,2021-04-02,48
92,,2021-04-03,35
93,,2021-04-04,12
94,,2021-04-05,19
95,,2021-04-06,25
96,,2021-04-07,37
97,,2021-04-08,35
98,,2021-04-09,27
99,,2021-04-10,19
100,,2021-04-11,19
101,,2021-04-12,21
102,,2021-04-13,15
103,,2021-04-14,23
104,,2021-04-15,29
105,,2021-04-16,30
106,,2021-04-17,60
107,,2021-04-18,27
108,,2021-04-19,34
109,,2021-04-20,47
110,,2021-04-21,57
111,,2021-04-22,51
112,,2021-04-23,35
113,,2021-04-24,28
114,,2021-04-25,29
115,,2021-04-26,19
116,,2021-04-27,23
117,,2021-04-28,38
118,,2021-04-29,67
119,,2021-04-30,56
120,,2021-05-01,21
121,,2021-05-02,18
122,,2021-05-03,18
123,,2021-05-04,20
124,,2021-05-05,36
125,,2021-05-06,49
126,,2021-05-07,81
127,,2021-05-08,208
128,,2021-05-09,75
129,,2021-05-10,24
130,,2021-05-11,24
131,,2021-05-12,26
132,,2021-05-13,24
133,,2021-05-14,22
134,,2021-05-15,19
135,,2021-05-16,10
136,,2021-05-17,14
137,,2021-05-18,14
138,,2021-05-19,32
139,,2021-05-20,21
140,,2021-05-21,14
141,,2021-05-22,21
142,,2021-05-23,35
143,,2021-05-24,32
144,,2021-05-25,64
145,,2021-05-26,33
146,,2021-05-27,23
147,,2021-05-28,33
148,,2021-05-29,25
149,,2021-05-30,29
150,,2021-05-31,32
151,,2021-06-01,36
152,,2021-06-02,44
153,,2021-06-03,24
154,,2021-06-04,18
155,,2021-06-05,40
156,,2021-06-06,42
157,,2021-06-07,33
158,,2021-06-08,32
159,,2021-06-09,34
160,,2021-06-10,37
161,,2021-06-11,17
162,,2021-06-12,14
163,,2021-06-13,20
164,,2021-06-14,24
165,,2021-06-15,19
166,,2021-06-16,10
167,,2021-06-17,15
168,,2021-06-18,24
169,,2021-06-19,31
170,,2021-06-20,36
171,,2021-06-21,32
172,,2021-06-22,28
173,,2021-06-23,25
174,,2021-06-24,22
175,,2021-06-25,28
176,,2021-06-26,25
177,,2021-06-27,26
178,,2021-06-28,29
179,,2021-06-29,27
180,,2021-06-30,28
