,,날짜,경남
0,0,2021-01-01,19
1,1,2021-01-02,29
2,2,2021-01-03,28
3,3,2021-01-04,38
4,4,2021-01-05,35
5,5,2021-01-06,17
6,6,2021-01-07,18
7,7,2021-01-08,14
8,8,2021-01-09,15
9,9,2021-01-10,19
10,10,2021-01-11,28
11,11,2021-01-12,34
12,12,2021-01-13,81
13,13,2021-01-14,73
14,14,2021-01-15,50
15,15,2021-01-16,71
16,16,2021-01-17,14
17,17,2021-01-18,39
18,18,2021-01-19,23
19,19,2021-01-20,30
20,20,2021-01-21,33
21,21,2021-01-22,37
22,22,2021-01-23,25
23,23,2021-01-24,17
24,24,2021-01-25,19
25,25,2021-01-26,15
26,26,2021-01-27,25
27,27,2021-01-28,34
28,28,2021-01-29,26
29,29,2021-01-30,62
30,30,2021-01-31,58
