,날짜,경남
0,2021-04-01,53
1,2021-04-02,48
2,2021-04-03,35
3,2021-04-04,12
4,2021-04-05,19
5,2021-04-06,25
6,2021-04-07,37
7,2021-04-08,35
8,2021-04-09,27
9,2021-04-10,19
10,2021-04-11,19
11,2021-04-12,21
12,2021-04-13,15
13,2021-04-14,23
14,2021-04-15,29
15,2021-04-16,30
16,2021-04-17,60
17,2021-04-18,27
18,2021-04-19,34
19,2021-04-20,47
20,2021-04-21,57
21,2021-04-22,51
22,2021-04-23,35
23,2021-04-24,28
24,2021-04-25,29
25,2021-04-26,19
26,2021-04-27,23
27,2021-04-28,38
28,2021-04-29,67
29,2021-04-30,56
