,Unnamed: 1,날짜,세종
0,0.0,2021-01-01,42
1,1.0,2021-01-02,43
2,2.0,2021-01-03,47
3,3.0,2021-01-04,51
4,4.0,2021-01-05,36
5,5.0,2021-01-06,29
6,6.0,2021-01-07,29
7,7.0,2021-01-08,25
8,8.0,2021-01-09,31
9,9.0,2021-01-10,37
10,10.0,2021-01-11,54
11,11.0,2021-01-12,61
12,12.0,2021-01-13,81
13,13.0,2021-01-14,113
14,14.0,2021-01-15,80
15,15.0,2021-01-16,74
16,16.0,2021-01-17,19
17,17.0,2021-01-18,37
18,18.0,2021-01-19,33
19,19.0,2021-01-20,49
20,20.0,2021-01-21,65
21,21.0,2021-01-22,52
22,22.0,2021-01-23,26
23,23.0,2021-01-24,19
24,24.0,2021-01-25,25
25,25.0,2021-01-26,29
26,26.0,2021-01-27,45
27,27.0,2021-01-28,38
28,28.0,2021-01-29,29
29,29.0,2021-01-30,56
30,30.0,2021-01-31,57
31,,2021-02-01,82
32,,2021-02-02,36
33,,2021-02-03,33
34,,2021-02-04,29
35,,2021-02-05,32
36,,2021-02-06,58
37,,2021-02-07,76
38,,2021-02-08,27
39,,2021-02-09,31
40,,2021-02-10,42
41,,2021-02-11,60
42,,2021-02-12,69
43,,2021-02-13,81
44,,2021-02-14,76
45,,2021-02-15,37
46,,2021-02-16,22
47,,2021-02-17,29
48,,2021-02-18,34
49,,2021-02-19,38
50,,2021-02-20,76
51,,2021-02-21,61
52,,2021-02-22,48
53,,2021-02-23,43
54,,2021-02-24,50
55,,2021-02-25,64
56,,2021-02-26,43
57,,2021-02-27,21
58,,2021-02-28,24
59,,2021-03-01,16
60,,2021-03-02,15
61,,2021-03-03,32
62,,2021-03-04,38
63,,2021-03-05,41
64,,2021-03-06,37
65,,2021-03-07,32
66,,2021-03-08,62
67,,2021-03-09,59
68,,2021-03-10,64
69,,2021-03-11,81
70,,2021-03-12,55
71,,2021-03-13,37
72,,2021-03-14,64
73,,2021-03-15,63
74,,2021-03-16,77
75,,2021-03-17,94
76,,2021-03-18,96
77,,2021-03-19,46
78,,2021-03-20,30
79,,2021-03-21,47
80,,2021-03-22,40
81,,2021-03-23,85
82,,2021-03-24,54
83,,2021-03-25,53
84,,2021-03-26,73
85,,2021-03-27,47
86,,2021-03-28,15
87,,2021-03-29,371
88,,2021-03-30,189
89,,2021-03-31,49
90,,2021-04-01,63
91,,2021-04-02,55
92,,2021-04-03,39
93,,2021-04-04,9
94,,2021-04-05,23
95,,2021-04-06,41
96,,2021-04-07,48
97,,2021-04-08,36
98,,2021-04-09,31
99,,2021-04-10,32
100,,2021-04-11,42
101,,2021-04-12,34
102,,2021-04-13,16
103,,2021-04-14,28
104,,2021-04-15,35
105,,2021-04-16,44
106,,2021-04-17,79
107,,2021-04-18,32
108,,2021-04-19,46
109,,2021-04-20,59
110,,2021-04-21,57
111,,2021-04-22,56
112,,2021-04-23,33
113,,2021-04-24,27
114,,2021-04-25,32
115,,2021-04-26,27
116,,2021-04-27,39
117,,2021-04-28,77
118,,2021-04-29,72
119,,2021-04-30,41
120,,2021-05-01,34
121,,2021-05-02,19
122,,2021-05-03,24
123,,2021-05-04,27
124,,2021-05-05,45
125,,2021-05-06,73
126,,2021-05-07,256
127,,2021-05-08,455
128,,2021-05-09,105
129,,2021-05-10,21
130,,2021-05-11,17
131,,2021-05-12,24
132,,2021-05-13,35
133,,2021-05-14,47
134,,2021-05-15,27
135,,2021-05-16,10
136,,2021-05-17,13
137,,2021-05-18,32
138,,2021-05-19,33
139,,2021-05-20,27
140,,2021-05-21,14
141,,2021-05-22,24
142,,2021-05-23,33
143,,2021-05-24,103
144,,2021-05-25,118
145,,2021-05-26,42
146,,2021-05-27,33
147,,2021-05-28,36
148,,2021-05-29,28
149,,2021-05-30,32
150,,2021-05-31,35
151,,2021-06-01,37
152,,2021-06-02,47
153,,2021-06-03,27
154,,2021-06-04,24
155,,2021-06-05,51
156,,2021-06-06,45
157,,2021-06-07,38
158,,2021-06-08,45
159,,2021-06-09,46
160,,2021-06-10,42
161,,2021-06-11,23
162,,2021-06-12,32
163,,2021-06-13,38
164,,2021-06-14,39
165,,2021-06-15,23
166,,2021-06-16,11
167,,2021-06-17,13
168,,2021-06-18,12
169,,2021-06-19,29
170,,2021-06-20,38
171,,2021-06-21,37
172,,2021-06-22,26
173,,2021-06-23,24
174,,2021-06-24,27
175,,2021-06-25,27
176,,2021-06-26,18
177,,2021-06-27,25
178,,2021-06-28,27
179,,2021-06-29,28
180,,2021-06-30,37
