,날짜,세종
0,2021-06-01,37
1,2021-06-02,47
2,2021-06-03,27
3,2021-06-04,24
4,2021-06-05,51
5,2021-06-06,45
6,2021-06-07,38
7,2021-06-08,45
8,2021-06-09,46
9,2021-06-10,42
10,2021-06-11,23
11,2021-06-12,32
12,2021-06-13,38
13,2021-06-14,39
14,2021-06-15,23
15,2021-06-16,11
16,2021-06-17,13
17,2021-06-18,12
18,2021-06-19,29
19,2021-06-20,38
20,2021-06-21,37
21,2021-06-22,26
22,2021-06-23,24
23,2021-06-24,27
24,2021-06-25,27
25,2021-06-26,18
26,2021-06-27,25
27,2021-06-28,27
28,2021-06-29,28
29,2021-06-30,37
