,Unnamed: 1,날짜,서울
0,0.0,2021-01-01,25
1,1.0,2021-01-02,32
2,2.0,2021-01-03,35
3,3.0,2021-01-04,37
4,4.0,2021-01-05,26
5,5.0,2021-01-06,24
6,6.0,2021-01-07,31
7,7.0,2021-01-08,19
8,8.0,2021-01-09,24
9,9.0,2021-01-10,31
10,10.0,2021-01-11,44
11,11.0,2021-01-12,58
12,12.0,2021-01-13,101
13,13.0,2021-01-14,75
14,14.0,2021-01-15,74
15,15.0,2021-01-16,51
16,16.0,2021-01-17,19
17,17.0,2021-01-18,35
18,18.0,2021-01-19,30
19,19.0,2021-01-20,44
20,20.0,2021-01-21,46
21,21.0,2021-01-22,37
22,22.0,2021-01-23,11
23,23.0,2021-01-24,12
24,24.0,2021-01-25,23
25,25.0,2021-01-26,36
26,26.0,2021-01-27,37
27,27.0,2021-01-28,31
28,28.0,2021-01-29,22
29,29.0,2021-01-30,47
30,30.0,2021-01-31,51
31,,2021-02-01,66
32,,2021-02-02,31
33,,2021-02-03,31
34,,2021-02-04,23
35,,2021-02-05,26
36,,2021-02-06,63
37,,2021-02-07,79
38,,2021-02-08,25
39,,2021-02-09,22
40,,2021-02-10,34
41,,2021-02-11,68
42,,2021-02-12,84
43,,2021-02-13,90
44,,2021-02-14,89
45,,2021-02-15,51
46,,2021-02-16,22
47,,2021-02-17,39
48,,2021-02-18,40
49,,2021-02-19,43
50,,2021-02-20,66
51,,2021-02-21,70
52,,2021-02-22,53
53,,2021-02-23,50
54,,2021-02-24,49
55,,2021-02-25,55
56,,2021-02-26,35
57,,2021-02-27,16
58,,2021-02-28,22
59,,2021-03-01,15
60,,2021-03-02,10
61,,2021-03-03,37
62,,2021-03-04,42
63,,2021-03-05,36
64,,2021-03-06,28
65,,2021-03-07,22
66,,2021-03-08,41
67,,2021-03-09,46
68,,2021-03-10,91
69,,2021-03-11,118
70,,2021-03-12,69
71,,2021-03-13,53
72,,2021-03-14,77
73,,2021-03-15,82
74,,2021-03-16,93
75,,2021-03-17,94
76,,2021-03-18,97
77,,2021-03-19,69
78,,2021-03-20,28
79,,2021-03-21,42
80,,2021-03-22,37
81,,2021-03-23,77
82,,2021-03-24,60
83,,2021-03-25,65
84,,2021-03-26,104
85,,2021-03-27,58
86,,2021-03-28,19
87,,2021-03-29,288
88,,2021-03-30,126
89,,2021-03-31,41
90,,2021-04-01,42
91,,2021-04-02,45
92,,2021-04-03,31
93,,2021-04-04,11
94,,2021-04-05,20
95,,2021-04-06,40
96,,2021-04-07,52
97,,2021-04-08,32
98,,2021-04-09,32
99,,2021-04-10,32
100,,2021-04-11,43
101,,2021-04-12,35
102,,2021-04-13,14
103,,2021-04-14,26
104,,2021-04-15,45
105,,2021-04-16,76
106,,2021-04-17,78
107,,2021-04-18,30
108,,2021-04-19,48
109,,2021-04-20,67
110,,2021-04-21,75
111,,2021-04-22,72
112,,2021-04-23,41
113,,2021-04-24,23
114,,2021-04-25,24
115,,2021-04-26,28
116,,2021-04-27,30
117,,2021-04-28,61
118,,2021-04-29,66
119,,2021-04-30,34
120,,2021-05-01,24
121,,2021-05-02,15
122,,2021-05-03,32
123,,2021-05-04,28
124,,2021-05-05,44
125,,2021-05-06,69
126,,2021-05-07,354
127,,2021-05-08,441
128,,2021-05-09,48
129,,2021-05-10,21
130,,2021-05-11,19
131,,2021-05-12,22
132,,2021-05-13,44
133,,2021-05-14,55
134,,2021-05-15,49
135,,2021-05-16,7
136,,2021-05-17,14
137,,2021-05-18,28
138,,2021-05-19,32
139,,2021-05-20,24
140,,2021-05-21,13
141,,2021-05-22,25
142,,2021-05-23,32
143,,2021-05-24,127
144,,2021-05-25,97
145,,2021-05-26,44
146,,2021-05-27,41
147,,2021-05-28,38
148,,2021-05-29,20
149,,2021-05-30,25
150,,2021-05-31,34
151,,2021-06-01,38
152,,2021-06-02,50
153,,2021-06-03,31
154,,2021-06-04,26
155,,2021-06-05,45
156,,2021-06-06,61
157,,2021-06-07,37
158,,2021-06-08,40
159,,2021-06-09,41
160,,2021-06-10,53
161,,2021-06-11,19
162,,2021-06-12,21
163,,2021-06-13,30
164,,2021-06-14,39
165,,2021-06-15,26
166,,2021-06-16,10
167,,2021-06-17,17
168,,2021-06-18,17
169,,2021-06-19,42
170,,2021-06-20,51
171,,2021-06-21,41
172,,2021-06-22,23
173,,2021-06-23,18
174,,2021-06-24,31
175,,2021-06-25,38
176,,2021-06-26,21
177,,2021-06-27,19
178,,2021-06-28,24
179,,2021-06-29,30
180,,2021-06-30,36
