,,날짜,서울
0,0,2021-01-01,25
1,1,2021-01-02,32
2,2,2021-01-03,35
3,3,2021-01-04,37
4,4,2021-01-05,26
5,5,2021-01-06,24
6,6,2021-01-07,31
7,7,2021-01-08,19
8,8,2021-01-09,24
9,9,2021-01-10,31
10,10,2021-01-11,44
11,11,2021-01-12,58
12,12,2021-01-13,101
13,13,2021-01-14,75
14,14,2021-01-15,74
15,15,2021-01-16,51
16,16,2021-01-17,19
17,17,2021-01-18,35
18,18,2021-01-19,30
19,19,2021-01-20,44
20,20,2021-01-21,46
21,21,2021-01-22,37
22,22,2021-01-23,11
23,23,2021-01-24,12
24,24,2021-01-25,23
25,25,2021-01-26,36
26,26,2021-01-27,37
27,27,2021-01-28,31
28,28,2021-01-29,22
29,29,2021-01-30,47
30,30,2021-01-31,51
