,날짜,서울
0,2021-03-01,15
1,2021-03-02,10
2,2021-03-03,37
3,2021-03-04,42
4,2021-03-05,36
5,2021-03-06,28
6,2021-03-07,22
7,2021-03-08,41
8,2021-03-09,46
9,2021-03-10,91
10,2021-03-11,118
11,2021-03-12,69
12,2021-03-13,53
13,2021-03-14,77
14,2021-03-15,82
15,2021-03-16,93
16,2021-03-17,94
17,2021-03-18,97
18,2021-03-19,69
19,2021-03-20,28
20,2021-03-21,42
21,2021-03-22,37
22,2021-03-23,77
23,2021-03-24,60
24,2021-03-25,65
25,2021-03-26,104
26,2021-03-27,58
27,2021-03-28,19
28,2021-03-29,288
29,2021-03-30,126
30,2021-03-31,41
