,Unnamed: 1,날짜,울산
0,0.0,2021-01-01,19
1,1.0,2021-01-02,32
2,2.0,2021-01-03,29
3,3.0,2021-01-04,37
4,4.0,2021-01-05,39
5,5.0,2021-01-06,20
6,6.0,2021-01-07,23
7,7.0,2021-01-08,14
8,8.0,2021-01-09,14
9,9.0,2021-01-10,17
10,10.0,2021-01-11,28
11,11.0,2021-01-12,29
12,12.0,2021-01-13,94
13,13.0,2021-01-14,68
14,14.0,2021-01-15,52
15,15.0,2021-01-16,77
16,16.0,2021-01-17,17
17,17.0,2021-01-18,44
18,18.0,2021-01-19,24
19,19.0,2021-01-20,29
20,20.0,2021-01-21,41
21,21.0,2021-01-22,38
22,22.0,2021-01-23,24
23,23.0,2021-01-24,21
24,24.0,2021-01-25,16
25,25.0,2021-01-26,15
26,26.0,2021-01-27,26
27,27.0,2021-01-28,33
28,28.0,2021-01-29,25
29,29.0,2021-01-30,66
30,30.0,2021-01-31,44
31,,2021-02-01,43
32,,2021-02-02,39
33,,2021-02-03,25
34,,2021-02-04,26
35,,2021-02-05,23
36,,2021-02-06,44
37,,2021-02-07,76
38,,2021-02-08,22
39,,2021-02-09,18
40,,2021-02-10,46
41,,2021-02-11,51
42,,2021-02-12,47
43,,2021-02-13,49
44,,2021-02-14,54
45,,2021-02-15,26
46,,2021-02-16,20
47,,2021-02-17,19
48,,2021-02-18,27
49,,2021-02-19,31
50,,2021-02-20,59
51,,2021-02-21,55
52,,2021-02-22,42
53,,2021-02-23,26
54,,2021-02-24,30
55,,2021-02-25,28
56,,2021-02-26,21
57,,2021-02-27,21
58,,2021-02-28,23
59,,2021-03-01,22
60,,2021-03-02,12
61,,2021-03-03,24
62,,2021-03-04,31
63,,2021-03-05,31
64,,2021-03-06,31
65,,2021-03-07,15
66,,2021-03-08,21
67,,2021-03-09,29
68,,2021-03-10,49
69,,2021-03-11,36
70,,2021-03-12,20
71,,2021-03-13,50
72,,2021-03-14,51
73,,2021-03-15,54
74,,2021-03-16,49
75,,2021-03-17,89
76,,2021-03-18,65
77,,2021-03-19,36
78,,2021-03-20,17
79,,2021-03-21,32
80,,2021-03-22,29
81,,2021-03-23,79
82,,2021-03-24,56
83,,2021-03-25,38
84,,2021-03-26,60
85,,2021-03-27,51
86,,2021-03-28,16
87,,2021-03-29,410
88,,2021-03-30,132
89,,2021-03-31,72
90,,2021-04-01,65
91,,2021-04-02,40
92,,2021-04-03,39
93,,2021-04-04,14
94,,2021-04-05,20
95,,2021-04-06,27
96,,2021-04-07,42
97,,2021-04-08,36
98,,2021-04-09,24
99,,2021-04-10,15
100,,2021-04-11,17
101,,2021-04-12,27
102,,2021-04-13,14
103,,2021-04-14,23
104,,2021-04-15,36
105,,2021-04-16,36
106,,2021-04-17,90
107,,2021-04-18,28
108,,2021-04-19,39
109,,2021-04-20,60
110,,2021-04-21,73
111,,2021-04-22,58
112,,2021-04-23,31
113,,2021-04-24,25
114,,2021-04-25,26
115,,2021-04-26,17
116,,2021-04-27,29
117,,2021-04-28,42
118,,2021-04-29,74
119,,2021-04-30,56
120,,2021-05-01,22
121,,2021-05-02,21
122,,2021-05-03,22
123,,2021-05-04,24
124,,2021-05-05,34
125,,2021-05-06,49
126,,2021-05-07,66
127,,2021-05-08,154
128,,2021-05-09,78
129,,2021-05-10,26
130,,2021-05-11,24
131,,2021-05-12,24
132,,2021-05-13,31
133,,2021-05-14,36
134,,2021-05-15,23
135,,2021-05-16,11
136,,2021-05-17,10
137,,2021-05-18,15
138,,2021-05-19,38
139,,2021-05-20,26
140,,2021-05-21,16
141,,2021-05-22,24
142,,2021-05-23,37
143,,2021-05-24,33
144,,2021-05-25,75
145,,2021-05-26,37
146,,2021-05-27,22
147,,2021-05-28,36
148,,2021-05-29,27
149,,2021-05-30,28
150,,2021-05-31,29
151,,2021-06-01,29
152,,2021-06-02,49
153,,2021-06-03,31
154,,2021-06-04,21
155,,2021-06-05,43
156,,2021-06-06,52
157,,2021-06-07,50
158,,2021-06-08,39
159,,2021-06-09,38
160,,2021-06-10,45
161,,2021-06-11,22
162,,2021-06-12,13
163,,2021-06-13,23
164,,2021-06-14,19
165,,2021-06-15,13
166,,2021-06-16,10
167,,2021-06-17,12
168,,2021-06-18,27
169,,2021-06-19,33
170,,2021-06-20,43
171,,2021-06-21,33
172,,2021-06-22,18
173,,2021-06-23,14
174,,2021-06-24,17
175,,2021-06-25,27
176,,2021-06-26,25
177,,2021-06-27,25
178,,2021-06-28,25
179,,2021-06-29,23
180,,2021-06-30,22
