,,날짜,울산
0,0,2021-01-01,19
1,1,2021-01-02,32
2,2,2021-01-03,29
3,3,2021-01-04,37
4,4,2021-01-05,39
5,5,2021-01-06,20
6,6,2021-01-07,23
7,7,2021-01-08,14
8,8,2021-01-09,14
9,9,2021-01-10,17
10,10,2021-01-11,28
11,11,2021-01-12,29
12,12,2021-01-13,94
13,13,2021-01-14,68
14,14,2021-01-15,52
15,15,2021-01-16,77
16,16,2021-01-17,17
17,17,2021-01-18,44
18,18,2021-01-19,24
19,19,2021-01-20,29
20,20,2021-01-21,41
21,21,2021-01-22,38
22,22,2021-01-23,24
23,23,2021-01-24,21
24,24,2021-01-25,16
25,25,2021-01-26,15
26,26,2021-01-27,26
27,27,2021-01-28,33
28,28,2021-01-29,25
29,29,2021-01-30,66
30,30,2021-01-31,44
