,날짜,울산
0,2021-03-01,22
1,2021-03-02,12
2,2021-03-03,24
3,2021-03-04,31
4,2021-03-05,31
5,2021-03-06,31
6,2021-03-07,15
7,2021-03-08,21
8,2021-03-09,29
9,2021-03-10,49
10,2021-03-11,36
11,2021-03-12,20
12,2021-03-13,50
13,2021-03-14,51
14,2021-03-15,54
15,2021-03-16,49
16,2021-03-17,89
17,2021-03-18,65
18,2021-03-19,36
19,2021-03-20,17
20,2021-03-21,32
21,2021-03-22,29
22,2021-03-23,79
23,2021-03-24,56
24,2021-03-25,38
25,2021-03-26,60
26,2021-03-27,51
27,2021-03-28,16
28,2021-03-29,410
29,2021-03-30,132
30,2021-03-31,72
