,날짜,부산
0,2021-01-01,14
1,2021-01-02,19
2,2021-01-03,13
3,2021-01-04,25
4,2021-01-05,28
5,2021-01-06,11
6,2021-01-07,12
7,2021-01-08,11
8,2021-01-09,11
9,2021-01-10,13
10,2021-01-11,22
11,2021-01-12,23
12,2021-01-13,33
13,2021-01-14,29
14,2021-01-15,21
15,2021-01-16,33
16,2021-01-17,10
17,2021-01-18,25
18,2021-01-19,15
19,2021-01-20,18
20,2021-01-21,22
21,2021-01-22,27
22,2021-01-23,13
23,2021-01-24,11
24,2021-01-25,8
25,2021-01-26,10
26,2021-01-27,17
27,2021-01-28,18
28,2021-01-29,11
29,2021-01-30,24
30,2021-01-31,28
