,날짜,충북
0,2021-01-01,24
1,2021-01-02,23
2,2021-01-03,21
3,2021-01-04,28
4,2021-01-05,23
5,2021-01-06,17
6,2021-01-07,11
7,2021-01-08,14
8,2021-01-09,17
9,2021-01-10,24
10,2021-01-11,35
11,2021-01-12,42
12,2021-01-13,41
13,2021-01-14,41
14,2021-01-15,39
15,2021-01-16,36
16,2021-01-17,12
17,2021-01-18,21
18,2021-01-19,16
19,2021-01-20,28
20,2021-01-21,40
21,2021-01-22,38
22,2021-01-23,15
23,2021-01-24,10
24,2021-01-25,14
25,2021-01-26,18
26,2021-01-27,26
27,2021-01-28,18
28,2021-01-29,9
29,2021-01-30,24
30,2021-01-31,27
