,날짜,충남
0,2021-04-01,22
1,2021-04-02,16
2,2021-04-03,16
3,2021-04-04,6
4,2021-04-05,13
5,2021-04-06,27
6,2021-04-07,38
7,2021-04-08,21
8,2021-04-09,17
9,2021-04-10,18
10,2021-04-11,27
11,2021-04-12,22
12,2021-04-13,9
13,2021-04-14,14
14,2021-04-15,18
15,2021-04-16,20
16,2021-04-17,17
17,2021-04-18,14
18,2021-04-19,22
19,2021-04-20,27
20,2021-04-21,33
21,2021-04-22,33
22,2021-04-23,16
23,2021-04-24,13
24,2021-04-25,20
25,2021-04-26,17
26,2021-04-27,18
27,2021-04-28,24
28,2021-04-29,30
29,2021-04-30,17
