,날짜,대구
0,2021-06-01,26
1,2021-06-02,32
2,2021-06-03,20
3,2021-06-04,8
4,2021-06-05,24
5,2021-06-06,32
6,2021-06-07,30
7,2021-06-08,28
8,2021-06-09,29
9,2021-06-10,30
10,2021-06-11,12
11,2021-06-12,13
12,2021-06-13,21
13,2021-06-14,24
14,2021-06-15,13
15,2021-06-16,4
16,2021-06-17,10
17,2021-06-18,19
18,2021-06-19,15
19,2021-06-20,20
20,2021-06-21,17
21,2021-06-22,17
22,2021-06-23,16
23,2021-06-24,17
24,2021-06-25,25
25,2021-06-26,25
26,2021-06-27,23
27,2021-06-28,19
28,2021-06-29,16
29,2021-06-30,22
