,날짜,대전
0,2021-01-01,19
1,2021-01-02,17
2,2021-01-03,17
3,2021-01-04,22
4,2021-01-05,18
5,2021-01-06,12
6,2021-01-07,8
7,2021-01-08,10
8,2021-01-09,12
9,2021-01-10,16
10,2021-01-11,29
11,2021-01-12,30
12,2021-01-13,27
13,2021-01-14,29
14,2021-01-15,27
15,2021-01-16,28
16,2021-01-17,8
17,2021-01-18,17
18,2021-01-19,11
19,2021-01-20,20
20,2021-01-21,31
21,2021-01-22,22
22,2021-01-23,14
23,2021-01-24,6
24,2021-01-25,9
25,2021-01-26,12
26,2021-01-27,19
27,2021-01-28,14
28,2021-01-29,9
29,2021-01-30,20
30,2021-01-31,20
31,2021-02-01,41
32,2021-02-02,14
33,2021-02-03,14
34,2021-02-04,13
35,2021-02-05,13
36,2021-02-06,28
37,2021-02-07,43
38,2021-02-08,12
39,2021-02-09,14
40,2021-02-10,19
41,2021-02-11,29
42,2021-02-12,37
43,2021-02-13,43
44,2021-02-14,34
45,2021-02-15,20
46,2021-02-16,9
47,2021-02-17,8
48,2021-02-18,11
49,2021-02-19,18
50,2021-02-20,37
51,2021-02-21,31
52,2021-02-22,24
53,2021-02-23,12
54,2021-02-24,18
55,2021-02-25,24
56,2021-02-26,17
57,2021-02-27,8
58,2021-02-28,9
59,2021-03-01,8
60,2021-03-02,7
61,2021-03-03,15
62,2021-03-04,17
63,2021-03-05,22
64,2021-03-06,17
65,2021-03-07,14
66,2021-03-08,36
67,2021-03-09,34
68,2021-03-10,34
69,2021-03-11,38
70,2021-03-12,30
71,2021-03-13,21
72,2021-03-14,36
73,2021-03-15,34
74,2021-03-16,15
75,2021-03-17,19
76,2021-03-18,25
77,2021-03-19,11
78,2021-03-20,10
79,2021-03-21,26
80,2021-03-22,15
81,2021-03-23,27
82,2021-03-24,18
83,2021-03-25,18
84,2021-03-26,27
85,2021-03-27,20
86,2021-03-28,8
87,2021-03-29,53
88,2021-03-30,28
89,2021-03-31,17
90,2021-04-01,12
91,2021-04-02,13
92,2021-04-03,13
93,2021-04-04,3
94,2021-04-05,7
95,2021-04-06,17
96,2021-04-07,23
97,2021-04-08,17
98,2021-04-09,12
99,2021-04-10,15
100,2021-04-11,19
101,2021-04-12,13
102,2021-04-13,6
103,2021-04-14,11
104,2021-04-15,13
105,2021-04-16,15
106,2021-04-17,17
107,2021-04-18,10
108,2021-04-19,16
109,2021-04-20,25
110,2021-04-21,26
111,2021-04-22,23
112,2021-04-23,9
113,2021-04-24,10
114,2021-04-25,13
115,2021-04-26,9
116,2021-04-27,17
117,2021-04-28,20
118,2021-04-29,22
119,2021-04-30,16
120,2021-05-01,15
121,2021-05-02,7
122,2021-05-03,9
123,2021-05-04,12
124,2021-05-05,9
125,2021-05-06,16
126,2021-05-07,47
127,2021-05-08,83
128,2021-05-09,20
129,2021-05-10,7
130,2021-05-11,6
131,2021-05-12,8
132,2021-05-13,16
133,2021-05-14,27
134,2021-05-15,16
135,2021-05-16,4
136,2021-05-17,5
137,2021-05-18,14
138,2021-05-19,20
139,2021-05-20,14
140,2021-05-21,7
141,2021-05-22,13
142,2021-05-23,18
143,2021-05-24,28
144,2021-05-25,32
145,2021-05-26,13
146,2021-05-27,15
147,2021-05-28,17
148,2021-05-29,13
149,2021-05-30,15
150,2021-05-31,15
151,2021-06-01,20
152,2021-06-02,24
153,2021-06-03,15
154,2021-06-04,9
155,2021-06-05,31
156,2021-06-06,26
157,2021-06-07,21
158,2021-06-08,25
159,2021-06-09,24
160,2021-06-10,25
161,2021-06-11,13
162,2021-06-12,17
163,2021-06-13,27
164,2021-06-14,28
165,2021-06-15,15
166,2021-06-16,4
167,2021-06-17,6
168,2021-06-18,5
169,2021-06-19,15
170,2021-06-20,19
171,2021-06-21,24
172,2021-06-22,13
173,2021-06-23,16
174,2021-06-24,15
175,2021-06-25,15
176,2021-06-26,10
177,2021-06-27,14
178,2021-06-28,15
179,2021-06-29,16
180,2021-06-30,21
