,날짜,인천
0,2021-06-01,20
1,2021-06-02,30
2,2021-06-03,19
3,2021-06-04,12
4,2021-06-05,29
5,2021-06-06,34
6,2021-06-07,19
7,2021-06-08,25
8,2021-06-09,37
9,2021-06-10,41
10,2021-06-11,10
11,2021-06-12,16
12,2021-06-13,14
13,2021-06-14,18
14,2021-06-15,19
15,2021-06-16,5
16,2021-06-17,10
17,2021-06-18,10
18,2021-06-19,29
19,2021-06-20,40
20,2021-06-21,28
21,2021-06-22,25
22,2021-06-23,17
23,2021-06-24,26
24,2021-06-25,32
25,2021-06-26,19
26,2021-06-27,16
27,2021-06-28,19
28,2021-06-29,28
29,2021-06-30,30
