,날짜,제주
0,2021-01-01,10
1,2021-01-02,14
2,2021-01-03,20
3,2021-01-04,23
4,2021-01-05,18
5,2021-01-06,14
6,2021-01-07,8
7,2021-01-08,6
8,2021-01-09,7
9,2021-01-10,10
10,2021-01-11,14
11,2021-01-12,20
12,2021-01-13,22
13,2021-01-14,19
14,2021-01-15,15
15,2021-01-16,22
16,2021-01-17,9
17,2021-01-18,25
18,2021-01-19,8
19,2021-01-20,8
20,2021-01-21,12
21,2021-01-22,13
22,2021-01-23,11
23,2021-01-24,11
24,2021-01-25,7
25,2021-01-26,7
26,2021-01-27,16
27,2021-01-28,18
28,2021-01-29,10
29,2021-01-30,14
30,2021-01-31,11
