,날짜,전북
0,2021-06-01,20
1,2021-06-02,25
2,2021-06-03,12
3,2021-06-04,10
4,2021-06-05,35
5,2021-06-06,29
6,2021-06-07,26
7,2021-06-08,31
8,2021-06-09,32
9,2021-06-10,30
10,2021-06-11,9
11,2021-06-12,24
12,2021-06-13,29
13,2021-06-14,35
14,2021-06-15,25
15,2021-06-16,6
16,2021-06-17,9
17,2021-06-18,8
18,2021-06-19,20
19,2021-06-20,22
20,2021-06-21,32
21,2021-06-22,21
22,2021-06-23,25
23,2021-06-24,22
24,2021-06-25,19
25,2021-06-26,14
26,2021-06-27,19
27,2021-06-28,26
28,2021-06-29,26
29,2021-06-30,23
