,날짜,전남
0,2021-03-01,7
1,2021-03-02,7
2,2021-03-03,12
3,2021-03-04,11
4,2021-03-05,13
5,2021-03-06,22
6,2021-03-07,18
7,2021-03-08,24
8,2021-03-09,18
9,2021-03-10,33
10,2021-03-11,25
11,2021-03-12,13
12,2021-03-13,16
13,2021-03-14,30
14,2021-03-15,31
15,2021-03-16,16
16,2021-03-17,15
17,2021-03-18,17
18,2021-03-19,15
19,2021-03-20,11
20,2021-03-21,24
21,2021-03-22,11
22,2021-03-23,22
23,2021-03-24,17
24,2021-03-25,15
25,2021-03-26,23
26,2021-03-27,16
27,2021-03-28,16
28,2021-03-29,78
29,2021-03-30,35
30,2021-03-31,19
