,날짜,강원
0,2021-03-01,7
1,2021-03-02,6
2,2021-03-03,14
3,2021-03-04,19
4,2021-03-05,14
5,2021-03-06,10
6,2021-03-07,9
7,2021-03-08,19
8,2021-03-09,26
9,2021-03-10,32
10,2021-03-11,35
11,2021-03-12,29
12,2021-03-13,28
13,2021-03-14,42
14,2021-03-15,42
15,2021-03-16,14
16,2021-03-17,15
17,2021-03-18,18
18,2021-03-19,13
19,2021-03-20,11
20,2021-03-21,20
21,2021-03-22,13
22,2021-03-23,23
23,2021-03-24,26
24,2021-03-25,24
25,2021-03-26,28
26,2021-03-27,22
27,2021-03-28,10
28,2021-03-29,35
29,2021-03-30,15
30,2021-03-31,12
