,날짜,광주
0,2021-03-01,7
1,2021-03-02,10
2,2021-03-03,20
3,2021-03-04,18
4,2021-03-05,17
5,2021-03-06,36
6,2021-03-07,22
7,2021-03-08,33
8,2021-03-09,27
9,2021-03-10,45
10,2021-03-11,45
11,2021-03-12,18
12,2021-03-13,19
13,2021-03-14,37
14,2021-03-15,41
15,2021-03-16,20
16,2021-03-17,19
17,2021-03-18,23
18,2021-03-19,23
19,2021-03-20,15
20,2021-03-21,30
21,2021-03-22,15
22,2021-03-23,31
23,2021-03-24,24
24,2021-03-25,20
25,2021-03-26,29
26,2021-03-27,18
27,2021-03-28,22
28,2021-03-29,91
29,2021-03-30,38
30,2021-03-31,26
