,날짜,경북
0,2021-05-01,16
1,2021-05-02,10
2,2021-05-03,11
3,2021-05-04,14
4,2021-05-05,10
5,2021-05-06,16
6,2021-05-07,33
7,2021-05-08,68
8,2021-05-09,22
9,2021-05-10,10
10,2021-05-11,13
11,2021-05-12,10
12,2021-05-13,13
13,2021-05-14,21
14,2021-05-15,20
15,2021-05-16,10
16,2021-05-17,5
17,2021-05-18,12
18,2021-05-19,20
19,2021-05-20,17
20,2021-05-21,7
21,2021-05-22,15
22,2021-05-23,21
23,2021-05-24,25
24,2021-05-25,28
25,2021-05-26,13
26,2021-05-27,12
27,2021-05-28,14
28,2021-05-29,11
29,2021-05-30,13
30,2021-05-31,19
