,날짜,경기
0,2021-01-01,19
1,2021-01-02,12
2,2021-01-03,16
3,2021-01-04,24
4,2021-01-05,15
5,2021-01-06,13
6,2021-01-07,10
7,2021-01-08,10
8,2021-01-09,15
9,2021-01-10,21
10,2021-01-11,36
11,2021-01-12,48
12,2021-01-13,43
13,2021-01-14,31
14,2021-01-15,35
15,2021-01-16,34
16,2021-01-17,12
17,2021-01-18,19
18,2021-01-19,16
19,2021-01-20,28
20,2021-01-21,37
21,2021-01-22,31
22,2021-01-23,8
23,2021-01-24,9
24,2021-01-25,18
25,2021-01-26,28
26,2021-01-27,20
27,2021-01-28,16
28,2021-01-29,9
29,2021-01-30,25
30,2021-01-31,29
31,2021-02-01,42
32,2021-02-02,15
33,2021-02-03,18
34,2021-02-04,14
35,2021-02-05,18
36,2021-02-06,43
37,2021-02-07,56
38,2021-02-08,14
39,2021-02-09,15
40,2021-02-10,25
41,2021-02-11,51
42,2021-02-12,69
43,2021-02-13,74
44,2021-02-14,73
45,2021-02-15,34
46,2021-02-16,11
47,2021-02-17,9
48,2021-02-18,13
49,2021-02-19,24
50,2021-02-20,39
51,2021-02-21,44
52,2021-02-22,30
53,2021-02-23,14
54,2021-02-24,25
55,2021-02-25,37
56,2021-02-26,21
57,2021-02-27,9
58,2021-02-28,16
59,2021-03-01,12
60,2021-03-02,6
61,2021-03-03,25
62,2021-03-04,28
63,2021-03-05,25
64,2021-03-06,18
65,2021-03-07,16
66,2021-03-08,32
67,2021-03-09,35
68,2021-03-10,60
69,2021-03-11,87
70,2021-03-12,60
71,2021-03-13,34
72,2021-03-14,56
73,2021-03-15,58
74,2021-03-16,17
75,2021-03-17,21
76,2021-03-18,40
77,2021-03-19,27
78,2021-03-20,17
79,2021-03-21,32
80,2021-03-22,15
81,2021-03-23,32
82,2021-03-24,28
83,2021-03-25,31
84,2021-03-26,62
85,2021-03-27,36
86,2021-03-28,12
87,2021-03-29,61
88,2021-03-30,31
89,2021-03-31,21
90,2021-04-01,15
91,2021-04-02,13
92,2021-04-03,13
93,2021-04-04,4
94,2021-04-05,10
95,2021-04-06,25
96,2021-04-07,33
97,2021-04-08,16
98,2021-04-09,14
99,2021-04-10,17
100,2021-04-11,26
101,2021-04-12,20
102,2021-04-13,7
103,2021-04-14,13
104,2021-04-15,22
105,2021-04-16,22
106,2021-04-17,17
107,2021-04-18,11
108,2021-04-19,23
109,2021-04-20,32
110,2021-04-21,35
111,2021-04-22,37
112,2021-04-23,17
113,2021-04-24,11
114,2021-04-25,13
115,2021-04-26,12
116,2021-04-27,17
117,2021-04-28,23
118,2021-04-29,24
119,2021-04-30,16
120,2021-05-01,13
121,2021-05-02,7
122,2021-05-03,16
123,2021-05-04,16
124,2021-05-05,11
125,2021-05-06,17
126,2021-05-07,83
127,2021-05-08,94
128,2021-05-09,13
129,2021-05-10,10
130,2021-05-11,9
131,2021-05-12,10
132,2021-05-13,26
133,2021-05-14,32
134,2021-05-15,27
135,2021-05-16,4
136,2021-05-17,6
137,2021-05-18,15
138,2021-05-19,20
139,2021-05-20,15
140,2021-05-21,7
141,2021-05-22,14
142,2021-05-23,21
143,2021-05-24,36
144,2021-05-25,28
145,2021-05-26,15
146,2021-05-27,20
147,2021-05-28,21
148,2021-05-29,11
149,2021-05-30,13
150,2021-05-31,18
151,2021-06-01,22
152,2021-06-02,28
153,2021-06-03,19
154,2021-06-04,13
155,2021-06-05,26
156,2021-06-06,34
157,2021-06-07,21
158,2021-06-08,24
159,2021-06-09,28
160,2021-06-10,36
161,2021-06-11,13
162,2021-06-12,15
163,2021-06-13,18
164,2021-06-14,23
165,2021-06-15,18
166,2021-06-16,5
167,2021-06-17,9
168,2021-06-18,11
169,2021-06-19,29
170,2021-06-20,34
171,2021-06-21,29
172,2021-06-22,18
173,2021-06-23,12
174,2021-06-24,21
175,2021-06-25,27
176,2021-06-26,15
177,2021-06-27,14
178,2021-06-28,16
179,2021-06-29,21
180,2021-06-30,27
