,날짜,경남
0,2021-06-01,17
1,2021-06-02,23
2,2021-06-03,16
3,2021-06-04,8
4,2021-06-05,22
5,2021-06-06,23
6,2021-06-07,18
7,2021-06-08,19
8,2021-06-09,21
9,2021-06-10,23
10,2021-06-11,11
11,2021-06-12,8
12,2021-06-13,12
13,2021-06-14,15
14,2021-06-15,13
15,2021-06-16,5
16,2021-06-17,8
17,2021-06-18,16
18,2021-06-19,17
19,2021-06-20,22
20,2021-06-21,18
21,2021-06-22,15
22,2021-06-23,15
23,2021-06-24,13
24,2021-06-25,18
25,2021-06-26,17
26,2021-06-27,17
27,2021-06-28,19
28,2021-06-29,17
29,2021-06-30,18
