,날짜,세종
0,2021-06-01,17
1,2021-06-02,24
2,2021-06-03,14
3,2021-06-04,7
4,2021-06-05,25
5,2021-06-06,22
6,2021-06-07,17
7,2021-06-08,24
8,2021-06-09,26
9,2021-06-10,24
10,2021-06-11,12
11,2021-06-12,17
12,2021-06-13,23
13,2021-06-14,20
14,2021-06-15,12
15,2021-06-16,4
16,2021-06-17,5
17,2021-06-18,4
18,2021-06-19,14
19,2021-06-20,19
20,2021-06-21,20
21,2021-06-22,14
22,2021-06-23,13
23,2021-06-24,14
24,2021-06-25,14
25,2021-06-26,8
26,2021-06-27,14
27,2021-06-28,15
28,2021-06-29,15
29,2021-06-30,20
