,날짜,서울
0,2021-04-01,13
1,2021-04-02,13
2,2021-04-03,13
3,2021-04-04,5
4,2021-04-05,10
5,2021-04-06,22
6,2021-04-07,32
7,2021-04-08,15
8,2021-04-09,16
9,2021-04-10,18
10,2021-04-11,24
11,2021-04-12,20
12,2021-04-13,8
13,2021-04-14,14
14,2021-04-15,23
15,2021-04-16,19
16,2021-04-17,16
17,2021-04-18,13
18,2021-04-19,22
19,2021-04-20,34
20,2021-04-21,37
21,2021-04-22,37
22,2021-04-23,20
23,2021-04-24,11
24,2021-04-25,12
25,2021-04-26,13
26,2021-04-27,14
27,2021-04-28,24
28,2021-04-29,21
29,2021-04-30,17
