,날짜,울산
0,2021-06-01,15
1,2021-06-02,28
2,2021-06-03,23
3,2021-06-04,11
4,2021-06-05,25
5,2021-06-06,30
6,2021-06-07,28
7,2021-06-08,25
8,2021-06-09,24
9,2021-06-10,30
10,2021-06-11,15
11,2021-06-12,10
12,2021-06-13,18
13,2021-06-14,13
14,2021-06-15,8
15,2021-06-16,5
16,2021-06-17,6
17,2021-06-18,18
18,2021-06-19,20
19,2021-06-20,29
20,2021-06-21,20
21,2021-06-22,8
22,2021-06-23,7
23,2021-06-24,10
24,2021-06-25,18
25,2021-06-26,18
26,2021-06-27,18
27,2021-06-28,17
28,2021-06-29,14
29,2021-06-30,14
