,날짜,region,confirmed,death,대구일일확진자,대구일일사망자,사망률,대구 평균기온(℃)
0,2020-02-17,대구,0,0,0,0,0.0,-1.6
1,2020-02-18,대구,1,0,1,0,0.0,-0.2
2,2020-02-19,대구,16,0,15,0,0.0,4.7
3,2020-02-20,대구,30,0,14,0,0.0,6.1
4,2020-02-21,대구,110,0,80,0,0.0,8.3
5,2020-02-22,대구,193,1,83,1,0.52,8.2
6,2020-02-23,대구,310,2,117,1,0.65,4.9
7,2020-02-24,대구,483,2,173,0,0.41,8.1
8,2020-02-25,대구,543,4,60,2,0.74,7.0
9,2020-02-26,대구,710,5,167,1,0.7,8.3
10,2020-02-27,대구,1132,6,422,1,0.53,6.1
11,2020-02-28,대구,1580,6,448,0,0.38,4.5
12,2020-02-29,대구,2236,10,656,4,0.45,6.3
13,2020-03-01,대구,2705,11,469,1,0.41,9.4
14,2020-03-02,대구,3081,15,376,4,0.49,7.1
15,2020-03-03,대구,3601,21,520,6,0.58,7.7
16,2020-03-04,대구,4006,25,405,4,0.62,5.9
17,2020-03-05,대구,4327,28,321,3,0.65,3.7
18,2020-03-06,대구,4694,31,367,3,0.66,5.4
19,2020-03-07,대구,5084,32,390,1,0.63,5.7
20,2020-03-08,대구,5381,36,297,4,0.67,8.3
21,2020-03-09,대구,5571,35,190,-1,0.63,9.1
22,2020-03-10,대구,5663,38,92,3,0.67,9.0
23,2020-03-11,대구,5794,44,131,6,0.76,6.4
24,2020-03-12,대구,5867,48,73,4,0.82,8.3
25,2020-03-13,대구,5928,48,61,0,0.81,9.4
26,2020-03-14,대구,5990,51,62,3,0.85,6.5
27,2020-03-15,대구,6031,53,41,2,0.88,6.2
28,2020-03-16,대구,6066,53,35,0,0.87,6.4
29,2020-03-17,대구,6098,57,32,4,0.93,10.5
30,2020-03-18,대구,6144,58,46,1,0.94,11.7
31,2020-03-19,대구,6241,65,97,7,1.04,10.8
32,2020-03-20,대구,6275,67,34,2,1.07,12.0
33,2020-03-21,대구,6344,73,69,6,1.15,15.0
34,2020-03-22,대구,6387,75,43,2,1.17,14.1
35,2020-03-23,대구,6411,82,24,7,1.28,11.5
36,2020-03-24,대구,6442,88,31,6,1.37,11.2
37,2020-03-25,대구,6456,92,14,4,1.43,13.1
38,2020-03-26,대구,6482,94,26,2,1.45,13.2
39,2020-03-27,대구,6516,98,34,4,1.5,14.6
40,2020-03-28,대구,6587,101,71,3,1.53,8.2
41,2020-03-29,대구,6610,106,23,5,1.6,8.7
42,2020-03-30,대구,6624,111,14,5,1.68,11.5
43,2020-03-31,대구,6684,114,60,3,1.71,12.8
44,2020-04-01,대구,6704,115,20,1,1.72,13.9
45,2020-04-02,대구,6725,117,21,2,1.74,12.6
