,날짜,region,confirmed,death,강원일일확진자,강원일일사망자,사망률,강원 평균기온(℃)
0,2020-02-17,강원,0,0,0,0,0.0,-3.65
1,2020-02-18,강원,0,0,0,0,0.0,-1.85
2,2020-02-19,강원,0,0,0,0,0.0,1.65
3,2020-02-20,강원,1,0,1,0,0.0,4.45
4,2020-02-21,강원,1,0,0,0,0.0,6.449999999999999
5,2020-02-22,강원,6,0,5,0,0.0,5.1
6,2020-02-23,강원,6,0,0,0,0.0,3.8
7,2020-02-24,강원,6,0,0,0,0.0,7.8
8,2020-02-25,강원,6,0,0,0,0.0,5.4
9,2020-02-26,강원,6,0,0,0,0.0,3.75
10,2020-02-27,강원,6,0,0,0,0.0,3.9
11,2020-02-28,강원,7,0,1,0,0.0,4.050000000000001
12,2020-02-29,강원,7,0,0,0,0.0,6.4
13,2020-03-01,강원,15,0,8,0,0.0,6.2
14,2020-03-02,강원,19,0,4,0,0.0,4.5
15,2020-03-03,강원,20,0,1,0,0.0,5.6
16,2020-03-04,강원,21,0,1,0,0.0,4.05
17,2020-03-05,강원,23,0,2,0,0.0,2.25
18,2020-03-06,강원,25,0,2,0,0.0,4.0
19,2020-03-07,강원,26,1,1,1,3.85,5.5
20,2020-03-08,강원,27,1,1,0,3.7,7.35
21,2020-03-09,강원,28,1,1,0,3.57,9.4
22,2020-03-10,강원,28,1,0,0,3.57,7.75
23,2020-03-11,강원,29,1,1,0,3.45,5.15
24,2020-03-12,강원,29,1,0,0,3.45,8.5
25,2020-03-13,강원,29,1,0,0,3.45,6.9
26,2020-03-14,강원,29,1,0,0,3.45,4.75
27,2020-03-15,강원,29,1,0,0,3.45,4.05
28,2020-03-16,강원,29,1,0,0,3.45,4.4
29,2020-03-17,강원,29,1,0,0,3.45,5.800000000000001
30,2020-03-18,강원,30,1,1,0,3.33,10.25
31,2020-03-19,강원,30,1,0,0,3.33,9.6
32,2020-03-20,강원,30,1,0,0,3.33,9.9
33,2020-03-21,강원,30,1,0,0,3.33,12.35
34,2020-03-22,강원,30,1,0,0,3.33,10.55
35,2020-03-23,강원,30,1,0,0,3.33,8.75
36,2020-03-24,강원,30,1,0,0,3.33,8.8
37,2020-03-25,강원,31,1,1,0,3.23,10.55
38,2020-03-26,강원,31,1,0,0,3.23,14.4
39,2020-03-27,강원,31,1,0,0,3.23,10.3
40,2020-03-28,강원,32,1,1,0,3.12,6.35
41,2020-03-29,강원,34,1,2,0,2.94,7.1
42,2020-03-30,강원,36,1,2,0,2.78,9.05
43,2020-03-31,강원,36,1,0,0,2.78,11.2
44,2020-04-01,강원,38,1,2,0,2.63,9.05
45,2020-04-02,강원,39,1,1,0,2.56,10.0
46,2020-04-03,강원,41,1,2,0,2.44,12.4
47,2020-04-04,강원,42,1,1,0,2.38,8.55
48,2020-04-05,강원,45,1,3,0,2.22,6.75
49,2020-04-06,강원,45,1,0,0,2.22,10.05
50,2020-04-07,강원,47,1,2,0,2.13,11.75
51,2020-04-08,강원,49,1,2,0,2.04,8.15
52,2020-04-09,강원,49,1,0,0,2.04,8.100000000000001
53,2020-04-10,강원,49,1,0,0,2.04,9.1
54,2020-04-11,강원,49,1,0,0,2.04,10.1
55,2020-04-12,강원,49,1,0,0,2.04,7.75
56,2020-04-13,강원,49,1,0,0,2.04,9.25
57,2020-04-14,강원,49,1,0,0,2.04,14.35
58,2020-04-15,강원,51,1,2,0,1.96,13.25
59,2020-04-16,강원,52,1,1,0,1.92,12.75
60,2020-04-17,강원,52,1,0,0,1.92,11.15
61,2020-04-18,강원,53,1,1,0,1.89,11.5
62,2020-04-19,강원,53,2,0,1,3.77,10.3
63,2020-04-20,강원,53,2,0,0,3.77,10.65
64,2020-04-21,강원,53,2,0,0,3.77,8.3
65,2020-04-22,강원,53,2,0,0,3.77,7.15
66,2020-04-23,강원,53,2,0,0,3.77,8.65
67,2020-04-24,강원,53,2,0,0,3.77,11.0
68,2020-04-25,강원,53,2,0,0,3.77,14.7
69,2020-04-26,강원,53,2,0,0,3.77,11.1
70,2020-04-27,강원,53,2,0,0,3.77,10.65
71,2020-04-28,강원,53,2,0,0,3.77,14.95
72,2020-04-29,강원,53,2,0,0,3.77,16.45
73,2020-04-30,강원,53,2,0,0,3.77,18.3
74,2020-05-01,강원,53,2,0,0,3.77,23.55
75,2020-05-02,강원,53,2,0,0,3.77,22.4
76,2020-05-03,강원,53,2,0,0,3.77,21.1
77,2020-05-04,강원,53,2,0,0,3.77,18.3
78,2020-05-05,강원,53,2,0,0,3.77,15.75
79,2020-05-06,강원,53,2,0,0,3.77,16.75
80,2020-05-07,강원,53,2,0,0,3.77,16.55
81,2020-05-08,강원,53,2,0,0,3.77,17.2
82,2020-05-09,강원,53,2,0,0,3.77,14.55
83,2020-05-10,강원,53,2,0,0,3.77,17.15
84,2020-05-11,강원,54,2,1,0,3.7,19.0
85,2020-05-12,강원,54,2,0,0,3.7,15.85
86,2020-05-13,강원,54,2,0,0,3.7,17.75
87,2020-05-14,강원,55,2,1,0,3.64,20.4
88,2020-05-15,강원,55,2,0,0,3.64,15.8
89,2020-05-16,강원,55,2,0,0,3.64,16.65
90,2020-05-17,강원,55,2,0,0,3.64,19.1
91,2020-05-18,강원,55,2,0,0,3.64,17.25
92,2020-05-19,강원,55,2,0,0,3.64,11.55
93,2020-05-20,강원,55,2,0,0,3.64,11.15
94,2020-05-21,강원,55,2,0,0,3.64,14.15
95,2020-05-22,강원,55,2,0,0,3.64,15.35
96,2020-05-23,강원,55,2,0,0,3.64,17.3
97,2020-05-24,강원,56,2,1,0,3.57,18.65
98,2020-05-25,강원,56,2,0,0,3.57,19.4
99,2020-05-26,강원,56,3,0,1,5.36,18.1
100,2020-05-27,강원,56,3,0,0,5.36,18.6
101,2020-05-28,강원,56,3,0,0,5.36,18.25
102,2020-05-29,강원,56,3,0,0,5.36,19.1
103,2020-05-30,강원,57,3,1,0,5.26,20.05
104,2020-05-31,강원,57,3,0,0,5.26,20.1
105,2020-06-01,강원,57,3,0,0,5.26,22.3
106,2020-06-02,강원,57,3,0,0,5.26,19.2
107,2020-06-03,강원,57,3,0,0,5.26,23.15
108,2020-06-04,강원,57,3,0,0,5.26,25.3
109,2020-06-05,강원,57,3,0,0,5.26,21.35
110,2020-06-06,강원,58,3,1,0,5.17,21.25
111,2020-06-07,강원,58,3,0,0,5.17,22.3
112,2020-06-08,강원,58,3,0,0,5.17,25.35
113,2020-06-09,강원,58,3,0,0,5.17,26.8
114,2020-06-10,강원,59,3,1,0,5.08,25.6
115,2020-06-11,강원,59,3,0,0,5.08,25.85
116,2020-06-12,강원,59,3,0,0,5.08,22.85
117,2020-06-13,강원,59,3,0,0,5.08,25.75
118,2020-06-14,강원,60,3,1,0,5.0,26.15
119,2020-06-15,강원,60,3,0,0,5.0,25.6
120,2020-06-16,강원,60,3,0,0,5.0,23.45
121,2020-06-17,강원,60,3,0,0,5.0,24.35
122,2020-06-18,강원,60,3,0,0,5.0,22.1
123,2020-06-19,강원,60,3,0,0,5.0,20.700000000000003
124,2020-06-20,강원,60,3,0,0,5.0,22.6
125,2020-06-21,강원,62,3,2,0,4.84,24.1
126,2020-06-22,강원,62,3,0,0,4.84,25.5
127,2020-06-23,강원,62,3,0,0,4.84,24.5
128,2020-06-24,강원,63,3,1,0,4.76,21.0
129,2020-06-25,강원,63,3,0,0,4.76,20.55
130,2020-06-26,강원,64,3,1,0,4.69,23.05
131,2020-06-27,강원,64,3,0,0,4.69,24.55
132,2020-06-28,강원,64,3,0,0,4.69,23.0
133,2020-06-29,강원,64,3,0,0,4.69,22.35
134,2020-06-30,강원,65,3,1,0,4.62,19.5
135,2020-07-01,강원,65,3,0,0,4.62,19.6
136,2020-07-02,강원,65,3,0,0,4.62,23.25
137,2020-07-03,강원,65,3,0,0,4.62,23.2
138,2020-07-04,강원,65,3,0,0,4.62,22.3
139,2020-07-05,강원,66,3,1,0,4.55,23.9
140,2020-07-06,강원,67,3,1,0,4.48,24.2
141,2020-07-07,강원,67,3,0,0,4.48,23.95
142,2020-07-08,강원,67,3,0,0,4.48,24.25
143,2020-07-09,강원,67,3,0,0,4.48,24.4
144,2020-07-10,강원,67,3,0,0,4.48,22.55
145,2020-07-11,강원,67,3,0,0,4.48,21.45
146,2020-07-12,강원,67,3,0,0,4.48,20.65
147,2020-07-13,강원,69,3,2,0,4.35,18.9
148,2020-07-14,강원,69,3,0,0,4.35,18.95
149,2020-07-15,강원,69,3,0,0,4.35,20.3
150,2020-07-16,강원,72,3,3,0,4.17,21.65
151,2020-07-17,강원,72,3,0,0,4.17,23.1
152,2020-07-18,강원,72,3,0,0,4.17,23.200000000000003
153,2020-07-19,강원,72,3,0,0,4.17,22.200000000000003
154,2020-07-20,강원,72,3,0,0,4.17,25.95
155,2020-07-21,강원,72,3,0,0,4.17,25.65
156,2020-07-22,강원,72,3,0,0,4.17,23.7
157,2020-07-23,강원,72,3,0,0,4.17,21.25
158,2020-07-24,강원,72,3,0,0,4.17,20.85
159,2020-07-25,강원,72,3,0,0,4.17,21.45
160,2020-07-26,강원,72,3,0,0,4.17,22.3
161,2020-07-27,강원,72,3,0,0,4.17,21.700000000000003
162,2020-07-28,강원,72,3,0,0,4.17,22.3
163,2020-07-29,강원,72,3,0,0,4.17,22.4
164,2020-07-30,강원,72,3,0,0,4.17,23.8
165,2020-07-31,강원,74,3,2,0,4.05,27.15
166,2020-08-01,강원,74,3,0,0,4.05,25.75
167,2020-08-02,강원,74,3,0,0,4.05,25.3
168,2020-08-03,강원,74,3,0,0,4.05,25.45
169,2020-08-04,강원,74,3,0,0,4.05,24.9
170,2020-08-05,강원,75,3,1,0,4.0,23.25
171,2020-08-06,강원,77,3,2,0,3.9,23.95
172,2020-08-07,강원,77,3,0,0,3.9,24.3
173,2020-08-08,강원,77,3,0,0,3.9,22.75
174,2020-08-09,강원,77,3,0,0,3.9,23.5
175,2020-08-10,강원,77,3,0,0,3.9,25.4
176,2020-08-11,강원,77,3,0,0,3.9,25.05
177,2020-08-12,강원,77,3,0,0,3.9,27.75
178,2020-08-13,강원,77,3,0,0,3.9,28.6
179,2020-08-14,강원,78,3,1,0,3.85,29.5
180,2020-08-15,강원,81,3,3,0,3.7,27.35
181,2020-08-16,강원,81,3,0,0,3.7,28.3
182,2020-08-17,강원,82,3,1,0,3.66,28.5
183,2020-08-18,강원,84,3,2,0,3.57,28.5
184,2020-08-19,강원,90,3,6,0,3.33,28.65
185,2020-08-20,강원,95,3,5,0,3.16,26.25
186,2020-08-21,강원,104,3,9,0,2.88,23.25
187,2020-08-22,강원,120,3,16,0,2.5,23.05
188,2020-08-23,강원,135,3,15,0,2.22,24.0
189,2020-08-24,강원,141,3,6,0,2.13,25.9
190,2020-08-25,강원,149,3,8,0,2.01,28.5
191,2020-08-26,강원,167,3,18,0,1.8,27.3
192,2020-08-27,강원,181,3,14,0,1.66,28.2
193,2020-08-28,강원,184,3,3,0,1.63,27.8
194,2020-08-29,강원,184,3,0,0,1.63,27.200000000000003
195,2020-08-30,강원,186,3,2,0,1.61,24.75
196,2020-08-31,강원,189,3,3,0,1.59,23.95
197,2020-09-01,강원,193,3,4,0,1.55,24.85
198,2020-09-02,강원,195,3,2,0,1.54,23.45
199,2020-09-03,강원,199,3,4,0,1.51,24.15
200,2020-09-04,강원,202,3,3,0,1.49,23.15
201,2020-09-05,강원,205,3,3,0,1.46,20.55
202,2020-09-06,강원,210,3,5,0,1.43,19.05
203,2020-09-07,강원,210,3,0,0,1.43,20.5
204,2020-09-08,강원,210,3,0,0,1.43,23.8
205,2020-09-09,강원,210,3,0,0,1.43,21.25
206,2020-09-10,강원,212,3,2,0,1.42,21.700000000000003
207,2020-09-11,강원,212,3,0,0,1.42,20.5
208,2020-09-12,강원,215,3,3,0,1.4,18.75
209,2020-09-13,강원,216,3,1,0,1.39,18.6
210,2020-09-14,강원,216,3,0,0,1.39,20.3
211,2020-09-15,강원,217,3,1,0,1.38,21.35
212,2020-09-16,강원,217,3,0,0,1.38,21.25
213,2020-09-17,강원,217,3,0,0,1.38,20.55
214,2020-09-18,강원,217,3,0,0,1.38,20.2
215,2020-09-19,강원,217,3,0,0,1.38,19.6
216,2020-09-20,강원,217,3,0,0,1.38,17.6
217,2020-09-21,강원,217,3,0,0,1.38,16.7
218,2020-09-22,강원,219,3,2,0,1.37,16.6
219,2020-09-23,강원,220,3,1,0,1.36,16.75
220,2020-09-24,강원,222,3,2,0,1.35,18.0
221,2020-09-25,강원,223,3,1,0,1.35,18.1
222,2020-09-26,강원,223,3,0,0,1.35,17.299999999999997
223,2020-09-27,강원,223,3,0,0,1.35,17.35
224,2020-09-28,강원,224,3,1,0,1.34,17.3
225,2020-09-29,강원,224,3,0,0,1.34,17.65
226,2020-09-30,강원,224,3,0,0,1.34,17.5
227,2020-10-01,강원,224,3,0,0,1.34,17.35
228,2020-10-02,강원,224,3,0,0,1.34,18.9
229,2020-10-03,강원,224,3,0,0,1.34,18.65
230,2020-10-04,강원,224,3,0,0,1.34,17.55
231,2020-10-05,강원,224,3,0,0,1.34,13.3
232,2020-10-06,강원,224,3,0,0,1.34,12.4
233,2020-10-07,강원,224,3,0,0,1.34,14.0
234,2020-10-08,강원,224,3,0,0,1.34,14.5
235,2020-10-09,강원,224,3,0,0,1.34,15.15
236,2020-10-10,강원,224,3,0,0,1.34,14.65
237,2020-10-11,강원,226,3,2,0,1.33,14.45
238,2020-10-12,강원,227,3,1,0,1.32,15.35
239,2020-10-13,강원,231,3,4,0,1.3,13.45
240,2020-10-14,강원,231,3,0,0,1.3,12.4
241,2020-10-15,강원,232,3,1,0,1.29,10.6
242,2020-10-16,강원,232,3,0,0,1.29,11.0
243,2020-10-17,강원,235,3,3,0,1.28,11.45
244,2020-10-18,강원,237,3,2,0,1.27,12.5
245,2020-10-19,강원,238,3,1,0,1.26,13.15
246,2020-10-20,강원,241,3,3,0,1.24,13.25
247,2020-10-21,강원,243,3,2,0,1.23,12.75
248,2020-10-22,강원,245,3,2,0,1.22,14.2
249,2020-10-23,강원,246,3,1,0,1.22,9.3
250,2020-10-24,강원,246,3,0,0,1.22,8.75
251,2020-10-25,강원,246,3,0,0,1.22,12.0
252,2020-10-26,강원,246,3,0,0,1.22,11.6
253,2020-10-27,강원,252,3,6,0,1.19,12.9
254,2020-10-28,강원,266,3,14,0,1.13,12.9
255,2020-10-29,강원,273,3,7,0,1.1,8.95
256,2020-10-30,강원,279,3,6,0,1.08,9.9
257,2020-10-31,강원,279,3,0,0,1.08,11.65
258,2020-11-01,강원,282,3,3,0,1.06,13.6
259,2020-11-02,강원,283,3,1,0,1.06,11.05
260,2020-11-03,강원,284,3,1,0,1.06,6.25
261,2020-11-04,강원,284,3,0,0,1.06,5.1
262,2020-11-05,강원,285,3,1,0,1.05,10.05
263,2020-11-06,강원,292,3,7,0,1.03,14.05
264,2020-11-07,강원,296,3,4,0,1.01,15.5
265,2020-11-08,강원,305,3,9,0,0.98,9.55
266,2020-11-09,강원,316,3,11,0,0.95,5.85
267,2020-11-10,강원,319,3,3,0,0.94,5.949999999999999
268,2020-11-11,강원,328,3,9,0,0.91,7.7
269,2020-11-12,강원,334,3,6,0,0.9,10.65
270,2020-11-13,강원,357,3,23,0,0.84,10.95
271,2020-11-14,강원,375,4,18,1,1.07,9.85
272,2020-11-15,강원,394,4,19,0,1.02,11.4
273,2020-11-16,강원,414,4,20,0,0.97,11.8
274,2020-11-17,강원,427,4,13,0,0.94,13.05
275,2020-11-18,강원,432,5,5,1,1.16,15.9
276,2020-11-19,강원,452,5,20,0,1.11,17.1
277,2020-11-20,강원,476,5,24,0,1.05,6.1
278,2020-11-21,강원,491,5,15,0,1.02,6.65
279,2020-11-22,강원,504,5,13,0,0.99,7.7
280,2020-11-23,강원,516,6,12,1,1.16,3.85
281,2020-11-24,강원,562,6,46,0,1.07,3.55
282,2020-11-25,강원,575,6,13,0,1.04,4.65
283,2020-11-26,강원,583,6,8,0,1.03,5.15
284,2020-11-27,강원,592,6,9,0,1.01,4.949999999999999
285,2020-11-28,강원,625,6,33,0,0.96,1.4500000000000002
286,2020-11-29,강원,644,6,19,0,0.93,0.95
287,2020-11-30,강원,652,6,8,0,0.92,0.6
288,2020-12-01,강원,661,6,9,0,0.91,0.7500000000000001
289,2020-12-02,강원,673,6,12,0,0.89,2.6
290,2020-12-03,강원,681,6,8,0,0.88,1.9
291,2020-12-04,강원,684,6,3,0,0.88,0.1999999999999999
292,2020-12-05,강원,693,6,9,0,0.87,1.8
293,2020-12-06,강원,705,8,12,2,1.13,3.9
294,2020-12-07,강원,714,9,9,1,1.26,3.95
295,2020-12-08,강원,722,9,8,0,1.25,-0.2500000000000001
296,2020-12-09,강원,727,10,5,1,1.38,1.5
297,2020-12-10,강원,742,10,15,0,1.35,5.2
298,2020-12-11,강원,753,11,11,1,1.46,4.95
299,2020-12-12,강원,789,11,36,0,1.39,3.15
300,2020-12-13,강원,807,12,18,1,1.49,-0.95
301,2020-12-14,강원,821,12,14,0,1.46,-6.550000000000001
302,2020-12-15,강원,834,12,13,0,1.44,-7.75
303,2020-12-16,강원,842,12,8,0,1.43,-7.75
304,2020-12-17,강원,851,13,9,1,1.53,-5.1
305,2020-12-18,강원,869,13,18,0,1.5,-0.7499999999999999
306,2020-12-19,강원,896,13,27,0,1.45,-4.15
307,2020-12-20,강원,951,13,55,0,1.37,-3.8
308,2020-12-21,강원,976,13,25,0,1.33,-1.6
309,2020-12-22,강원,999,13,23,0,1.3,0.8999999999999999
310,2020-12-23,강원,1012,13,13,0,1.28,3.9
311,2020-12-24,강원,1033,13,21,0,1.26,4.0
312,2020-12-25,강원,1047,13,14,0,1.24,-0.6000000000000001
313,2020-12-26,강원,1083,13,36,0,1.2,2.3
314,2020-12-27,강원,1106,13,23,0,1.18,4.9
315,2020-12-28,강원,1133,13,27,0,1.15,5.6
