,날짜,region,confirmed,death,인천일일확진자,인천일일사망자,사망률,인천 평균기온(℃)
0,2020-02-17,인천,1,0,0,0,0.0,-5.4
1,2020-02-18,인천,1,0,0,0,0.0,-3.4
2,2020-02-19,인천,1,0,0,0,0.0,1.9
3,2020-02-20,인천,2,0,1,0,0.0,4.5
4,2020-02-21,인천,2,0,0,0,0.0,6.6
5,2020-02-22,인천,2,0,0,0,0.0,4.0
6,2020-02-23,인천,2,0,0,0,0.0,3.2
7,2020-02-24,인천,2,0,0,0,0.0,6.8
8,2020-02-25,인천,2,0,0,0,0.0,7.0
9,2020-02-26,인천,3,0,1,0,0.0,6.0
10,2020-02-27,인천,3,0,0,0,0.0,5.2
11,2020-02-28,인천,4,0,1,0,0.0,4.3
12,2020-02-29,인천,6,0,2,0,0.0,6.2
13,2020-03-01,인천,6,0,0,0,0.0,5.1
14,2020-03-02,인천,7,0,1,0,0.0,3.1
15,2020-03-03,인천,7,0,0,0,0.0,4.8
16,2020-03-04,인천,9,0,2,0,0.0,2.1
17,2020-03-05,인천,9,0,0,0,0.0,1.3
18,2020-03-06,인천,9,0,0,0,0.0,3.0
19,2020-03-07,인천,9,0,0,0,0.0,6.0
20,2020-03-08,인천,9,0,0,0,0.0,8.2
21,2020-03-09,인천,9,0,0,0,0.0,9.4
22,2020-03-10,인천,13,0,4,0,0.0,6.3
23,2020-03-11,인천,25,0,12,0,0.0,3.8
24,2020-03-12,인천,25,0,0,0,0.0,6.7
25,2020-03-13,인천,27,0,2,0,0.0,4.2
26,2020-03-14,인천,28,0,1,0,0.0,4.0
27,2020-03-15,인천,30,0,2,0,0.0,4.6
28,2020-03-16,인천,30,0,0,0,0.0,3.0
29,2020-03-17,인천,31,0,1,0,0.0,6.6
30,2020-03-18,인천,32,0,1,0,0.0,9.6
31,2020-03-19,인천,32,0,0,0,0.0,8.2
32,2020-03-20,인천,36,0,4,0,0.0,8.4
33,2020-03-21,인천,40,0,4,0,0.0,10.7
34,2020-03-22,인천,40,0,0,0,0.0,9.9
35,2020-03-23,인천,40,0,0,0,0.0,9.5
36,2020-03-24,인천,41,0,1,0,0.0,10.4
37,2020-03-25,인천,42,0,1,0,0.0,11.7
38,2020-03-26,인천,43,0,1,0,0.0,14.7
39,2020-03-27,인천,46,0,3,0,0.0,10.7
40,2020-03-28,인천,51,0,5,0,0.0,7.1
41,2020-03-29,인천,58,0,7,0,0.0,7.8
42,2020-03-30,인천,58,0,0,0,0.0,8.1
43,2020-03-31,인천,64,0,6,0,0.0,9.9
44,2020-04-01,인천,69,0,5,0,0.0,10.6
45,2020-04-02,인천,73,0,4,0,0.0,8.2
46,2020-04-03,인천,74,0,1,0,0.0,9.0
47,2020-04-04,인천,77,0,3,0,0.0,8.7
48,2020-04-05,인천,79,0,2,0,0.0,7.0
49,2020-04-06,인천,80,0,1,0,0.0,8.3
50,2020-04-07,인천,80,0,0,0,0.0,9.4
51,2020-04-08,인천,84,0,4,0,0.0,9.2
52,2020-04-09,인천,84,0,0,0,0.0,8.4
53,2020-04-10,인천,85,0,1,0,0.0,9.5
54,2020-04-11,인천,85,0,0,0,0.0,8.5
55,2020-04-12,인천,86,0,1,0,0.0,10.3
56,2020-04-13,인천,87,0,1,0,0.0,11.5
57,2020-04-14,인천,88,0,1,0,0.0,11.1
58,2020-04-15,인천,88,0,0,0,0.0,11.9
59,2020-04-16,인천,88,0,0,0,0.0,14.7
60,2020-04-17,인천,89,0,1,0,0.0,12.0
61,2020-04-18,인천,90,0,1,0,0.0,12.0
62,2020-04-19,인천,91,0,1,0,0.0,11.9
63,2020-04-20,인천,92,0,1,0,0.0,10.0
64,2020-04-21,인천,92,0,0,0,0.0,7.7
65,2020-04-22,인천,92,0,0,0,0.0,6.6
66,2020-04-23,인천,92,0,0,0,0.0,8.3
67,2020-04-24,인천,92,0,0,0,0.0,9.8
68,2020-04-25,인천,92,0,0,0,0.0,12.5
69,2020-04-26,인천,92,0,0,0,0.0,12.1
70,2020-04-27,인천,92,0,0,0,0.0,12.3
71,2020-04-28,인천,93,0,1,0,0.0,12.2
72,2020-04-29,인천,93,0,0,0,0.0,13.5
73,2020-04-30,인천,93,0,0,0,0.0,15.9
