,날짜,region,confirmed,death,전남일일확진자,전남일일사망자,사망률,전남 평균기온(℃)
0,2020-02-17,전남,1,0,0,0,0.0,-6.6
1,2020-02-18,전남,1,0,0,0,0.0,-5.1
2,2020-02-19,전남,1,0,0,0,0.0,-0.9
3,2020-02-20,전남,1,0,0,0,0.0,2.7
4,2020-02-21,전남,1,0,0,0,0.0,5.1
5,2020-02-22,전남,1,0,0,0,0.0,2.9
6,2020-02-23,전남,1,0,0,0,0.0,1.3
7,2020-02-24,전남,1,0,0,0,0.0,5.7
8,2020-02-25,전남,1,0,0,0,0.0,5.4
9,2020-02-26,전남,1,0,0,0,0.0,4.4
10,2020-02-27,전남,1,0,0,0,0.0,4.6
11,2020-02-28,전남,1,0,0,0,0.0,2.6
12,2020-02-29,전남,3,0,2,0,0.0,5.8
13,2020-03-01,전남,3,0,0,0,0.0,4.4
14,2020-03-02,전남,5,0,2,0,0.0,2.5
15,2020-03-03,전남,5,0,0,0,0.0,3.7
16,2020-03-04,전남,5,0,0,0,0.0,1.6
17,2020-03-05,전남,4,0,-1,0,0.0,0.7
18,2020-03-06,전남,4,0,0,0,0.0,2.1
19,2020-03-07,전남,4,0,0,0,0.0,5.0
20,2020-03-08,전남,4,0,0,0,0.0,7.4
21,2020-03-09,전남,4,0,0,0,0.0,9.4
22,2020-03-10,전남,4,0,0,0,0.0,5.7
23,2020-03-11,전남,4,0,0,0,0.0,3.3
24,2020-03-12,전남,4,0,0,0,0.0,6.0
25,2020-03-13,전남,4,0,0,0,0.0,4.4
26,2020-03-14,전남,4,0,0,0,0.0,3.1
27,2020-03-15,전남,4,0,0,0,0.0,2.9
28,2020-03-16,전남,4,0,0,0,0.0,2.4
29,2020-03-17,전남,4,0,0,0,0.0,5.4
30,2020-03-18,전남,5,0,1,0,0.0,8.8
31,2020-03-19,전남,5,0,0,0,0.0,8.7
32,2020-03-20,전남,5,0,0,0,0.0,7.8
33,2020-03-21,전남,5,0,0,0,0.0,12.2
34,2020-03-22,전남,6,0,1,0,0.0,10.4
35,2020-03-23,전남,6,0,0,0,0.0,9.5
36,2020-03-24,전남,6,0,0,0,0.0,10.1
37,2020-03-25,전남,8,0,2,0,0.0,10.8
38,2020-03-26,전남,8,0,0,0,0.0,13.3
39,2020-03-27,전남,8,0,0,0,0.0,11.9
40,2020-03-28,전남,8,0,0,0,0.0,7.2
41,2020-03-29,전남,9,0,1,0,0.0,7.3
42,2020-03-30,전남,9,0,0,0,0.0,8.9
43,2020-03-31,전남,9,0,0,0,0.0,10.6
44,2020-04-01,전남,12,0,3,0,0.0,10.9
45,2020-04-02,전남,14,0,2,0,0.0,8.1
46,2020-04-03,전남,15,0,1,0,0.0,9.2
47,2020-04-04,전남,15,0,0,0,0.0,8.7
48,2020-04-05,전남,15,0,0,0,0.0,7.1
49,2020-04-06,전남,15,0,0,0,0.0,8.5
50,2020-04-07,전남,15,0,0,0,0.0,9.6
51,2020-04-08,전남,15,0,0,0,0.0,8.5
52,2020-04-09,전남,15,0,0,0,0.0,8.5
53,2020-04-10,전남,15,0,0,0,0.0,9.5
54,2020-04-11,전남,15,0,0,0,0.0,9.6
55,2020-04-12,전남,15,0,0,0,0.0,8.3
56,2020-04-13,전남,15,0,0,0,0.0,11.1
57,2020-04-14,전남,15,0,0,0,0.0,12.2
58,2020-04-15,전남,15,0,0,0,0.0,12.3
59,2020-04-16,전남,15,0,0,0,0.0,14.7
60,2020-04-17,전남,15,0,0,0,0.0,10.7
61,2020-04-18,전남,15,0,0,0,0.0,13.1
