,날짜,region,confirmed,death,서울일일확진자,서울일일사망자,사망률,서울 평균기온(℃)
0,2020-02-17,서울,14,0,0,0,0.0,-5.9
1,2020-02-18,서울,14,0,0,0,0.0,-4.1
2,2020-02-19,서울,15,0,1,0,0.0,1.0
3,2020-02-20,서울,22,0,7,0,0.0,4.6
4,2020-02-21,서울,27,0,5,0,0.0,6.7
5,2020-02-22,서울,30,0,3,0,0.0,4.0
6,2020-02-23,서울,31,0,1,0,0.0,2.5
7,2020-02-24,서울,35,0,4,0,0.0,7.0
8,2020-02-25,서울,41,0,6,0,0.0,6.7
9,2020-02-26,서울,49,0,8,0,0.0,6.4
10,2020-02-27,서울,56,0,7,0,0.0,6.1
11,2020-02-28,서울,62,0,6,0,0.0,4.5
12,2020-02-29,서울,77,0,15,0,0.0,7.7
13,2020-03-01,서울,87,0,10,0,0.0,5.8
14,2020-03-02,서울,91,0,4,0,0.0,3.4
15,2020-03-03,서울,98,0,7,0,0.0,4.8
16,2020-03-04,서울,99,0,1,0,0.0,2.2
17,2020-03-05,서울,103,0,4,0,0.0,1.4
18,2020-03-06,서울,105,0,2,0,0.0,3.7
19,2020-03-07,서울,108,0,3,0,0.0,7.0
20,2020-03-08,서울,120,0,12,0,0.0,9.3
21,2020-03-09,서울,130,0,10,0,0.0,11.1
22,2020-03-10,서울,141,0,11,0,0.0,6.4
23,2020-03-11,서울,193,0,52,0,0.0,3.8
24,2020-03-12,서울,212,0,19,0,0.0,6.8
25,2020-03-13,서울,225,0,13,0,0.0,4.9
26,2020-03-14,서울,238,0,13,0,0.0,3.6
27,2020-03-15,서울,247,0,9,0,0.0,4.0
28,2020-03-16,서울,253,0,6,0,0.0,3.6
29,2020-03-17,서울,265,0,12,0,0.0,6.6
30,2020-03-18,서울,270,0,5,0,0.0,10.0
31,2020-03-19,서울,282,0,12,0,0.0,9.1
32,2020-03-20,서울,299,0,17,0,0.0,8.8
33,2020-03-21,서울,314,0,15,0,0.0,12.8
34,2020-03-22,서울,324,0,10,0,0.0,11.0
35,2020-03-23,서울,330,0,6,0,0.0,10.6
36,2020-03-24,서울,334,0,4,0,0.0,11.4
37,2020-03-25,서울,347,0,13,0,0.0,12.5
38,2020-03-26,서울,360,0,13,0,0.0,14.8
39,2020-03-27,서울,372,0,12,0,0.0,11.9
40,2020-03-28,서울,390,0,18,0,0.0,7.7
41,2020-03-29,서울,410,0,20,0,0.0,8.7
42,2020-03-30,서울,426,0,16,0,0.0,10.2
43,2020-03-31,서울,450,0,24,0,0.0,11.9
44,2020-04-01,서울,474,0,24,0,0.0,11.3
45,2020-04-02,서울,488,0,14,0,0.0,9.3
46,2020-04-03,서울,506,0,18,0,0.0,10.0
47,2020-04-04,서울,528,0,22,0,0.0,8.9
48,2020-04-05,서울,552,0,24,0,0.0,7.2
49,2020-04-06,서울,563,0,11,0,0.0,9.3
50,2020-04-07,서울,567,0,4,0,0.0,10.6
