날짜,지점,평균기온(℃)
0,2019-01-01,부산,1.0
1,2019-01-02,부산,1.2
2,2019-01-03,부산,3.0
3,2019-01-04,부산,5.0
4,2019-01-05,부산,5.5
5,2019-01-06,부산,4.4
6,2019-01-07,부산,4.4
7,2019-01-08,부산,3.2
8,2019-01-09,부산,2.3
9,2019-01-10,부산,4.8
10,2019-01-11,부산,6.2
11,2019-01-12,부산,6.2
12,2019-01-13,부산,6.8
13,2019-01-14,부산,7.3
14,2019-01-15,부산,5.6
15,2019-01-16,부산,0.0
16,2019-01-17,부산,2.4
17,2019-01-18,부산,5.5
18,2019-01-19,부산,7.5
19,2019-01-20,부산,5.5
20,2019-01-21,부산,2.8
21,2019-01-22,부산,5.5
22,2019-01-23,부산,6.5
23,2019-01-24,부산,5.7
24,2019-01-25,부산,4.2
25,2019-01-26,부산,1.0
26,2019-01-27,부산,3.9
27,2019-01-28,부산,5.3
28,2019-01-29,부산,5.2
29,2019-01-30,부산,8.6
30,2019-01-31,부산,2.2
31,2019-02-01,부산,0.4
32,2019-02-02,부산,4.2
33,2019-02-03,부산,11.6
34,2019-02-04,부산,6.8
35,2019-02-05,부산,8.0
36,2019-02-06,부산,10.5
37,2019-02-07,부산,8.3
38,2019-02-08,부산,3.2
39,2019-02-09,부산,2.5
40,2019-02-10,부산,4.0
41,2019-02-11,부산,2.9
42,2019-02-12,부산,4.0
43,2019-02-13,부산,4.6
44,2019-02-14,부산,5.2
45,2019-02-15,부산,6.3
46,2019-02-16,부산,3.2
47,2019-02-17,부산,3.2
48,2019-02-18,부산,6.5
49,2019-02-19,부산,7.1
50,2019-02-20,부산,5.6
51,2019-02-21,부산,6.9
52,2019-02-22,부산,9.0
53,2019-02-23,부산,9.2
54,2019-02-24,부산,9.0
55,2019-02-25,부산,10.8
56,2019-02-26,부산,10.9
57,2019-02-27,부산,10.4
58,2019-02-28,부산,10.6
59,2019-03-01,부산,10.6
60,2019-03-02,부산,10.7
61,2019-03-03,부산,11.5
62,2019-03-04,부산,11.4
63,2019-03-05,부산,12.0
64,2019-03-06,부산,10.7
65,2019-03-07,부산,9.7
66,2019-03-08,부산,10.5
67,2019-03-09,부산,11.8
68,2019-03-10,부산,8.4
69,2019-03-11,부산,9.8
70,2019-03-12,부산,9.4
71,2019-03-13,부산,5.5
72,2019-03-14,부산,8.0
73,2019-03-15,부산,8.2
74,2019-03-16,부산,7.7
75,2019-03-17,부산,9.9
76,2019-03-18,부산,11.5
77,2019-03-19,부산,13.9
78,2019-03-20,부산,13.8
79,2019-03-21,부산,15.6
80,2019-03-22,부산,9.4
81,2019-03-23,부산,7.0
82,2019-03-24,부산,6.9
83,2019-03-25,부산,8.7
84,2019-03-26,부산,13.6
85,2019-03-27,부산,14.8
86,2019-03-28,부산,12.8
87,2019-03-29,부산,13.9
88,2019-03-30,부산,11.6
89,2019-03-31,부산,7.7
