,날짜,지점,평균기온(℃)
0,2019-01-01,충북,-4.2
1,2019-01-02,충북,-5.1
2,2019-01-03,충북,-5.0
3,2019-01-04,충북,-3.1
4,2019-01-05,충북,-2.1
5,2019-01-06,충북,-3.9
6,2019-01-07,충북,-3.3
7,2019-01-08,충북,-3.2
8,2019-01-09,충북,-5.7
9,2019-01-10,충북,-2.2
10,2019-01-11,충북,0.6
11,2019-01-12,충북,2.2
12,2019-01-13,충북,-0.3
13,2019-01-14,충북,-1.1
14,2019-01-15,충북,-1.1
15,2019-01-16,충북,-5.7
16,2019-01-17,충북,-1.2
17,2019-01-18,충북,-1.6
18,2019-01-19,충북,0.6
19,2019-01-20,충북,-0.2
20,2019-01-21,충북,-1.3
21,2019-01-22,충북,1.3
22,2019-01-23,충북,1.1
23,2019-01-24,충북,-1.4
24,2019-01-25,충북,-2.5
25,2019-01-26,충북,-4.1
26,2019-01-27,충북,-2.4
27,2019-01-28,충북,0.8
28,2019-01-29,충북,-1.8
29,2019-01-30,충북,1.1
30,2019-01-31,충북,-1.0
31,2019-02-01,충북,-2.9
32,2019-02-02,충북,-0.2
33,2019-02-03,충북,3.4
34,2019-02-04,충북,0.7
35,2019-02-05,충북,1.1
36,2019-02-06,충북,4.6
37,2019-02-07,충북,0.6
38,2019-02-08,충북,-3.9
39,2019-02-09,충북,-3.7
40,2019-02-10,충북,-3.2
41,2019-02-11,충북,-2.7
42,2019-02-12,충북,-1.9
43,2019-02-13,충북,-1.7
44,2019-02-14,충북,-0.5
45,2019-02-15,충북,0.5
46,2019-02-16,충북,-2.1
47,2019-02-17,충북,-2.1
48,2019-02-18,충북,0.9
49,2019-02-19,충북,1.3
50,2019-02-20,충북,1.4
51,2019-02-21,충북,1.0
52,2019-02-22,충북,2.4
53,2019-02-23,충북,3.7
54,2019-02-24,충북,4.8
55,2019-02-25,충북,4.5
56,2019-02-26,충북,3.7
57,2019-02-27,충북,5.9
58,2019-02-28,충북,5.3
