,날짜,지점,평균기온(℃)
0,2019-01-02,충남,-4.5
1,2019-01-03,충남,-4.1
2,2019-01-04,충남,-2.9
3,2019-01-05,충남,-2.0
4,2019-01-06,충남,-3.6
5,2019-01-07,충남,-2.5
6,2019-01-08,충남,-2.5
7,2019-01-09,충남,-4.5
8,2019-01-10,충남,-1.9
9,2019-01-11,충남,1.9
10,2019-01-12,충남,3.1
11,2019-01-13,충남,0.1
12,2019-01-14,충남,-0.2
13,2019-01-15,충남,-0.6
14,2019-01-16,충남,-4.3
15,2019-01-17,충남,-0.6
16,2019-01-18,충남,-0.9
17,2019-01-19,충남,2.0
18,2019-01-20,충남,0.3
19,2019-01-21,충남,-0.6
20,2019-01-22,충남,0.7
21,2019-01-23,충남,1.3
22,2019-01-24,충남,-1.3
23,2019-01-25,충남,-1.9
24,2019-01-26,충남,-3.1
25,2019-01-27,충남,-1.7
26,2019-01-28,충남,1.6
27,2019-01-29,충남,-1.7
28,2019-01-30,충남,1.5
29,2019-01-31,충남,-0.6
30,2019-02-01,충남,-2.6
31,2019-02-02,충남,1.2
32,2019-02-03,충남,5.1
33,2019-02-04,충남,0.4
34,2019-02-05,충남,1.7
35,2019-02-06,충남,4.9
36,2019-02-07,충남,0.1
37,2019-02-08,충남,-3.9
38,2019-02-09,충남,-3.2
39,2019-02-10,충남,-3.1
40,2019-02-11,충남,-2.3
41,2019-02-12,충남,-1.1
42,2019-02-13,충남,-1.1
43,2019-02-14,충남,-0.3
44,2019-02-15,충남,0.6
45,2019-02-16,충남,-1.6
46,2019-02-17,충남,-2.1
47,2019-02-18,충남,0.6
48,2019-02-19,충남,1.2
49,2019-02-20,충남,1.5
50,2019-02-21,충남,0.9
51,2019-02-22,충남,2.2
52,2019-02-23,충남,3.9
53,2019-02-24,충남,4.4
54,2019-02-25,충남,3.3
55,2019-02-26,충남,3.5
56,2019-02-27,충남,5.2
57,2019-02-28,충남,4.2
58,2019-03-01,충남,3.8
59,2019-03-02,충남,5.5
60,2019-03-03,충남,7.6
61,2019-03-04,충남,7.3
62,2019-03-05,충남,6.2
63,2019-03-06,충남,7.6
64,2019-03-07,충남,4.9
65,2019-03-08,충남,3.7
66,2019-03-09,충남,6.1
67,2019-03-10,충남,7.6
68,2019-03-11,충남,4.6
69,2019-03-12,충남,3.8
70,2019-03-13,충남,2.6
71,2019-03-14,충남,4.8
72,2019-03-15,충남,5.7
73,2019-03-16,충남,5.4
74,2019-03-17,충남,5.2
75,2019-03-18,충남,5.2
76,2019-03-19,충남,8.2
77,2019-03-20,충남,10.1
78,2019-03-21,충남,7.4
79,2019-03-22,충남,3.4
80,2019-03-23,충남,2.9
81,2019-03-24,충남,3.3
82,2019-03-25,충남,6.1
83,2019-03-26,충남,9.4
84,2019-03-27,충남,11.7
85,2019-03-28,충남,9.4
86,2019-03-29,충남,9.8
87,2019-03-30,충남,5.6
88,2019-03-31,충남,5.1
89,2019-04-01,충남,4.5
90,2019-04-02,충남,5.0
91,2019-04-03,충남,5.4
92,2019-04-04,충남,7.2
93,2019-04-05,충남,9.7
94,2019-04-06,충남,9.9
95,2019-04-07,충남,12.9
96,2019-04-08,충남,10.5
97,2019-04-09,충남,9.8
98,2019-04-10,충남,7.0
99,2019-04-11,충남,8.3
100,2019-04-12,충남,9.3
101,2019-04-13,충남,9.9
102,2019-04-14,충남,8.5
103,2019-04-15,충남,8.8
104,2019-04-16,충남,12.5
105,2019-04-17,충남,13.9
106,2019-04-18,충남,13.4
107,2019-04-19,충남,14.2
108,2019-04-20,충남,15.6
109,2019-04-21,충남,15.8
110,2019-04-22,충남,18.2
111,2019-04-23,충남,17.1
112,2019-04-24,충남,16.5
113,2019-04-25,충남,13.1
114,2019-04-26,충남,8.9
115,2019-04-27,충남,11.1
116,2019-04-28,충남,11.9
117,2019-04-29,충남,10.9
118,2019-04-30,충남,14.2
119,2019-05-01,충남,13.2
120,2019-05-02,충남,13.7
121,2019-05-03,충남,15.1
122,2019-05-04,충남,16.5
123,2019-05-05,충남,17.3
124,2019-05-06,충남,12.9
125,2019-05-07,충남,12.2
126,2019-05-08,충남,13.3
127,2019-05-09,충남,14.6
128,2019-05-10,충남,15.6
129,2019-05-11,충남,17.3
130,2019-05-12,충남,18.1
131,2019-05-13,충남,17.4
132,2019-05-14,충남,18.7
133,2019-05-15,충남,19.7
134,2019-05-16,충남,21.5
135,2019-05-17,충남,21.3
136,2019-05-18,충남,19.1
137,2019-05-19,충남,20.3
138,2019-05-20,충남,15.5
139,2019-05-21,충남,16.0
140,2019-05-22,충남,17.7
141,2019-05-23,충남,19.7
142,2019-05-24,충남,21.4
143,2019-05-25,충남,21.2
144,2019-05-26,충남,22.7
145,2019-05-27,충남,17.0
146,2019-05-28,충남,16.5
147,2019-05-29,충남,17.6
148,2019-05-30,충남,18.1
149,2019-05-31,충남,17.6
150,2019-06-01,충남,17.0
151,2019-06-02,충남,19.3
152,2019-06-03,충남,20.8
153,2019-06-04,충남,21.4
154,2019-06-05,충남,21.2
155,2019-06-06,충남,20.2
156,2019-06-07,충남,18.4
157,2019-06-08,충남,20.4
158,2019-06-09,충남,20.5
159,2019-06-10,충남,18.3
160,2019-06-11,충남,19.1
161,2019-06-12,충남,19.2
162,2019-06-13,충남,21.3
163,2019-06-14,충남,20.7
164,2019-06-15,충남,19.9
165,2019-06-16,충남,20.0
166,2019-06-17,충남,20.2
167,2019-06-18,충남,20.3
168,2019-06-19,충남,21.2
169,2019-06-20,충남,21.8
170,2019-06-21,충남,22.2
171,2019-06-22,충남,22.0
172,2019-06-23,충남,22.3
173,2019-06-24,충남,22.3
174,2019-06-25,충남,23.5
175,2019-06-26,충남,21.0
176,2019-06-27,충남,23.4
177,2019-06-28,충남,23.6
178,2019-06-29,충남,21.4
179,2019-06-30,충남,22.8
180,2019-07-01,충남,22.4
181,2019-07-02,충남,22.1
182,2019-07-03,충남,22.2
183,2019-07-04,충남,23.3
184,2019-07-05,충남,24.7
185,2019-07-06,충남,26.1
186,2019-07-07,충남,24.6
187,2019-07-08,충남,23.9
188,2019-07-09,충남,23.8
189,2019-07-10,충남,21.0
190,2019-07-11,충남,21.0
191,2019-07-12,충남,22.2
192,2019-07-13,충남,22.4
193,2019-07-14,충남,23.9
194,2019-07-15,충남,23.2
195,2019-07-16,충남,23.9
196,2019-07-17,충남,24.6
197,2019-07-18,충남,24.6
198,2019-07-19,충남,26.5
199,2019-07-20,충남,25.6
200,2019-07-21,충남,24.3
201,2019-07-22,충남,26.2
202,2019-07-23,충남,27.1
203,2019-07-24,충남,26.2
204,2019-07-25,충남,25.6
205,2019-07-26,충남,25.7
206,2019-07-27,충남,26.7
207,2019-07-28,충남,25.9
208,2019-07-29,충남,27.2
209,2019-07-30,충남,27.8
210,2019-07-31,충남,27.5
211,2019-08-01,충남,27.5
212,2019-08-02,충남,28.2
213,2019-08-03,충남,28.3
214,2019-08-04,충남,28.2
215,2019-08-05,충남,28.7
216,2019-08-06,충남,28.7
217,2019-08-07,충남,27.4
218,2019-08-08,충남,27.0
219,2019-08-09,충남,28.1
220,2019-08-10,충남,29.7
221,2019-08-11,충남,29.1
222,2019-08-12,충남,27.4
223,2019-08-13,충남,28.3
224,2019-08-14,충남,29.1
225,2019-08-15,충남,25.3
226,2019-08-16,충남,25.7
227,2019-08-17,충남,24.9
228,2019-08-18,충남,23.6
229,2019-08-19,충남,24.5
230,2019-08-20,충남,26.1
231,2019-08-21,충남,26.1
232,2019-08-22,충남,25.2
233,2019-08-23,충남,23.7
234,2019-08-24,충남,22.1
235,2019-08-25,충남,22.7
236,2019-08-26,충남,24.1
237,2019-08-27,충남,22.2
238,2019-08-28,충남,23.6
239,2019-08-29,충남,22.0
240,2019-08-30,충남,21.6
241,2019-08-31,충남,21.5
242,2019-09-01,충남,21.7
243,2019-09-02,충남,21.8
244,2019-09-03,충남,22.3
245,2019-09-04,충남,23.6
246,2019-09-05,충남,23.3
247,2019-09-06,충남,25.0
248,2019-09-07,충남,25.1
249,2019-09-08,충남,23.9
250,2019-09-09,충남,23.3
251,2019-09-10,충남,25.8
252,2019-09-11,충남,23.9
253,2019-09-12,충남,20.8
254,2019-09-13,충남,21.7
255,2019-09-14,충남,21.7
256,2019-09-15,충남,23.7
257,2019-09-16,충남,23.0
258,2019-09-17,충남,21.5
259,2019-09-18,충남,19.9
260,2019-09-19,충남,18.2
261,2019-09-20,충남,19.0
262,2019-09-21,충남,17.5
263,2019-09-22,충남,16.5
264,2019-09-23,충남,17.7
265,2019-09-24,충남,16.9
266,2019-09-25,충남,17.7
267,2019-09-26,충남,19.8
268,2019-09-27,충남,21.6
269,2019-09-28,충남,22.2
270,2019-09-29,충남,20.5
271,2019-09-30,충남,20.1
272,2019-10-01,충남,20.7
273,2019-10-02,충남,20.6
274,2019-10-03,충남,22.0
275,2019-10-04,충남,21.0
276,2019-10-05,충남,18.1
277,2019-10-06,충남,17.5
278,2019-10-07,충남,14.9
279,2019-10-08,충남,14.4
280,2019-10-09,충남,11.9
281,2019-10-10,충남,13.9
282,2019-10-11,충남,17.1
283,2019-10-12,충남,17.8
284,2019-10-13,충남,15.4
285,2019-10-14,충남,13.0
286,2019-10-15,충남,12.1
287,2019-10-16,충남,12.9
288,2019-10-17,충남,13.4
289,2019-10-18,충남,14.8
290,2019-10-19,충남,15.0
291,2019-10-20,충남,13.9
292,2019-10-21,충남,14.4
293,2019-10-22,충남,15.4
294,2019-10-23,충남,15.6
295,2019-10-24,충남,17.6
296,2019-10-25,충남,16.2
297,2019-10-26,충남,11.2
298,2019-10-27,충남,9.2
299,2019-10-28,충남,11.3
300,2019-10-29,충남,12.5
301,2019-10-30,충남,9.4
302,2019-10-31,충남,12.0
303,2019-11-01,충남,13.0
304,2019-11-02,충남,11.8
305,2019-11-03,충남,13.1
306,2019-11-04,충남,12.3
307,2019-11-05,충남,10.2
308,2019-11-06,충남,9.6
309,2019-11-07,충남,9.0
310,2019-11-08,충남,5.1
311,2019-11-09,충남,6.9
312,2019-11-10,충남,8.7
313,2019-11-11,충남,11.5
314,2019-11-12,충남,8.3
315,2019-11-13,충남,7.7
316,2019-11-14,충남,2.7
317,2019-11-15,충남,9.6
318,2019-11-16,충남,10.9
319,2019-11-17,충남,10.3
320,2019-11-18,충남,7.1
321,2019-11-19,충남,2.4
322,2019-11-20,충남,1.2
323,2019-11-21,충남,4.2
324,2019-11-22,충남,8.7
325,2019-11-23,충남,10.2
326,2019-11-24,충남,11.2
327,2019-11-25,충남,3.1
328,2019-11-26,충남,7.2
329,2019-11-27,충남,5.0
330,2019-11-28,충남,3.4
331,2019-11-29,충남,1.6
332,2019-11-30,충남,4.0
333,2019-12-01,충남,5.7
334,2019-12-02,충남,3.1
335,2019-12-03,충남,1.7
336,2019-12-04,충남,4.7
337,2019-12-05,충남,-0.8
338,2019-12-06,충남,-4.6
339,2019-12-07,충남,-0.8
340,2019-12-08,충남,-0.2
341,2019-12-09,충남,2.8
342,2019-12-10,충남,7.2
343,2019-12-11,충남,6.2
344,2019-12-12,충남,0.8
345,2019-12-13,충남,0.5
346,2019-12-14,충남,3.5
347,2019-12-15,충남,3.8
348,2019-12-16,충남,7.3
349,2019-12-17,충남,7.6
350,2019-12-18,충남,2.6
351,2019-12-19,충남,0.3
352,2019-12-20,충남,-0.3
353,2019-12-21,충남,-0.7
354,2019-12-22,충남,3.0
355,2019-12-23,충남,3.3
356,2019-12-24,충남,0.6
357,2019-12-25,충남,2.0
358,2019-12-26,충남,2.8
359,2019-12-27,충남,-0.2
360,2019-12-28,충남,-0.4
361,2019-12-29,충남,2.4
362,2019-12-30,충남,3.9
363,2019-12-31,충남,-5.1
