,날짜,지점,평균기온(℃)
0,2019-01-01,대구,-0.6
1,2019-01-02,대구,-0.5
2,2019-01-03,대구,0.0
3,2019-01-04,대구,0.9
4,2019-01-05,대구,2.4
5,2019-01-06,대구,0.6
6,2019-01-07,대구,1.2
7,2019-01-08,대구,1.2
8,2019-01-09,대구,-1.3
9,2019-01-10,대구,1.7
10,2019-01-11,대구,3.0
11,2019-01-12,대구,3.1
12,2019-01-13,대구,1.8
13,2019-01-14,대구,2.0
14,2019-01-15,대구,2.6
15,2019-01-16,대구,-1.9
16,2019-01-17,대구,1.5
17,2019-01-18,대구,2.5
18,2019-01-19,대구,4.5
19,2019-01-20,대구,3.4
20,2019-01-21,대구,1.9
21,2019-01-22,대구,3.9
22,2019-01-23,대구,4.2
23,2019-01-24,대구,2.8
24,2019-01-25,대구,1.1
25,2019-01-26,대구,-0.3
26,2019-01-27,대구,0.7
27,2019-01-28,대구,3.1
28,2019-01-29,대구,1.6
29,2019-01-30,대구,5.2
30,2019-01-31,대구,1.4
31,2019-02-01,대구,0.0
32,2019-02-02,대구,3.0
33,2019-02-03,대구,5.0
34,2019-02-04,대구,4.1
35,2019-02-05,대구,3.3
36,2019-02-06,대구,6.6
37,2019-02-07,대구,3.9
38,2019-02-08,대구,-0.1
39,2019-02-09,대구,0.2
40,2019-02-10,대구,1.0
41,2019-02-11,대구,0.6
42,2019-02-12,대구,1.5
43,2019-02-13,대구,2.6
44,2019-02-14,대구,2.1
45,2019-02-15,대구,4.1
46,2019-02-16,대구,1.0
47,2019-02-17,대구,1.8
48,2019-02-18,대구,4.9
49,2019-02-19,대구,3.6
50,2019-02-20,대구,3.8
51,2019-02-21,대구,3.7
52,2019-02-22,대구,6.0
53,2019-02-23,대구,5.6
54,2019-02-24,대구,6.9
55,2019-02-25,대구,9.2
56,2019-02-26,대구,8.1
57,2019-02-27,대구,9.1
58,2019-02-28,대구,9.0
59,2019-03-01,대구,8.4
60,2019-03-02,대구,8.0
61,2019-03-03,대구,10.0
62,2019-03-04,대구,10.9
63,2019-03-05,대구,10.1
64,2019-03-06,대구,11.2
65,2019-03-07,대구,8.7
66,2019-03-08,대구,8.5
67,2019-03-09,대구,10.9
68,2019-03-10,대구,8.5
69,2019-03-11,대구,8.2
70,2019-03-12,대구,8.4
71,2019-03-13,대구,5.3
72,2019-03-14,대구,6.8
73,2019-03-15,대구,6.8
74,2019-03-16,대구,7.6
75,2019-03-17,대구,8.5
76,2019-03-18,대구,9.0
77,2019-03-19,대구,13.5
78,2019-03-20,대구,12.6
79,2019-03-21,대구,13.5
80,2019-03-22,대구,7.2
81,2019-03-23,대구,6.0
82,2019-03-24,대구,6.6
83,2019-03-25,대구,9.3
84,2019-03-26,대구,11.7
85,2019-03-27,대구,15.0
86,2019-03-28,대구,12.1
87,2019-03-29,대구,12.5
88,2019-03-30,대구,9.2
89,2019-03-31,대구,6.7
90,2019-04-01,대구,7.1
91,2019-04-02,대구,8.1
92,2019-04-03,대구,9.8
93,2019-04-04,대구,13.1
94,2019-04-05,대구,15.2
95,2019-04-06,대구,15.6
