,날짜,지점,평균기온(℃)
0,2019-01-01,대전,-2.7
1,2019-01-02,대전,-3.3
2,2019-01-03,대전,-2.7
3,2019-01-04,대전,-1.6
4,2019-01-05,대전,-0.7
5,2019-01-06,대전,-1.9
6,2019-01-07,대전,-1.2
7,2019-01-08,대전,-1.5
8,2019-01-09,대전,-3.4
9,2019-01-10,대전,-1.1
10,2019-01-11,대전,2.8
11,2019-01-12,대전,4.5
12,2019-01-13,대전,1.8
13,2019-01-14,대전,1.7
14,2019-01-15,대전,-0.1
15,2019-01-16,대전,-3.8
16,2019-01-17,대전,0.0
17,2019-01-18,대전,0.8
18,2019-01-19,대전,3.2
19,2019-01-20,대전,1.3
20,2019-01-21,대전,0.2
21,2019-01-22,대전,3.3
22,2019-01-23,대전,2.8
23,2019-01-24,대전,0.9
24,2019-01-25,대전,-0.9
25,2019-01-26,대전,-2.3
26,2019-01-27,대전,-0.4
27,2019-01-28,대전,2.3
28,2019-01-29,대전,0.1
29,2019-01-30,대전,2.7
30,2019-01-31,대전,0.6
31,2019-02-01,대전,-1.2
32,2019-02-02,대전,1.7
33,2019-02-03,대전,5.0
34,2019-02-04,대전,1.3
35,2019-02-05,대전,3.2
36,2019-02-06,대전,6.1
37,2019-02-07,대전,1.8
38,2019-02-08,대전,-3.3
39,2019-02-09,대전,-2.7
40,2019-02-10,대전,-2.4
41,2019-02-11,대전,-1.7
42,2019-02-12,대전,-0.3
43,2019-02-13,대전,-0.3
44,2019-02-14,대전,1.5
45,2019-02-15,대전,1.7
46,2019-02-16,대전,-0.7
47,2019-02-17,대전,-0.7
48,2019-02-18,대전,1.9
49,2019-02-19,대전,2.2
50,2019-02-20,대전,1.9
51,2019-02-21,대전,2.1
52,2019-02-22,대전,3.6
53,2019-02-23,대전,5.5
54,2019-02-24,대전,6.7
55,2019-02-25,대전,5.7
56,2019-02-26,대전,5.3
57,2019-02-27,대전,6.6
58,2019-02-28,대전,6.7
59,2019-03-01,대전,6.1
60,2019-03-02,대전,7.4
61,2019-03-03,대전,9.0
62,2019-03-04,대전,10.0
63,2019-03-05,대전,8.7
64,2019-03-06,대전,9.7
65,2019-03-07,대전,7.1
66,2019-03-08,대전,7.0
67,2019-03-09,대전,8.2
68,2019-03-10,대전,7.9
69,2019-03-11,대전,5.7
