,날짜,지점,평균기온(℃)
0,2019-01-01,인천,-4.4
1,2019-01-02,인천,-3.9
2,2019-01-03,인천,-2.6
3,2019-01-04,인천,-0.3
4,2019-01-05,인천,-2.8
5,2019-01-06,인천,-2.7
6,2019-01-07,인천,-1.3
7,2019-01-08,인천,-2.9
8,2019-01-09,인천,-4.6
9,2019-01-10,인천,-0.9
10,2019-01-11,인천,2.2
11,2019-01-12,인천,2.2
12,2019-01-13,인천,1.3
13,2019-01-14,인천,1.7
14,2019-01-15,인천,-1.9
15,2019-01-16,인천,-4.9
16,2019-01-17,인천,0.6
17,2019-01-18,인천,1.3
18,2019-01-19,인천,3.8
19,2019-01-20,인천,-1.4
20,2019-01-21,인천,0.5
21,2019-01-22,인천,3.4
22,2019-01-23,인천,2.7
23,2019-01-24,인천,0.2
24,2019-01-25,인천,-1.1
25,2019-01-26,인천,-2.5
26,2019-01-27,인천,0.8
27,2019-01-28,인천,1.2
28,2019-01-29,인천,0.0
29,2019-01-30,인천,1.7
30,2019-01-31,인천,-2.4
31,2019-02-01,인천,-0.9
32,2019-02-02,인천,2.9
33,2019-02-03,인천,3.1
34,2019-02-04,인천,-0.7
35,2019-02-05,인천,3.6
36,2019-02-06,인천,5.3
37,2019-02-07,인천,-2.9
38,2019-02-08,인천,-6.8
39,2019-02-09,인천,-5.2
40,2019-02-10,인천,-5.1
41,2019-02-11,인천,-2.6
42,2019-02-12,인천,-0.8
43,2019-02-13,인천,-2.4
44,2019-02-14,인천,-1.8
45,2019-02-15,인천,-1.0
46,2019-02-16,인천,-2.4
47,2019-02-17,인천,-1.1
48,2019-02-18,인천,0.6
49,2019-02-19,인천,1.3
50,2019-02-20,인천,2.0
51,2019-02-21,인천,2.1
52,2019-02-22,인천,3.1
53,2019-02-23,인천,6.3
54,2019-02-24,인천,5.2
55,2019-02-25,인천,3.6
56,2019-02-26,인천,4.7
57,2019-02-27,인천,6.0
58,2019-02-28,인천,5.5
59,2019-03-01,인천,5.5
60,2019-03-02,인천,6.7
61,2019-03-03,인천,7.9
62,2019-03-04,인천,7.8
63,2019-03-05,인천,6.8
64,2019-03-06,인천,7.0
65,2019-03-07,인천,6.4
66,2019-03-08,인천,5.0
67,2019-03-09,인천,6.3
68,2019-03-10,인천,9.0
69,2019-03-11,인천,5.1
70,2019-03-12,인천,4.3
71,2019-03-13,인천,3.8
72,2019-03-14,인천,5.3
73,2019-03-15,인천,5.2
74,2019-03-16,인천,4.7
75,2019-03-17,인천,6.0
76,2019-03-18,인천,6.5
77,2019-03-19,인천,8.2
78,2019-03-20,인천,10.1
79,2019-03-21,인천,6.6
80,2019-03-22,인천,3.4
81,2019-03-23,인천,3.8
82,2019-03-24,인천,4.8
83,2019-03-25,인천,7.4
84,2019-03-26,인천,9.4
85,2019-03-27,인천,9.5
86,2019-03-28,인천,7.8
87,2019-03-29,인천,7.9
88,2019-03-30,인천,5.0
89,2019-03-31,인천,4.8
90,2019-04-01,인천,6.0
91,2019-04-02,인천,6.7
92,2019-04-03,인천,7.3
93,2019-04-04,인천,8.0
94,2019-04-05,인천,10.5
95,2019-04-06,인천,9.4
96,2019-04-07,인천,11.7
97,2019-04-08,인천,10.7
98,2019-04-09,인천,9.8
99,2019-04-10,인천,7.1
100,2019-04-11,인천,9.0
101,2019-04-12,인천,9.9
102,2019-04-13,인천,11.1
103,2019-04-14,인천,9.6
104,2019-04-15,인천,11.1
105,2019-04-16,인천,14.0
106,2019-04-17,인천,14.2
107,2019-04-18,인천,11.5
108,2019-04-19,인천,13.6
109,2019-04-20,인천,13.4
110,2019-04-21,인천,12.5
111,2019-04-22,인천,16.1
112,2019-04-23,인천,17.3
113,2019-04-24,인천,16.7
114,2019-04-25,인천,12.7
115,2019-04-26,인천,8.5
116,2019-04-27,인천,11.0
117,2019-04-28,인천,12.6
118,2019-04-29,인천,13.5
119,2019-04-30,인천,14.4
120,2019-05-01,인천,14.2
121,2019-05-02,인천,16.0
122,2019-05-03,인천,15.4
123,2019-05-04,인천,16.3
124,2019-05-05,인천,16.7
125,2019-05-06,인천,13.6
126,2019-05-07,인천,13.4
127,2019-05-08,인천,13.8
128,2019-05-09,인천,14.1
129,2019-05-10,인천,15.2
130,2019-05-11,인천,16.6
131,2019-05-12,인천,18.5
132,2019-05-13,인천,16.9
133,2019-05-14,인천,18.1
134,2019-05-15,인천,18.6
135,2019-05-16,인천,21.0
136,2019-05-17,인천,21.5
137,2019-05-18,인천,21.0
138,2019-05-19,인천,19.2
139,2019-05-20,인천,15.1
140,2019-05-21,인천,15.8
141,2019-05-22,인천,17.6
142,2019-05-23,인천,19.5
143,2019-05-24,인천,22.2
144,2019-05-25,인천,21.7
145,2019-05-26,인천,23.2
146,2019-05-27,인천,17.4
147,2019-05-28,인천,17.2
148,2019-05-29,인천,18.4
149,2019-05-30,인천,18.4
150,2019-05-31,인천,17.7
151,2019-06-01,인천,17.0
152,2019-06-02,인천,19.5
153,2019-06-03,인천,21.2
154,2019-06-04,인천,20.6
155,2019-06-05,인천,19.5
156,2019-06-06,인천,19.5
157,2019-06-07,인천,19.9
158,2019-06-08,인천,21.1
159,2019-06-09,인천,20.1
160,2019-06-10,인천,19.6
161,2019-06-11,인천,20.3
162,2019-06-12,인천,20.2
163,2019-06-13,인천,21.3
164,2019-06-14,인천,21.7
165,2019-06-15,인천,21.8
166,2019-06-16,인천,21.1
167,2019-06-17,인천,19.7
168,2019-06-18,인천,20.6
169,2019-06-19,인천,20.9
170,2019-06-20,인천,21.5
171,2019-06-21,인천,21.4
172,2019-06-22,인천,23.4
173,2019-06-23,인천,24.4
174,2019-06-24,인천,23.0
175,2019-06-25,인천,23.7
176,2019-06-26,인천,23.8
177,2019-06-27,인천,23.7
178,2019-06-28,인천,22.5
179,2019-06-29,인천,23.0
180,2019-06-30,인천,22.2
181,2019-07-01,인천,22.3
182,2019-07-02,인천,22.7
183,2019-07-03,인천,22.3
184,2019-07-04,인천,22.8
185,2019-07-05,인천,25.1
186,2019-07-06,인천,28.6
187,2019-07-07,인천,27.0
188,2019-07-08,인천,25.6
189,2019-07-09,인천,25.1
190,2019-07-10,인천,22.8
191,2019-07-11,인천,21.0
192,2019-07-12,인천,22.7
193,2019-07-13,인천,23.1
194,2019-07-14,인천,24.3
195,2019-07-15,인천,24.0
196,2019-07-16,인천,24.3
197,2019-07-17,인천,25.1
198,2019-07-18,인천,25.8
199,2019-07-19,인천,28.1
200,2019-07-20,인천,27.8
201,2019-07-21,인천,24.6
202,2019-07-22,인천,24.9
203,2019-07-23,인천,26.5
204,2019-07-24,인천,25.5
205,2019-07-25,인천,25.5
206,2019-07-26,인천,24.4
207,2019-07-27,인천,27.2
208,2019-07-28,인천,25.5
209,2019-07-29,인천,26.8
210,2019-07-30,인천,27.1
211,2019-07-31,인천,25.0
212,2019-08-01,인천,25.8
213,2019-08-02,인천,27.6
214,2019-08-03,인천,28.8
215,2019-08-04,인천,28.7
216,2019-08-05,인천,29.9
217,2019-08-06,인천,31.4
218,2019-08-07,인천,27.9
219,2019-08-08,인천,28.0
220,2019-08-09,인천,28.9
221,2019-08-10,인천,31.4
222,2019-08-11,인천,30.3
223,2019-08-12,인천,26.2
224,2019-08-13,인천,27.5
225,2019-08-14,인천,29.5
226,2019-08-15,인천,26.3
227,2019-08-16,인천,25.8
228,2019-08-17,인천,25.3
229,2019-08-18,인천,25.3
230,2019-08-19,인천,26.1
231,2019-08-20,인천,27.9
232,2019-08-21,인천,26.9
233,2019-08-22,인천,26.3
234,2019-08-23,인천,25.8
235,2019-08-24,인천,24.2
236,2019-08-25,인천,24.8
237,2019-08-26,인천,25.9
238,2019-08-27,인천,24.9
239,2019-08-28,인천,25.6
240,2019-08-29,인천,23.8
241,2019-08-30,인천,23.1
242,2019-08-31,인천,23.5
243,2019-09-01,인천,23.6
244,2019-09-02,인천,24.6
245,2019-09-03,인천,24.6
246,2019-09-04,인천,22.9
247,2019-09-05,인천,23.0
248,2019-09-06,인천,24.7
249,2019-09-07,인천,25.2
250,2019-09-08,인천,24.2
251,2019-09-09,인천,25.3
252,2019-09-10,인천,23.8
253,2019-09-11,인천,24.3
254,2019-09-12,인천,20.5
255,2019-09-13,인천,22.5
256,2019-09-14,인천,22.7
257,2019-09-15,인천,23.5
258,2019-09-16,인천,24.1
259,2019-09-17,인천,23.9
260,2019-09-18,인천,20.5
261,2019-09-19,인천,19.2
262,2019-09-20,인천,19.9
263,2019-09-21,인천,20.3
264,2019-09-22,인천,19.4
265,2019-09-23,인천,19.8
266,2019-09-24,인천,20.2
267,2019-09-25,인천,20.8
268,2019-09-26,인천,22.9
269,2019-09-27,인천,23.2
