,날짜,지점,평균기온(℃)
0,2019-01-01,제주,5.4
1,2019-01-02,제주,5.2
2,2019-01-03,제주,6.1
3,2019-01-04,제주,7.6
4,2019-01-05,제주,8.4
5,2019-01-06,제주,7.6
6,2019-01-07,제주,8.0
7,2019-01-08,제주,7.7
8,2019-01-09,제주,5.1
9,2019-01-10,제주,7.9
10,2019-01-11,제주,8.6
11,2019-01-12,제주,9.6
12,2019-01-13,제주,8.1
13,2019-01-14,제주,8.0
14,2019-01-15,제주,7.7
15,2019-01-16,제주,4.0
16,2019-01-17,제주,5.3
17,2019-01-18,제주,6.7
18,2019-01-19,제주,9.7
19,2019-01-20,제주,7.8
20,2019-01-21,제주,6.1
21,2019-01-22,제주,7.8
22,2019-01-23,제주,8.6
23,2019-01-24,제주,7.6
24,2019-01-25,제주,6.7
25,2019-01-26,제주,4.4
26,2019-01-27,제주,6.1
27,2019-01-28,제주,7.9
28,2019-01-29,제주,6.7
29,2019-01-30,제주,8.8
30,2019-01-31,제주,5.8
31,2019-02-01,제주,5.0
32,2019-02-02,제주,9.3
33,2019-02-03,제주,13.4
34,2019-02-04,제주,8.0
35,2019-02-05,제주,9.5
36,2019-02-06,제주,12.2
37,2019-02-07,제주,9.0
38,2019-02-08,제주,5.7
39,2019-02-09,제주,4.2
40,2019-02-10,제주,4.4
41,2019-02-11,제주,4.5
42,2019-02-12,제주,6.4
43,2019-02-13,제주,7.8
44,2019-02-14,제주,6.7
45,2019-02-15,제주,7.5
46,2019-02-16,제주,5.6
47,2019-02-17,제주,5.8
48,2019-02-18,제주,7.9
49,2019-02-19,제주,11.1
50,2019-02-20,제주,8.3
51,2019-02-21,제주,8.5
52,2019-02-22,제주,9.0
53,2019-02-23,제주,10.0
54,2019-02-24,제주,11.1
55,2019-02-25,제주,10.3
56,2019-02-26,제주,10.5
57,2019-02-27,제주,11.2
58,2019-02-28,제주,11.0
59,2019-03-01,제주,10.4
60,2019-03-02,제주,11.2
61,2019-03-03,제주,11.8
62,2019-03-04,제주,10.7
63,2019-03-05,제주,11.4
64,2019-03-06,제주,10.7
