,날짜,지점,평균기온(℃)
0,2019-01-01,전북,-0.8
1,2019-01-02,전북,-1.5
2,2019-01-03,전북,-2.1
3,2019-01-04,전북,-1.2
4,2019-01-05,전북,0.1
5,2019-01-06,전북,-1.4
6,2019-01-07,전북,-0.6
7,2019-01-08,전북,-0.5
8,2019-01-09,전북,-2.9
9,2019-01-10,전북,0.0
10,2019-01-11,전북,2.8
11,2019-01-12,전북,3.7
12,2019-01-13,전북,1.5
13,2019-01-14,전북,0.7
14,2019-01-15,전북,0.8
15,2019-01-16,전북,-3.1
16,2019-01-17,전북,0.2
17,2019-01-18,전북,1.2
18,2019-01-19,전북,2.7
19,2019-01-20,전북,1.3
20,2019-01-21,전북,0.8
21,2019-01-22,전북,2.4
22,2019-01-23,전북,3.2
23,2019-01-24,전북,0.4
24,2019-01-25,전북,-0.3
25,2019-01-26,전북,-1.8
26,2019-01-27,전북,-0.4
27,2019-01-28,전북,3.1
28,2019-01-29,전북,-0.4
29,2019-01-30,전북,2.4
30,2019-01-31,전북,-0.2
31,2019-02-01,전북,-1.5
32,2019-02-02,전북,3.6
33,2019-02-03,전북,7.8
34,2019-02-04,전북,2.3
35,2019-02-05,전북,4.1
36,2019-02-06,전북,6.5
37,2019-02-07,전북,1.5
38,2019-02-08,전북,-2.7
39,2019-02-09,전북,-2.1
40,2019-02-10,전북,-2.0
41,2019-02-11,전북,-1.2
42,2019-02-12,전북,0.1
43,2019-02-13,전북,0.3
44,2019-02-14,전북,0.6
45,2019-02-15,전북,1.6
46,2019-02-16,전북,-0.3
47,2019-02-17,전북,-0.5
48,2019-02-18,전북,1.3
49,2019-02-19,전북,2.5
50,2019-02-20,전북,2.3
51,2019-02-21,전북,1.9
52,2019-02-22,전북,3.2
53,2019-02-23,전북,4.8
54,2019-02-24,전북,6.5
55,2019-02-25,전북,4.4
56,2019-02-26,전북,4.1
57,2019-02-27,전북,6.2
58,2019-02-28,전북,5.4
59,2019-03-01,전북,4.6
60,2019-03-02,전북,7.0
61,2019-03-03,전북,8.8
62,2019-03-04,전북,7.5
63,2019-03-05,전북,7.5
64,2019-03-06,전북,8.6
65,2019-03-07,전북,5.5
66,2019-03-08,전북,4.9
67,2019-03-09,전북,8.0
68,2019-03-10,전북,8.2
69,2019-03-11,전북,5.7
70,2019-03-12,전북,5.0
71,2019-03-13,전북,4.0
72,2019-03-14,전북,6.2
73,2019-03-15,전북,7.1
74,2019-03-16,전북,6.1
75,2019-03-17,전북,6.3
76,2019-03-18,전북,6.7
77,2019-03-19,전북,9.8
78,2019-03-20,전북,12.7
79,2019-03-21,전북,7.5
80,2019-03-22,전북,3.9
81,2019-03-23,전북,3.9
82,2019-03-24,전북,4.0
83,2019-03-25,전북,7.4
84,2019-03-26,전북,10.9
85,2019-03-27,전북,14.1
