,날짜,지점,평균기온(℃)
0,2019-01-01,전남,1.1
1,2019-01-02,전남,0.9
2,2019-01-03,전남,0.6
3,2019-01-04,전남,0.5
4,2019-01-05,전남,2.9
5,2019-01-06,전남,1.7
6,2019-01-07,전남,2.4
7,2019-01-08,전남,2.0
8,2019-01-09,전남,-0.1
9,2019-01-10,전남,2.8
10,2019-01-11,전남,4.2
11,2019-01-12,전남,4.8
12,2019-01-13,전남,3.2
13,2019-01-14,전남,2.5
14,2019-01-15,전남,2.7
15,2019-01-16,전남,-1.0
16,2019-01-17,전남,2.1
17,2019-01-18,전남,2.5
18,2019-01-19,전남,3.3
19,2019-01-20,전남,3.0
20,2019-01-21,전남,3.0
21,2019-01-22,전남,4.2
22,2019-01-23,전남,4.8
23,2019-01-24,전남,2.9
24,2019-01-25,전남,1.3
25,2019-01-26,전남,0.2
26,2019-01-27,전남,1.3
27,2019-01-28,전남,4.1
28,2019-01-29,전남,1.5
29,2019-01-30,전남,4.6
30,2019-01-31,전남,0.9
31,2019-02-01,전남,0.6
32,2019-02-02,전남,3.8
33,2019-02-03,전남,8.3
34,2019-02-04,전남,4.2
35,2019-02-05,전남,4.4
36,2019-02-06,전남,6.7
37,2019-02-07,전남,2.9
38,2019-02-08,전남,-0.1
39,2019-02-09,전남,-0.3
40,2019-02-10,전남,-0.1
41,2019-02-11,전남,0.4
42,2019-02-12,전남,1.8
43,2019-02-13,전남,2.7
44,2019-02-14,전남,1.9
45,2019-02-15,전남,2.9
46,2019-02-16,전남,1.0
47,2019-02-17,전남,1.5
48,2019-02-18,전남,2.9
49,2019-02-19,전남,4.6
50,2019-02-20,전남,3.8
51,2019-02-21,전남,4.3
52,2019-02-22,전남,5.4
53,2019-02-23,전남,6.6
54,2019-02-24,전남,7.6
55,2019-02-25,전남,6.9
56,2019-02-26,전남,6.5
57,2019-02-27,전남,7.8
58,2019-02-28,전남,8.2
59,2019-03-01,전남,7.1
60,2019-03-02,전남,8.9
61,2019-03-03,전남,10.3
62,2019-03-04,전남,9.4
63,2019-03-05,전남,8.3
64,2019-03-06,전남,9.1
65,2019-03-07,전남,6.9
66,2019-03-08,전남,6.3
67,2019-03-09,전남,8.3
68,2019-03-10,전남,8.3
69,2019-03-11,전남,6.7
70,2019-03-12,전남,6.8
71,2019-03-13,전남,5.4
72,2019-03-14,전남,6.5
73,2019-03-15,전남,7.6
74,2019-03-16,전남,6.9
75,2019-03-17,전남,8.1
76,2019-03-18,전남,7.9
77,2019-03-19,전남,10.6
78,2019-03-20,전남,12.1
79,2019-03-21,전남,9.0
80,2019-03-22,전남,5.7
81,2019-03-23,전남,5.5
82,2019-03-24,전남,4.9
83,2019-03-25,전남,6.7
84,2019-03-26,전남,11.4
85,2019-03-27,전남,13.1
86,2019-03-28,전남,12.5
