,날짜,지점,평균기온(℃)
0,2019-01-01,광주,0.0
1,2019-01-02,광주,-0.1
2,2019-01-03,광주,0.5
3,2019-01-04,광주,0.7
4,2019-01-05,광주,2.0
5,2019-01-06,광주,0.6
6,2019-01-07,광주,1.2
7,2019-01-08,광주,0.8
8,2019-01-09,광주,-0.9
9,2019-01-10,광주,2.0
10,2019-01-11,광주,4.2
11,2019-01-12,광주,4.6
12,2019-01-13,광주,3.3
13,2019-01-14,광주,2.3
14,2019-01-15,광주,2.0
15,2019-01-16,광주,-2.1
16,2019-01-17,광주,1.1
17,2019-01-18,광주,2.4
18,2019-01-19,광주,3.6
19,2019-01-20,광주,2.2
20,2019-01-21,광주,2.1
21,2019-01-22,광주,3.4
22,2019-01-23,광주,4.4
23,2019-01-24,광주,2.8
24,2019-01-25,광주,0.9
25,2019-01-26,광주,-0.5
26,2019-01-27,광주,0.9
27,2019-01-28,광주,3.4
28,2019-01-29,광주,2.1
29,2019-01-30,광주,4.1
30,2019-01-31,광주,0.4
31,2019-02-01,광주,-0.2
32,2019-02-02,광주,3.8
33,2019-02-03,광주,7.3
34,2019-02-04,광주,4.0
35,2019-02-05,광주,5.4
36,2019-02-06,광주,7.3
37,2019-02-07,광주,2.5
38,2019-02-08,광주,-0.9
39,2019-02-09,광주,-1.1
40,2019-02-10,광주,-1.2
41,2019-02-11,광주,-0.1
42,2019-02-12,광주,1.5
43,2019-02-13,광주,1.9
44,2019-02-14,광주,2.3
45,2019-02-15,광주,2.5
46,2019-02-16,광주,0.3
47,2019-02-17,광주,1.1
48,2019-02-18,광주,2.6
49,2019-02-19,광주,3.9
50,2019-02-20,광주,3.4
51,2019-02-21,광주,4.2
52,2019-02-22,광주,5.4
53,2019-02-23,광주,7.2
54,2019-02-24,광주,8.0
55,2019-02-25,광주,6.6
56,2019-02-26,광주,6.8
57,2019-02-27,광주,8.0
58,2019-02-28,광주,8.1
59,2019-03-01,광주,6.7
60,2019-03-02,광주,9.6
61,2019-03-03,광주,11.2
62,2019-03-04,광주,9.3
63,2019-03-05,광주,9.0
64,2019-03-06,광주,10.0
65,2019-03-07,광주,6.5
66,2019-03-08,광주,7.0
67,2019-03-09,광주,9.2
68,2019-03-10,광주,8.3
69,2019-03-11,광주,6.1
70,2019-03-12,광주,5.9
71,2019-03-13,광주,5.0
72,2019-03-14,광주,6.9
73,2019-03-15,광주,7.5
74,2019-03-16,광주,7.3
75,2019-03-17,광주,8.1
76,2019-03-18,광주,8.7
77,2019-03-19,광주,11.1
78,2019-03-20,광주,12.5
79,2019-03-21,광주,8.1
80,2019-03-22,광주,5.1
81,2019-03-23,광주,4.8
82,2019-03-24,광주,5.3
83,2019-03-25,광주,7.4
84,2019-03-26,광주,12.1
85,2019-03-27,광주,14.0
86,2019-03-28,광주,12.9
87,2019-03-29,광주,12.2
88,2019-03-30,광주,7.5
89,2019-03-31,광주,5.9
90,2019-04-01,광주,7.5
91,2019-04-02,광주,8.2
92,2019-04-03,광주,7.7
93,2019-04-04,광주,9.6
