,날짜,지점,평균기온(℃)
0,2019-01-01,경북,-1.7
1,2019-01-02,경북,-1.8
2,2019-01-03,경북,-1.2
3,2019-01-04,경북,0.4
4,2019-01-05,경북,1.1
5,2019-01-06,경북,-0.7
6,2019-01-07,경북,0.3
7,2019-01-08,경북,0.4
8,2019-01-09,경북,-2.3
9,2019-01-10,경북,1.4
10,2019-01-11,경북,2.1
11,2019-01-12,경북,2.9
12,2019-01-13,경북,1.2
13,2019-01-14,경북,0.8
14,2019-01-15,경북,1.7
15,2019-01-16,경북,-2.6
16,2019-01-17,경북,1.2
17,2019-01-18,경북,1.8
18,2019-01-19,경북,3.6
19,2019-01-20,경북,2.8
20,2019-01-21,경북,1.1
21,2019-01-22,경북,3.8
22,2019-01-23,경북,4.1
23,2019-01-24,경북,1.6
24,2019-01-25,경북,0.6
25,2019-01-26,경북,-1.0
26,2019-01-27,경북,0.3
27,2019-01-28,경북,2.9
28,2019-01-29,경북,0.7
29,2019-01-30,경북,5.1
30,2019-01-31,경북,1.5
31,2019-02-01,경북,-0.6
32,2019-02-02,경북,2.8
33,2019-02-03,경북,5.2
34,2019-02-04,경북,3.4
35,2019-02-05,경북,2.9
36,2019-02-06,경북,5.9
37,2019-02-07,경북,3.6
38,2019-02-08,경북,-0.8
39,2019-02-09,경북,-0.3
40,2019-02-10,경북,0.0
41,2019-02-11,경북,0.2
42,2019-02-12,경북,0.6
43,2019-02-13,경북,1.3
44,2019-02-14,경북,1.3
45,2019-02-15,경북,3.5
46,2019-02-16,경북,0.5
47,2019-02-17,경북,0.8
48,2019-02-18,경북,3.9
49,2019-02-19,경북,3.5
50,2019-02-20,경북,3.3
51,2019-02-21,경북,3.2
52,2019-02-22,경북,4.5
53,2019-02-23,경북,4.8
54,2019-02-24,경북,6.5
55,2019-02-25,경북,7.8
56,2019-02-26,경북,6.5
57,2019-02-27,경북,8.2
58,2019-02-28,경북,8.0
59,2019-03-01,경북,6.8
60,2019-03-02,경북,6.8
61,2019-03-03,경북,8.7
62,2019-03-04,경북,9.5
63,2019-03-05,경북,9.4
64,2019-03-06,경북,10.5
65,2019-03-07,경북,7.4
66,2019-03-08,경북,7.2
67,2019-03-09,경북,9.4
68,2019-03-10,경북,7.8
69,2019-03-11,경북,7.5
70,2019-03-12,경북,7.0
71,2019-03-13,경북,4.2
72,2019-03-14,경북,5.1
73,2019-03-15,경북,5.9
74,2019-03-16,경북,6.2
75,2019-03-17,경북,6.8
76,2019-03-18,경북,8.6
77,2019-03-19,경북,12.6
78,2019-03-20,경북,12.3
79,2019-03-21,경북,11.8
80,2019-03-22,경북,6.3
81,2019-03-23,경북,4.8
82,2019-03-24,경북,5.8
83,2019-03-25,경북,8.8
84,2019-03-26,경북,10.6
85,2019-03-27,경북,14.1
86,2019-03-28,경북,10.3
87,2019-03-29,경북,10.8
88,2019-03-30,경북,8.0
89,2019-03-31,경북,5.8
90,2019-04-01,경북,5.7
91,2019-04-02,경북,6.9
92,2019-04-03,경북,8.5
93,2019-04-04,경북,12.2
94,2019-04-05,경북,12.7
95,2019-04-06,경북,13.0
96,2019-04-07,경북,13.1
97,2019-04-08,경북,11.7
98,2019-04-09,경북,8.0
99,2019-04-10,경북,7.1
100,2019-04-11,경북,9.0
101,2019-04-12,경북,11.4
102,2019-04-13,경북,12.5
103,2019-04-14,경북,11.6
104,2019-04-15,경북,12.5
105,2019-04-16,경북,15.7
106,2019-04-17,경북,17.1
107,2019-04-18,경북,18.0
108,2019-04-19,경북,11.2
109,2019-04-20,경북,14.5
110,2019-04-21,경북,17.5
111,2019-04-22,경북,16.5
112,2019-04-23,경북,16.1
113,2019-04-24,경북,17.4
114,2019-04-25,경북,13.6
115,2019-04-26,경북,9.4
116,2019-04-27,경북,11.4
117,2019-04-28,경북,11.9
118,2019-04-29,경북,10.6
119,2019-04-30,경북,14.4
120,2019-05-01,경북,16.6
121,2019-05-02,경북,17.3
122,2019-05-03,경북,17.1
123,2019-05-04,경북,17.8
124,2019-05-05,경북,20.2
125,2019-05-06,경북,13.9
126,2019-05-07,경북,14.3
127,2019-05-08,경북,17.4
128,2019-05-09,경북,19.1
129,2019-05-10,경북,18.9
130,2019-05-11,경북,19.1
131,2019-05-12,경북,17.3
132,2019-05-13,경북,17.5
133,2019-05-14,경북,20.5
134,2019-05-15,경북,21.0
135,2019-05-16,경북,21.6
136,2019-05-17,경북,21.3
137,2019-05-18,경북,17.8
138,2019-05-19,경북,19.3
139,2019-05-20,경북,18.2
140,2019-05-21,경북,17.5
141,2019-05-22,경북,19.9
142,2019-05-23,경북,21.3
143,2019-05-24,경북,24.0
144,2019-05-25,경북,25.3
145,2019-05-26,경북,24.4
146,2019-05-27,경북,19.6
147,2019-05-28,경북,18.6
148,2019-05-29,경북,20.5
149,2019-05-30,경북,22.1
150,2019-05-31,경북,20.0
151,2019-06-01,경북,19.9
152,2019-06-02,경북,21.2
153,2019-06-03,경북,23.1
154,2019-06-04,경북,24.9
155,2019-06-05,경북,23.8
156,2019-06-06,경북,22.0
157,2019-06-07,경북,18.0
158,2019-06-08,경북,19.8
159,2019-06-09,경북,18.5
160,2019-06-10,경북,18.2
161,2019-06-11,경북,18.5
162,2019-06-12,경북,19.2
163,2019-06-13,경북,20.9
164,2019-06-14,경북,19.8
165,2019-06-15,경북,20.4
166,2019-06-16,경북,19.9
167,2019-06-17,경북,22.1
168,2019-06-18,경북,22.4
169,2019-06-19,경북,23.2
170,2019-06-20,경북,24.8
171,2019-06-21,경북,23.7
172,2019-06-22,경북,21.2
173,2019-06-23,경북,20.5
174,2019-06-24,경북,21.9
175,2019-06-25,경북,23.4
176,2019-06-26,경북,20.4
177,2019-06-27,경북,23.2
178,2019-06-28,경북,22.9
179,2019-06-29,경북,21.3
180,2019-06-30,경북,24.5
181,2019-07-01,경북,23.4
182,2019-07-02,경북,23.8
183,2019-07-03,경북,23.3
184,2019-07-04,경북,24.7
185,2019-07-05,경북,24.6
186,2019-07-06,경북,23.4
187,2019-07-07,경북,22.5
188,2019-07-08,경북,21.5
189,2019-07-09,경북,21.4
190,2019-07-10,경북,20.7
191,2019-07-11,경북,23.5
192,2019-07-12,경북,23.5
193,2019-07-13,경북,23.8
194,2019-07-14,경북,23.8
195,2019-07-15,경북,22.6
196,2019-07-16,경북,23.7
197,2019-07-17,경북,24.0
198,2019-07-18,경북,23.9
199,2019-07-19,경북,24.3
200,2019-07-20,경북,24.1
201,2019-07-21,경북,25.1
202,2019-07-22,경북,27.9
203,2019-07-23,경북,29.0
204,2019-07-24,경북,27.6
205,2019-07-25,경북,26.5
206,2019-07-26,경북,27.7
207,2019-07-27,경북,27.8
208,2019-07-28,경북,27.9
209,2019-07-29,경북,28.4
210,2019-07-30,경북,29.2
211,2019-07-31,경북,30.0
212,2019-08-01,경북,30.1
213,2019-08-02,경북,29.4
214,2019-08-03,경북,27.8
215,2019-08-04,경북,28.5
216,2019-08-05,경북,28.4
217,2019-08-06,경북,25.8
218,2019-08-07,경북,27.5
219,2019-08-08,경북,27.3
220,2019-08-09,경북,28.2
221,2019-08-10,경북,27.6
222,2019-08-11,경북,27.9
223,2019-08-12,경북,28.7
224,2019-08-13,경북,28.2
225,2019-08-14,경북,27.9
226,2019-08-15,경북,26.2
227,2019-08-16,경북,27.2
228,2019-08-17,경북,27.2
229,2019-08-18,경북,26.0
230,2019-08-19,경북,25.2
231,2019-08-20,경북,25.5
232,2019-08-21,경북,25.4
233,2019-08-22,경북,25.2
234,2019-08-23,경북,24.9
235,2019-08-24,경북,22.6
236,2019-08-25,경북,23.3
237,2019-08-26,경북,24.2
238,2019-08-27,경북,21.5
239,2019-08-28,경북,23.0
240,2019-08-29,경북,22.4
241,2019-08-30,경북,23.4
