,날짜,지점,평균기온(℃)
0,2019-01-01,세종,-2.7
1,2019-01-02,세종,-3.1
2,2019-01-03,세종,-2.5
3,2019-01-04,세종,-1.2
4,2019-01-05,세종,-0.7
5,2019-01-06,세종,-2.3
6,2019-01-07,세종,-1.0
7,2019-01-08,세종,-1.8
8,2019-01-09,세종,-3.6
9,2019-01-10,세종,-1.0
10,2019-01-11,세종,2.6
11,2019-01-12,세종,4.3
12,2019-01-13,세종,1.8
13,2019-01-14,세종,1.3
14,2019-01-15,세종,-0.3
15,2019-01-16,세종,-3.8
16,2019-01-17,세종,0.6
17,2019-01-18,세종,0.8
18,2019-01-19,세종,2.1
19,2019-01-20,세종,0.5
20,2019-01-21,세종,0.1
21,2019-01-22,세종,3.2
22,2019-01-23,세종,2.7
23,2019-01-24,세종,1.1
24,2019-01-25,세종,-0.6
25,2019-01-26,세종,-2.1
26,2019-01-27,세종,-0.8
27,2019-01-28,세종,1.7
28,2019-01-29,세종,0.4
29,2019-01-30,세종,2.5
30,2019-01-31,세종,-0.2
31,2019-02-01,세종,-1.1
32,2019-02-02,세종,1.5
33,2019-02-03,세종,4.4
34,2019-02-04,세종,1.4
35,2019-02-05,세종,3.4
36,2019-02-06,세종,6.1
37,2019-02-07,세종,0.5
38,2019-02-08,세종,-3.9
39,2019-02-09,세종,-3.3
40,2019-02-10,세종,-2.9
41,2019-02-11,세종,-1.7
42,2019-02-12,세종,-0.2
43,2019-02-13,세종,-0.3
44,2019-02-14,세종,0.9
45,2019-02-15,세종,1.0
46,2019-02-16,세종,-1.4
47,2019-02-17,세종,-0.6
48,2019-02-18,세종,1.8
49,2019-02-19,세종,1.6
50,2019-02-20,세종,2.3
51,2019-02-21,세종,2.3
52,2019-02-22,세종,3.5
53,2019-02-23,세종,5.9
54,2019-02-24,세종,6.6
55,2019-02-25,세종,5.7
56,2019-02-26,세종,5.6
57,2019-02-27,세종,7.0
58,2019-02-28,세종,6.5
59,2019-03-01,세종,6.2
60,2019-03-02,세종,7.7
61,2019-03-03,세종,9.2
62,2019-03-04,세종,10.3
63,2019-03-05,세종,8.7
64,2019-03-06,세종,9.4
65,2019-03-07,세종,7.1
66,2019-03-08,세종,7.1
67,2019-03-09,세종,8.2
68,2019-03-10,세종,8.5
69,2019-03-11,세종,6.1
70,2019-03-12,세종,4.4
71,2019-03-13,세종,3.8
72,2019-03-14,세종,5.9
