,날짜,지점,평균기온(℃)
0,2019-01-01,서울,-5.0
1,2019-01-02,서울,-4.9
2,2019-01-03,서울,-3.5
3,2019-01-04,서울,-1.1
4,2019-01-05,서울,-2.8
5,2019-01-06,서울,-2.8
6,2019-01-07,서울,-1.9
7,2019-01-08,서울,-3.5
8,2019-01-09,서울,-4.7
9,2019-01-10,서울,-0.6
10,2019-01-11,서울,2.4
11,2019-01-12,서울,2.8
12,2019-01-13,서울,1.2
13,2019-01-14,서울,1.4
14,2019-01-15,서울,-1.7
15,2019-01-16,서울,-5.2
16,2019-01-17,서울,-0.3
17,2019-01-18,서울,0.6
18,2019-01-19,서울,3.6
19,2019-01-20,서울,-1.4
20,2019-01-21,서울,-1.2
21,2019-01-22,서울,1.7
22,2019-01-23,서울,2.0
23,2019-01-24,서울,0.1
24,2019-01-25,서울,-1.2
25,2019-01-26,서울,-2.5
26,2019-01-27,서울,-0.1
27,2019-01-28,서울,1.2
28,2019-01-29,서울,-0.2
29,2019-01-30,서울,1.8
30,2019-01-31,서울,-2.0
31,2019-02-01,서울,-2.1
32,2019-02-02,서울,1.4
33,2019-02-03,서울,3.3
34,2019-02-04,서울,-0.6
35,2019-02-05,서울,2.8
36,2019-02-06,서울,5.1
37,2019-02-07,서울,-2.1
38,2019-02-08,서울,-6.1
39,2019-02-09,서울,-5.4
40,2019-02-10,서울,-5.0
41,2019-02-11,서울,-3.0
42,2019-02-12,서울,-0.6
43,2019-02-13,서울,-2.1
44,2019-02-14,서울,-0.5
45,2019-02-15,서울,-0.8
46,2019-02-16,서울,-2.7
47,2019-02-17,서울,-1.8
48,2019-02-18,서울,0.9
49,2019-02-19,서울,1.4
50,2019-02-20,서울,1.7
51,2019-02-21,서울,2.4
52,2019-02-22,서울,4.0
53,2019-02-23,서울,6.8
54,2019-02-24,서울,6.3
55,2019-02-25,서울,4.7
56,2019-02-26,서울,5.2
57,2019-02-27,서울,7.8
58,2019-02-28,서울,6.6
59,2019-03-01,서울,6.6
60,2019-03-02,서울,7.8
61,2019-03-03,서울,9.4
62,2019-03-04,서울,9.9
63,2019-03-05,서울,8.4
64,2019-03-06,서울,8.4
65,2019-03-07,서울,7.0
66,2019-03-08,서울,6.1
67,2019-03-09,서울,7.2
68,2019-03-10,서울,10.1
69,2019-03-11,서울,6.6
70,2019-03-12,서울,3.9
71,2019-03-13,서울,3.5
72,2019-03-14,서울,5.0
73,2019-03-15,서울,5.5
74,2019-03-16,서울,4.3
75,2019-03-17,서울,6.3
76,2019-03-18,서울,7.1
77,2019-03-19,서울,10.0
78,2019-03-20,서울,10.3
79,2019-03-21,서울,7.1
80,2019-03-22,서울,3.3
81,2019-03-23,서울,3.3
82,2019-03-24,서울,4.3
83,2019-03-25,서울,7.3
84,2019-03-26,서울,11.4
85,2019-03-27,서울,11.6
86,2019-03-28,서울,9.4
87,2019-03-29,서울,9.2
88,2019-03-30,서울,5.2
89,2019-03-31,서울,4.4
90,2019-04-01,서울,5.5
91,2019-04-02,서울,6.7
92,2019-04-03,서울,7.6
93,2019-04-04,서울,9.2
94,2019-04-05,서울,11.4
95,2019-04-06,서울,9.3
96,2019-04-07,서울,12.6
97,2019-04-08,서울,11.6
98,2019-04-09,서울,9.2
99,2019-04-10,서울,7.1
100,2019-04-11,서울,9.5
101,2019-04-12,서울,11.4
102,2019-04-13,서울,11.8
103,2019-04-14,서울,9.6
104,2019-04-15,서울,11.6
105,2019-04-16,서울,14.9
106,2019-04-17,서울,15.3
107,2019-04-18,서울,12.6
108,2019-04-19,서울,13.8
109,2019-04-20,서울,14.3
110,2019-04-21,서울,14.8
111,2019-04-22,서울,19.3
112,2019-04-23,서울,20.4
113,2019-04-24,서울,19.5
114,2019-04-25,서울,13.2
115,2019-04-26,서울,8.4
116,2019-04-27,서울,11.6
117,2019-04-28,서울,12.9
118,2019-04-29,서울,13.0
119,2019-04-30,서울,15.5
120,2019-05-01,서울,16.4
121,2019-05-02,서울,17.1
122,2019-05-03,서울,17.9
123,2019-05-04,서울,19.5
124,2019-05-05,서울,19.2
125,2019-05-06,서울,14.5
126,2019-05-07,서울,15.0
127,2019-05-08,서울,15.6
128,2019-05-09,서울,16.6
129,2019-05-10,서울,17.8
130,2019-05-11,서울,20.3
131,2019-05-12,서울,21.6
132,2019-05-13,서울,18.7
133,2019-05-14,서울,19.6
134,2019-05-15,서울,20.7
135,2019-05-16,서울,23.5
136,2019-05-17,서울,23.6
137,2019-05-18,서울,22.8
138,2019-05-19,서울,19.4
139,2019-05-20,서울,16.4
140,2019-05-21,서울,17.2
141,2019-05-22,서울,19.5
142,2019-05-23,서울,22.1
143,2019-05-24,서울,24.2
144,2019-05-25,서울,23.4
145,2019-05-26,서울,24.5
146,2019-05-27,서울,17.8
147,2019-05-28,서울,18.1
148,2019-05-29,서울,20.3
149,2019-05-30,서울,19.6
150,2019-05-31,서울,19.1
151,2019-06-01,서울,18.9
152,2019-06-02,서울,21.1
153,2019-06-03,서울,23.1
154,2019-06-04,서울,22.6
155,2019-06-05,서울,23.0
156,2019-06-06,서울,21.2
157,2019-06-07,서울,20.0
158,2019-06-08,서울,21.9
159,2019-06-09,서울,21.6
160,2019-06-10,서울,18.4
161,2019-06-11,서울,20.5
162,2019-06-12,서울,21.5
163,2019-06-13,서울,23.0
164,2019-06-14,서울,23.0
165,2019-06-15,서울,21.9
166,2019-06-16,서울,22.0
167,2019-06-17,서울,21.7
168,2019-06-18,서울,20.8
169,2019-06-19,서울,21.4
170,2019-06-20,서울,22.7
171,2019-06-21,서울,22.1
172,2019-06-22,서울,24.2
173,2019-06-23,서울,25.0
174,2019-06-24,서울,25.2
175,2019-06-25,서울,25.6
176,2019-06-26,서울,25.5
177,2019-06-27,서울,25.5
178,2019-06-28,서울,24.7
179,2019-06-29,서울,23.1
180,2019-06-30,서울,23.9
181,2019-07-01,서울,23.9
182,2019-07-02,서울,24.4
183,2019-07-03,서울,24.1
184,2019-07-04,서울,25.4
185,2019-07-05,서울,27.6
186,2019-07-06,서울,29.7
187,2019-07-07,서울,26.7
188,2019-07-08,서울,25.1
189,2019-07-09,서울,25.0
190,2019-07-10,서울,22.7
191,2019-07-11,서울,21.9
192,2019-07-12,서울,23.6
193,2019-07-13,서울,24.9
194,2019-07-14,서울,25.9
195,2019-07-15,서울,23.8
196,2019-07-16,서울,24.7
197,2019-07-17,서울,25.6
198,2019-07-18,서울,26.9
199,2019-07-19,서울,28.6
200,2019-07-20,서울,28.0
201,2019-07-21,서울,25.1
202,2019-07-22,서울,26.7
203,2019-07-23,서울,28.1
204,2019-07-24,서울,26.5
205,2019-07-25,서울,26.3
206,2019-07-26,서울,25.1
207,2019-07-27,서울,28.4
208,2019-07-28,서울,26.1
209,2019-07-29,서울,27.5
210,2019-07-30,서울,28.1
211,2019-07-31,서울,25.8
212,2019-08-01,서울,26.3
213,2019-08-02,서울,28.4
214,2019-08-03,서울,29.4
215,2019-08-04,서울,28.3
216,2019-08-05,서울,30.5
217,2019-08-06,서울,31.6
218,2019-08-07,서울,26.9
219,2019-08-08,서울,28.9
220,2019-08-09,서울,29.8
221,2019-08-10,서울,31.5
222,2019-08-11,서울,30.4
223,2019-08-12,서울,26.6
224,2019-08-13,서울,29.2
