,날짜,지점,평균기온(℃)
0,2019-01-01,울산,0.1
1,2019-01-02,울산,0.5
2,2019-01-03,울산,1.4
3,2019-01-04,울산,4.3
4,2019-01-05,울산,4.3
5,2019-01-06,울산,3.1
6,2019-01-07,울산,2.9
7,2019-01-08,울산,2.5
8,2019-01-09,울산,0.4
9,2019-01-10,울산,3.6
10,2019-01-11,울산,4.7
11,2019-01-12,울산,4.8
12,2019-01-13,울산,5.2
13,2019-01-14,울산,6.0
14,2019-01-15,울산,4.5
15,2019-01-16,울산,-0.8
16,2019-01-17,울산,2.4
17,2019-01-18,울산,4.5
18,2019-01-19,울산,7.3
19,2019-01-20,울산,4.3
20,2019-01-21,울산,2.7
21,2019-01-22,울산,5.1
22,2019-01-23,울산,6.6
23,2019-01-24,울산,4.6
24,2019-01-25,울산,2.9
25,2019-01-26,울산,0.0
26,2019-01-27,울산,2.8
27,2019-01-28,울산,3.6
28,2019-01-29,울산,4.1
29,2019-01-30,울산,7.9
30,2019-01-31,울산,1.7
31,2019-02-01,울산,0.0
32,2019-02-02,울산,4.1
33,2019-02-03,울산,11.3
34,2019-02-04,울산,5.5
35,2019-02-05,울산,6.3
36,2019-02-06,울산,9.4
37,2019-02-07,울산,6.3
38,2019-02-08,울산,0.9
39,2019-02-09,울산,1.1
40,2019-02-10,울산,1.9
41,2019-02-11,울산,1.5
42,2019-02-12,울산,2.4
43,2019-02-13,울산,3.4
44,2019-02-14,울산,2.3
45,2019-02-15,울산,4.9
46,2019-02-16,울산,1.9
47,2019-02-17,울산,2.0
48,2019-02-18,울산,5.5
49,2019-02-19,울산,5.1
50,2019-02-20,울산,4.7
51,2019-02-21,울산,5.3
52,2019-02-22,울산,7.3
53,2019-02-23,울산,7.2
54,2019-02-24,울산,7.1
55,2019-02-25,울산,9.1
56,2019-02-26,울산,8.8
57,2019-02-27,울산,9.5
58,2019-02-28,울산,9.2
59,2019-03-01,울산,8.7
60,2019-03-02,울산,8.9
61,2019-03-03,울산,10.5
62,2019-03-04,울산,9.7
63,2019-03-05,울산,11.1
64,2019-03-06,울산,10.1
65,2019-03-07,울산,7.5
66,2019-03-08,울산,8.9
67,2019-03-09,울산,11.4
68,2019-03-10,울산,8.2
69,2019-03-11,울산,9.9
70,2019-03-12,울산,9.1
71,2019-03-13,울산,5.4
72,2019-03-14,울산,7.3
73,2019-03-15,울산,7.2
74,2019-03-16,울산,7.5
75,2019-03-17,울산,8.3
76,2019-03-18,울산,10.6
77,2019-03-19,울산,13.4
78,2019-03-20,울산,13.4
79,2019-03-21,울산,16.5
80,2019-03-22,울산,8.1
81,2019-03-23,울산,6.2
82,2019-03-24,울산,6.7
83,2019-03-25,울산,9.8
84,2019-03-26,울산,13.0
85,2019-03-27,울산,16.1
86,2019-03-28,울산,11.3
87,2019-03-29,울산,12.4
