,날짜,region,confirmed,death,충남일일확진자,충남일일사망자,사망률,충남 평균기온(℃)
0,2020-02-17,충남,0,0,0,0,0.0,-3.5
1,2020-02-18,충남,0,0,0,0,0.0,-2.4
2,2020-02-19,충남,0,0,0,0,0.0,1.3
3,2020-02-20,충남,0,0,0,0,0.0,4.1
4,2020-02-21,충남,1,0,1,0,0.0,6.4
5,2020-02-22,충남,1,0,0,0,0.0,5.6
6,2020-02-23,충남,1,0,0,0,0.0,2.2
7,2020-02-24,충남,1,0,0,0,0.0,6.1
8,2020-02-25,충남,2,0,1,0,0.0,6.8
9,2020-02-26,충남,3,0,1,0,0.0,6.6
10,2020-02-27,충남,12,0,9,0,0.0,4.8
11,2020-02-28,충남,35,0,23,0,0.0,4.4
12,2020-02-29,충남,55,0,20,0,0.0,6.9
13,2020-03-01,충남,68,0,13,0,0.0,5.1
14,2020-03-02,충남,78,0,10,0,0.0,4.4
15,2020-03-03,충남,81,0,3,0,0.0,5.3
16,2020-03-04,충남,82,0,1,0,0.0,3.1
17,2020-03-05,충남,86,0,4,0,0.0,1.6
18,2020-03-06,충남,90,0,4,0,0.0,2.7
19,2020-03-07,충남,92,0,2,0,0.0,4.7
20,2020-03-08,충남,98,0,6,0,0.0,6.9
21,2020-03-09,충남,102,0,4,0,0.0,8.1
22,2020-03-10,충남,104,0,2,0,0.0,6.2
23,2020-03-11,충남,112,0,8,0,0.0,3.8
24,2020-03-12,충남,114,0,2,0,0.0,5.2
25,2020-03-13,충남,115,0,1,0,0.0,5.2
26,2020-03-14,충남,115,0,0,0,0.0,4.3
27,2020-03-15,충남,115,0,0,0,0.0,4.4
28,2020-03-16,충남,115,0,0,0,0.0,3.3
29,2020-03-17,충남,115,0,0,0,0.0,6.2
30,2020-03-18,충남,118,0,3,0,0.0,8.7
31,2020-03-19,충남,118,0,0,0,0.0,9.4
32,2020-03-20,충남,119,0,1,0,0.0,7.9
33,2020-03-21,충남,119,0,0,0,0.0,12.3
34,2020-03-22,충남,120,0,1,0,0.0,11.2
35,2020-03-23,충남,120,0,0,0,0.0,8.2
36,2020-03-24,충남,120,0,0,0,0.0,8.8
37,2020-03-25,충남,123,0,3,0,0.0,11.4
38,2020-03-26,충남,124,0,1,0,0.0,13.4
39,2020-03-27,충남,124,0,0,0,0.0,10.1
40,2020-03-28,충남,126,0,2,0,0.0,6.4
41,2020-03-29,충남,127,0,1,0,0.0,6.8
42,2020-03-30,충남,127,0,0,0,0.0,9.0
43,2020-03-31,충남,128,0,1,0,0.0,10.1
44,2020-04-01,충남,131,0,3,0,0.0,9.9
45,2020-04-02,충남,133,0,2,0,0.0,8.0
46,2020-04-03,충남,134,0,1,0,0.0,8.3
47,2020-04-04,충남,135,0,1,0,0.0,8.0
48,2020-04-05,충남,135,0,0,0,0.0,5.9
49,2020-04-06,충남,136,0,1,0,0.0,7.5
50,2020-04-07,충남,137,0,1,0,0.0,9.5
51,2020-04-08,충남,137,0,0,0,0.0,8.2
52,2020-04-09,충남,138,0,1,0,0.0,7.9
53,2020-04-10,충남,138,0,0,0,0.0,8.9
54,2020-04-11,충남,138,0,0,0,0.0,7.1
55,2020-04-12,충남,139,0,1,0,0.0,7.8
56,2020-04-13,충남,139,0,0,0,0.0,9.8
57,2020-04-14,충남,139,0,0,0,0.0,10.2
58,2020-04-15,충남,139,0,0,0,0.0,10.6
59,2020-04-16,충남,139,0,0,0,0.0,13.9
60,2020-04-17,충남,139,0,0,0,0.0,13.3
61,2020-04-18,충남,141,0,2,0,0.0,12.0
62,2020-04-19,충남,141,0,0,0,0.0,10.7
63,2020-04-20,충남,141,0,0,0,0.0,10.0
64,2020-04-21,충남,141,0,0,0,0.0,8.0
65,2020-04-22,충남,141,0,0,0,0.0,7.2
66,2020-04-23,충남,141,0,0,0,0.0,8.2
