,날짜,region,confirmed,death,대전일일확진자,대전일일사망자,사망률,대전 평균기온(℃)
0,2020-02-17,대전,0,0,0,0,0.0,-3.2
1,2020-02-18,대전,0,0,0,0,0.0,-1.6
2,2020-02-19,대전,0,0,0,0,0.0,2.1
3,2020-02-20,대전,0,0,0,0,0.0,5.3
4,2020-02-21,대전,0,0,0,0,0.0,7.3
5,2020-02-22,대전,2,0,2,0,0.0,6.3
6,2020-02-23,대전,3,0,1,0,0.0,3.7
7,2020-02-24,대전,3,0,0,0,0.0,7.4
8,2020-02-25,대전,3,0,0,0,0.0,7.0
9,2020-02-26,대전,5,0,2,0,0.0,8.0
10,2020-02-27,대전,9,0,4,0,0.0,6.9
11,2020-02-28,대전,13,0,4,0,0.0,5.1
12,2020-02-29,대전,13,0,0,0,0.0,7.4
13,2020-03-01,대전,13,0,0,0,0.0,6.3
14,2020-03-02,대전,14,0,1,0,0.0,5.3
15,2020-03-03,대전,14,0,0,0,0.0,7.2
16,2020-03-04,대전,15,0,1,0,0.0,4.2
17,2020-03-05,대전,16,0,1,0,0.0,3.0
18,2020-03-06,대전,18,0,2,0,0.0,4.5
19,2020-03-07,대전,18,0,0,0,0.0,6.0
20,2020-03-08,대전,18,0,0,0,0.0,8.7
21,2020-03-09,대전,19,0,1,0,0.0,10.0
22,2020-03-10,대전,18,0,-1,0,0.0,6.8
23,2020-03-11,대전,18,0,0,0,0.0,4.8
24,2020-03-12,대전,20,0,2,0,0.0,7.0
25,2020-03-13,대전,22,0,2,0,0.0,6.6
26,2020-03-14,대전,22,0,0,0,0.0,4.7
27,2020-03-15,대전,22,0,0,0,0.0,5.4
28,2020-03-16,대전,22,0,0,0,0.0,4.4
29,2020-03-17,대전,22,0,0,0,0.0,7.8
30,2020-03-18,대전,22,0,0,0,0.0,10.4
31,2020-03-19,대전,22,0,0,0,0.0,10.4
32,2020-03-20,대전,22,0,0,0,0.0,9.6
33,2020-03-21,대전,22,0,0,0,0.0,14.6
34,2020-03-22,대전,24,0,2,0,0.0,13.2
35,2020-03-23,대전,24,0,0,0,0.0,10.2
36,2020-03-24,대전,24,0,0,0,0.0,11.4
37,2020-03-25,대전,24,0,0,0,0.0,13.6
38,2020-03-26,대전,30,0,6,0,0.0,14.2
39,2020-03-27,대전,31,0,1,0,0.0,11.9
40,2020-03-28,대전,31,0,0,0,0.0,7.5
41,2020-03-29,대전,34,0,3,0,0.0,8.9
42,2020-03-30,대전,34,0,0,0,0.0,12.2
43,2020-03-31,대전,36,0,2,0,0.0,12.6
44,2020-04-01,대전,36,0,0,0,0.0,11.6
45,2020-04-02,대전,36,0,0,0,0.0,10.1
46,2020-04-03,대전,36,0,0,0,0.0,11.0
47,2020-04-04,대전,36,0,0,0,0.0,9.5
48,2020-04-05,대전,37,0,1,0,0.0,8.0
49,2020-04-06,대전,39,0,2,0,0.0,9.7
50,2020-04-07,대전,39,0,0,0,0.0,11.5
51,2020-04-08,대전,39,0,0,0,0.0,10.1
52,2020-04-09,대전,39,0,0,0,0.0,9.6
53,2020-04-10,대전,39,0,0,0,0.0,10.9
54,2020-04-11,대전,39,0,0,0,0.0,8.9
55,2020-04-12,대전,39,0,0,0,0.0,8.6
56,2020-04-13,대전,39,0,0,0,0.0,10.7
57,2020-04-14,대전,39,0,0,0,0.0,12.9
58,2020-04-15,대전,39,0,0,0,0.0,12.8
59,2020-04-16,대전,39,0,0,0,0.0,16.0
60,2020-04-17,대전,40,0,1,0,0.0,14.3
61,2020-04-18,대전,39,0,-1,0,0.0,14.2
62,2020-04-19,대전,39,0,0,0,0.0,11.3
