,날짜,region,confirmed,death,경북일일확진자,경북일일사망자,사망률,경북 평균기온(℃)
0,2020-02-17,경북,0,0,0,0,0.0,-2.1
1,2020-02-18,경북,0,0,0,0,0.0,-1.1
2,2020-02-19,경북,3,0,3,0,0.0,3.1
3,2020-02-20,경북,25,1,22,1,4.0,5.0
4,2020-02-21,경북,28,1,3,0,3.57,7.5
5,2020-02-22,경북,145,1,117,0,0.69,7.3
6,2020-02-23,경북,170,3,25,2,1.76,4.2
7,2020-02-24,경북,193,5,23,2,2.59,7.6
8,2020-02-25,경북,249,6,56,1,2.41,6.5
9,2020-02-26,경북,317,6,68,0,1.89,7.0
10,2020-02-27,경북,345,6,28,0,1.74,4.5
11,2020-02-28,경북,409,6,64,0,1.47,3.5
12,2020-02-29,경북,488,6,79,0,1.23,6.1
13,2020-03-01,경북,555,6,67,0,1.08,8.1
14,2020-03-02,경북,624,6,69,0,0.96,6.0
15,2020-03-03,경북,685,6,61,0,0.88,6.2
16,2020-03-04,경북,774,6,89,0,0.78,5.3
17,2020-03-05,경북,861,6,87,0,0.7,2.8
18,2020-03-06,경북,984,10,123,4,1.02,4.3
19,2020-03-07,경북,1049,10,65,0,0.95,5.5
20,2020-03-08,경북,1081,12,32,2,1.11,7.5
21,2020-03-09,경북,1107,14,26,2,1.26,8.6
22,2020-03-10,경북,1117,14,10,0,1.25,8.5
23,2020-03-11,경북,1135,14,18,0,1.23,5.5
24,2020-03-12,경북,1143,16,8,2,1.4,8.0
25,2020-03-13,경북,1147,16,4,0,1.39,8.4
26,2020-03-14,경북,1153,17,6,1,1.47,5.8
27,2020-03-15,경북,1157,17,4,0,1.47,5.5
28,2020-03-16,경북,1164,17,7,0,1.46,5.2
29,2020-03-17,경북,1169,19,5,2,1.63,8.2
30,2020-03-18,경북,1178,21,9,2,1.78,10.1
31,2020-03-19,경북,1190,21,12,0,1.76,10.2
32,2020-03-20,경북,1203,22,13,1,1.83,10.7
33,2020-03-21,경북,1243,24,40,2,1.93,14.3
34,2020-03-22,경북,1254,24,11,0,1.91,12.4
35,2020-03-23,경북,1256,24,2,0,1.91,10.1
36,2020-03-24,경북,1257,26,1,2,2.07,9.3
37,2020-03-25,경북,1262,28,5,2,2.22,11.5
38,2020-03-26,경북,1274,30,12,2,2.35,13.3
39,2020-03-27,경북,1283,34,9,4,2.65,12.4
40,2020-03-28,경북,1285,35,2,1,2.72,7.6
41,2020-03-29,경북,1287,37,2,2,2.87,7.3
42,2020-03-30,경북,1298,38,11,1,2.93,10.1
43,2020-03-31,경북,1300,38,2,0,2.92,11.3
44,2020-04-01,경북,1302,39,2,1,3.0,11.8
45,2020-04-02,경북,1304,41,2,2,3.14,10.8
46,2020-04-03,경북,1309,42,5,1,3.21,12.7
47,2020-04-04,경북,1310,44,1,2,3.36,9.8
48,2020-04-05,경북,1314,44,4,0,3.35,7.5
49,2020-04-06,경북,1316,45,2,1,3.42,10.2
50,2020-04-07,경북,1317,46,1,1,3.49,13.6
51,2020-04-08,경북,1320,46,3,0,3.48,10.2
52,2020-04-09,경북,1320,47,0,1,3.56,9.1
53,2020-04-10,경북,1327,48,7,1,3.62,9.9
54,2020-04-11,경북,1330,48,3,0,3.61,10.4
55,2020-04-12,경북,1333,49,3,1,3.68,8.8
56,2020-04-13,경북,1337,50,4,1,3.74,9.3
57,2020-04-14,경북,1342,50,5,0,3.73,13.1
58,2020-04-15,경북,1348,50,6,0,3.71,14.0
59,2020-04-16,경북,1352,50,4,0,3.7,12.2
60,2020-04-17,경북,1356,50,4,0,3.69,10.7
61,2020-04-18,경북,1358,51,2,1,3.76,12.4
62,2020-04-19,경북,1359,51,1,0,3.75,10.5
63,2020-04-20,경북,1361,51,2,0,3.75,12.5
64,2020-04-21,경북,1361,51,0,0,3.75,10.1
65,2020-04-22,경북,1363,51,2,0,3.74,7.7
66,2020-04-23,경북,1363,52,0,1,3.82,9.1
67,2020-04-24,경북,1364,52,1,0,3.81,10.9
68,2020-04-25,경북,1364,52,0,0,3.81,15.2
69,2020-04-26,경북,1364,52,0,0,3.81,12.2
70,2020-04-27,경북,1364,52,0,0,3.81,11.3
71,2020-04-28,경북,1365,52,1,0,3.81,14.4
72,2020-04-29,경북,1365,52,0,0,3.81,16.7
73,2020-04-30,경북,1365,52,0,0,3.81,18.8
74,2020-05-01,경북,1366,52,1,0,3.81,22.6
75,2020-05-02,경북,1366,52,0,0,3.81,22.9
76,2020-05-03,경북,1366,52,0,0,3.81,17.7
77,2020-05-04,경북,1366,53,0,1,3.88,20.0
78,2020-05-05,경북,1366,53,0,0,3.88,15.5
79,2020-05-06,경북,1366,53,0,0,3.88,16.1
80,2020-05-07,경북,1366,53,0,0,3.88,14.6
81,2020-05-08,경북,1366,53,0,0,3.88,16.4
82,2020-05-09,경북,1366,53,0,0,3.88,16.0
83,2020-05-10,경북,1366,53,0,0,3.88,17.6
84,2020-05-11,경북,1366,53,0,0,3.88,20.2
85,2020-05-12,경북,1367,54,1,1,3.95,18.7
86,2020-05-13,경북,1367,54,0,0,3.95,17.8
87,2020-05-14,경북,1368,54,1,0,3.95,19.5
88,2020-05-15,경북,1368,54,0,0,3.95,15.4
89,2020-05-16,경북,1368,54,0,0,3.95,17.6
90,2020-05-17,경북,1368,54,0,0,3.95,19.9
91,2020-05-18,경북,1368,54,0,0,3.95,18.0
92,2020-05-19,경북,1368,54,0,0,3.95,14.5
93,2020-05-20,경북,1368,54,0,0,3.95,13.2
94,2020-05-21,경북,1368,54,0,0,3.95,14.4
95,2020-05-22,경북,1370,54,2,0,3.94,15.7
96,2020-05-23,경북,1370,54,0,0,3.94,17.7
97,2020-05-24,경북,1376,54,6,0,3.92,19.9
98,2020-05-25,경북,1377,54,1,0,3.92,19.1
99,2020-05-26,경북,1378,54,1,0,3.92,19.8
100,2020-05-27,경북,1378,54,0,0,3.92,19.0
101,2020-05-28,경북,1379,54,1,0,3.92,18.9
102,2020-05-29,경북,1379,54,0,0,3.92,18.8
103,2020-05-30,경북,1379,54,0,0,3.92,19.7
104,2020-05-31,경북,1379,54,0,0,3.92,20.5
105,2020-06-01,경북,1379,54,0,0,3.92,22.4
106,2020-06-02,경북,1379,54,0,0,3.92,20.8
