,날짜,region,confirmed,death,경기일일확진자,경기일일사망자,사망률,경기 평균기온(℃)
0,2020-02-17,경기,11,0,0,0,0.0,-6.6
1,2020-02-18,경기,11,0,0,0,0.0,-5.1
2,2020-02-19,경기,12,0,1,0,0.0,-0.9
3,2020-02-20,경기,12,0,0,0,0.0,2.7
4,2020-02-21,경기,14,0,2,0,0.0,5.1
5,2020-02-22,경기,20,0,6,0,0.0,2.9
6,2020-02-23,경기,24,0,4,0,0.0,1.3
7,2020-02-24,경기,35,0,11,0,0.0,5.7
8,2020-02-25,경기,42,0,7,0,0.0,5.4
9,2020-02-26,경기,51,1,9,1,1.96,4.4
10,2020-02-27,경기,62,1,11,0,1.61,4.6
11,2020-02-28,경기,72,1,10,0,1.39,2.6
12,2020-02-29,경기,82,1,10,0,1.22,5.8
13,2020-03-01,경기,89,1,7,0,1.12,4.4
14,2020-03-02,경기,92,1,3,0,1.09,2.5
15,2020-03-03,경기,94,1,2,0,1.06,3.7
16,2020-03-04,경기,101,1,7,0,0.99,1.6
17,2020-03-05,경기,110,1,9,0,0.91,0.7
18,2020-03-06,경기,120,1,10,0,0.83,2.1
19,2020-03-07,경기,130,1,10,0,0.77,5.0
20,2020-03-08,경기,141,1,11,0,0.71,7.4
21,2020-03-09,경기,152,1,11,0,0.66,9.4
22,2020-03-10,경기,163,1,11,0,0.61,5.7
23,2020-03-11,경기,175,1,12,0,0.57,3.3
24,2020-03-12,경기,178,1,3,0,0.56,6.0
25,2020-03-13,경기,185,2,7,1,1.08,4.4
26,2020-03-14,경기,200,3,15,1,1.5,3.1
27,2020-03-15,경기,211,3,11,0,1.42,2.9
28,2020-03-16,경기,231,3,20,0,1.3,2.4
29,2020-03-17,경기,262,3,31,0,1.15,5.4
30,2020-03-18,경기,277,3,15,0,1.08,8.8
31,2020-03-19,경기,295,3,18,0,1.02,8.7
32,2020-03-20,경기,309,3,14,0,0.97,7.8
33,2020-03-21,경기,321,3,12,0,0.93,12.2
34,2020-03-22,경기,337,3,16,0,0.89,10.4
35,2020-03-23,경기,351,3,14,0,0.85,9.5
36,2020-03-24,경기,366,4,15,1,1.09,10.1
37,2020-03-25,경기,387,4,21,0,1.03,10.8
38,2020-03-26,경기,401,4,14,0,1.0,13.3
39,2020-03-27,경기,412,4,11,0,0.97,11.9
40,2020-03-28,경기,433,5,21,1,1.15,7.2
41,2020-03-29,경기,448,5,15,0,1.12,7.3
42,2020-03-30,경기,463,5,15,0,1.08,8.9
43,2020-03-31,경기,476,6,13,1,1.26,10.6
44,2020-04-01,경기,499,6,23,0,1.2,10.9
45,2020-04-02,경기,516,6,17,0,1.16,8.1
46,2020-04-03,경기,539,6,23,0,1.11,9.2
