,날짜,region,confirmed,death,경남일일확진자,경남일일사망자,사망률,경남 평균기온(℃)
0,2020-02-17,경남,0,0,0,0,0.0,-1.0
1,2020-02-18,경남,0,0,0,0,0.0,0.2
2,2020-02-19,경남,0,0,0,0,0.0,3.9
3,2020-02-20,경남,3,0,3,0,0.0,6.3
4,2020-02-21,경남,7,0,4,0,0.0,8.2
5,2020-02-22,경남,7,0,0,0,0.0,8.3
6,2020-02-23,경남,17,0,10,0,0.0,4.6
7,2020-02-24,경남,20,0,3,0,0.0,8.2
8,2020-02-25,경남,23,0,3,0,0.0,7.9
9,2020-02-26,경남,34,0,11,0,0.0,9.1
10,2020-02-27,경남,43,0,9,0,0.0,6.3
11,2020-02-28,경남,49,0,6,0,0.0,5.0
12,2020-02-29,경남,59,0,10,0,0.0,7.0
13,2020-03-01,경남,63,0,4,0,0.0,9.1
14,2020-03-02,경남,64,0,1,0,0.0,7.1
15,2020-03-03,경남,64,0,0,0,0.0,7.0
16,2020-03-04,경남,65,0,1,0,0.0,6.1
17,2020-03-05,경남,74,0,9,0,0.0,3.6
18,2020-03-06,경남,77,0,3,0,0.0,5.5
19,2020-03-07,경남,82,0,5,0,0.0,5.5
20,2020-03-08,경남,83,0,1,0,0.0,8.3
21,2020-03-09,경남,83,0,0,0,0.0,8.5
22,2020-03-10,경남,83,0,0,0,0.0,9.0
23,2020-03-11,경남,84,0,1,0,0.0,6.2
24,2020-03-12,경남,85,0,1,0,0.0,7.2
25,2020-03-13,경남,85,0,0,0,0.0,9.5
26,2020-03-14,경남,85,0,0,0,0.0,6.6
27,2020-03-15,경남,85,0,0,0,0.0,6.6
28,2020-03-16,경남,85,0,0,0,0.0,5.6
29,2020-03-17,경남,86,0,1,0,0.0,10.0
30,2020-03-18,경남,86,0,0,0,0.0,10.7
31,2020-03-19,경남,86,0,0,0,0.0,10.7
32,2020-03-20,경남,87,0,1,0,0.0,10.4
33,2020-03-21,경남,87,0,0,0,0.0,13.6
34,2020-03-22,경남,88,0,1,0,0.0,14.3
35,2020-03-23,경남,89,0,1,0,0.0,12.0
36,2020-03-24,경남,90,0,1,0,0.0,10.3
37,2020-03-25,경남,90,0,0,0,0.0,11.9
38,2020-03-26,경남,90,0,0,0,0.0,11.7
39,2020-03-27,경남,91,0,1,0,0.0,13.7
40,2020-03-28,경남,91,0,0,0,0.0,8.4
41,2020-03-29,경남,94,0,3,0,0.0,9.0
42,2020-03-30,경남,95,0,1,0,0.0,11.6
43,2020-03-31,경남,96,0,1,0,0.0,12.2
44,2020-04-01,경남,100,0,4,0,0.0,12.5
45,2020-04-02,경남,106,0,6,0,0.0,10.4
46,2020-04-03,경남,107,0,1,0,0.0,12.2
47,2020-04-04,경남,108,0,1,0,0.0,11.4
48,2020-04-05,경남,109,0,1,0,0.0,8.5
49,2020-04-06,경남,111,0,2,0,0.0,10.3
50,2020-04-07,경남,112,0,1,0,0.0,13.8
51,2020-04-08,경남,113,0,1,0,0.0,12.5
52,2020-04-09,경남,115,0,2,0,0.0,10.4
53,2020-04-10,경남,115,0,0,0,0.0,9.7
54,2020-04-11,경남,115,0,0,0,0.0,9.2
55,2020-04-12,경남,115,0,0,0,0.0,8.8
56,2020-04-13,경남,115,0,0,0,0.0,9.7
57,2020-04-14,경남,115,0,0,0,0.0,12.9
58,2020-04-15,경남,115,0,0,0,0.0,12.9
59,2020-04-16,경남,115,0,0,0,0.0,12.6
60,2020-04-17,경남,115,0,0,0,0.0,10.8
61,2020-04-18,경남,116,0,1,0,0.0,13.6
62,2020-04-19,경남,116,0,0,0,0.0,11.1
63,2020-04-20,경남,116,0,0,0,0.0,13.4
64,2020-04-21,경남,116,0,0,0,0.0,11.2
65,2020-04-22,경남,117,0,1,0,0.0,8.2
66,2020-04-23,경남,117,0,0,0,0.0,9.4
67,2020-04-24,경남,117,0,0,0,0.0,10.9
68,2020-04-25,경남,117,0,0,0,0.0,14.5
69,2020-04-26,경남,117,0,0,0,0.0,13.5
70,2020-04-27,경남,117,0,0,0,0.0,12.6
71,2020-04-28,경남,117,0,0,0,0.0,13.5
72,2020-04-29,경남,117,0,0,0,0.0,15.6
73,2020-04-30,경남,117,0,0,0,0.0,16.9
74,2020-05-01,경남,117,0,0,0,0.0,20.0
75,2020-05-02,경남,117,0,0,0,0.0,19.8
76,2020-05-03,경남,117,0,0,0,0.0,16.7
77,2020-05-04,경남,117,0,0,0,0.0,20.6
78,2020-05-05,경남,117,0,0,0,0.0,16.7
79,2020-05-06,경남,117,0,0,0,0.0,18.4
80,2020-05-07,경남,117,0,0,0,0.0,16.1
81,2020-05-08,경남,117,0,0,0,0.0,16.3
82,2020-05-09,경남,117,0,0,0,0.0,16.7
83,2020-05-10,경남,117,0,0,0,0.0,18.2
84,2020-05-11,경남,117,0,0,0,0.0,20.0
85,2020-05-12,경남,118,0,1,0,0.0,18.7
86,2020-05-13,경남,119,0,1,0,0.0,17.4
87,2020-05-14,경남,119,0,0,0,0.0,18.6
88,2020-05-15,경남,119,0,0,0,0.0,15.6
89,2020-05-16,경남,119,0,0,0,0.0,18.9
90,2020-05-17,경남,121,0,2,0,0.0,19.6
91,2020-05-18,경남,121,0,0,0,0.0,17.6
92,2020-05-19,경남,121,0,0,0,0.0,15.0
93,2020-05-20,경남,121,0,0,0,0.0,15.6
94,2020-05-21,경남,121,0,0,0,0.0,15.9
95,2020-05-22,경남,122,0,1,0,0.0,16.6
96,2020-05-23,경남,123,0,1,0,0.0,17.6
97,2020-05-24,경남,123,0,0,0,0.0,19.5
98,2020-05-25,경남,123,0,0,0,0.0,19.2
99,2020-05-26,경남,123,0,0,0,0.0,19.5
100,2020-05-27,경남,123,0,0,0,0.0,19.7
101,2020-05-28,경남,123,0,0,0,0.0,19.6
102,2020-05-29,경남,123,0,0,0,0.0,20.1
103,2020-05-30,경남,123,0,0,0,0.0,20.0
104,2020-05-31,경남,123,0,0,0,0.0,20.2
105,2020-06-01,경남,123,0,0,0,0.0,22.1
106,2020-06-02,경남,123,0,0,0,0.0,20.9
107,2020-06-03,경남,123,0,0,0,0.0,21.7
108,2020-06-04,경남,123,0,0,0,0.0,24.6
109,2020-06-05,경남,123,0,0,0,0.0,24.4
110,2020-06-06,경남,124,0,1,0,0.0,22.0
111,2020-06-07,경남,124,0,0,0,0.0,22.5
112,2020-06-08,경남,124,0,0,0,0.0,23.8
113,2020-06-09,경남,125,0,1,0,0.0,24.9
114,2020-06-10,경남,127,0,2,0,0.0,25.0
115,2020-06-11,경남,127,0,0,0,0.0,24.3
116,2020-06-12,경남,127,0,0,0,0.0,24.2
117,2020-06-13,경남,127,0,0,0,0.0,22.9
118,2020-06-14,경남,127,0,0,0,0.0,24.2
119,2020-06-15,경남,130,0,3,0,0.0,24.1
120,2020-06-16,경남,132,0,2,0,0.0,23.6
121,2020-06-17,경남,132,0,0,0,0.0,21.8
122,2020-06-18,경남,132,0,0,0,0.0,18.2
123,2020-06-19,경남,132,0,0,0,0.0,22.0
124,2020-06-20,경남,132,0,0,0,0.0,22.1
125,2020-06-21,경남,133,0,1,0,0.0,22.3
126,2020-06-22,경남,133,0,0,0,0.0,23.1
127,2020-06-23,경남,133,0,0,0,0.0,23.8
