,날짜,region,confirmed,death,울산일일확진자,울산일일사망자,사망률,울산 평균기온(℃)
0,2020-02-17,울산,0,0,0,0,0.0,-0.3
1,2020-02-18,울산,0,0,0,0,0.0,0.4
2,2020-02-19,울산,0,0,0,0,0.0,5.2
3,2020-02-20,울산,0,0,0,0,0.0,7.4
4,2020-02-21,울산,0,0,0,0,0.0,9.6
5,2020-02-22,울산,1,0,1,0,0.0,9.6
6,2020-02-23,울산,1,0,0,0,0.0,5.6
7,2020-02-24,울산,2,0,1,0,0.0,10.8
8,2020-02-25,울산,3,0,1,0,0.0,7.9
9,2020-02-26,울산,4,0,1,0,0.0,8.5
10,2020-02-27,울산,11,0,7,0,0.0,5.5
11,2020-02-28,울산,14,0,3,0,0.0,4.7
12,2020-02-29,울산,17,0,3,0,0.0,7.5
13,2020-03-01,울산,20,0,3,0,0.0,9.4
14,2020-03-02,울산,20,0,0,0,0.0,7.3
15,2020-03-03,울산,20,0,0,0,0.0,7.1
16,2020-03-04,울산,23,0,3,0,0.0,6.6
17,2020-03-05,울산,23,0,0,0,0.0,3.7
18,2020-03-06,울산,23,0,0,0,0.0,6.8
19,2020-03-07,울산,23,0,0,0,0.0,7.3
20,2020-03-08,울산,24,0,1,0,0.0,8.7
21,2020-03-09,울산,24,0,0,0,0.0,9.3
22,2020-03-10,울산,24,0,0,0,0.0,9.9
23,2020-03-11,울산,25,0,1,0,0.0,6.6
24,2020-03-12,울산,25,0,0,0,0.0,9.3
25,2020-03-13,울산,27,0,2,0,0.0,10.6
26,2020-03-14,울산,27,0,0,0,0.0,7.0
27,2020-03-15,울산,28,0,1,0,0.0,6.6
28,2020-03-16,울산,28,0,0,0,0.0,5.9
29,2020-03-17,울산,28,0,0,0,0.0,11.2
30,2020-03-18,울산,30,0,2,0,0.0,12.2
31,2020-03-19,울산,36,0,6,0,0.0,13.4
32,2020-03-20,울산,36,0,0,0,0.0,11.6
33,2020-03-21,울산,36,0,0,0,0.0,15.5
34,2020-03-22,울산,36,0,0,0,0.0,13.1
35,2020-03-23,울산,36,0,0,0,0.0,12.0
36,2020-03-24,울산,36,0,0,0,0.0,10.1
37,2020-03-25,울산,37,0,1,0,0.0,11.9
38,2020-03-26,울산,37,0,0,0,0.0,13.2
39,2020-03-27,울산,39,0,2,0,0.0,13.4
40,2020-03-28,울산,39,0,0,0,0.0,8.5
41,2020-03-29,울산,39,0,0,0,0.0,8.7
42,2020-03-30,울산,39,0,0,0,0.0,10.6
43,2020-03-31,울산,39,0,0,0,0.0,11.3
44,2020-04-01,울산,39,1,0,1,2.56,11.8
45,2020-04-02,울산,40,1,1,0,2.5,11.0
46,2020-04-03,울산,40,1,0,0,2.5,13.6
47,2020-04-04,울산,40,1,0,0,2.5,11.2
48,2020-04-05,울산,40,1,0,0,2.5,8.7
49,2020-04-06,울산,40,1,0,0,2.5,11.3
50,2020-04-07,울산,40,1,0,0,2.5,14.6
51,2020-04-08,울산,40,1,0,0,2.5,12.1
52,2020-04-09,울산,40,1,0,0,2.5,10.1
53,2020-04-10,울산,40,1,0,0,2.5,9.4
54,2020-04-11,울산,41,1,1,0,2.44,10.2
55,2020-04-12,울산,41,1,0,0,2.44,8.8
56,2020-04-13,울산,41,1,0,0,2.44,9.8
57,2020-04-14,울산,42,1,1,0,2.38,14.4
58,2020-04-15,울산,42,1,0,0,2.38,14.8
59,2020-04-16,울산,42,1,0,0,2.38,12.0
60,2020-04-17,울산,42,1,0,0,2.38,11.4
61,2020-04-18,울산,42,1,0,0,2.38,13.2
62,2020-04-19,울산,42,1,0,0,2.38,11.4
63,2020-04-20,울산,43,1,1,0,2.33,14.6
64,2020-04-21,울산,43,1,0,0,2.33,12.1
65,2020-04-22,울산,43,1,0,0,2.33,8.8
66,2020-04-23,울산,43,1,0,0,2.33,9.9
67,2020-04-24,울산,43,1,0,0,2.33,11.9
68,2020-04-25,울산,43,1,0,0,2.33,15.9
69,2020-04-26,울산,43,1,0,0,2.33,12.5
70,2020-04-27,울산,43,1,0,0,2.33,12.7
71,2020-04-28,울산,43,1,0,0,2.33,13.8
72,2020-04-29,울산,43,1,0,0,2.33,16.7
73,2020-04-30,울산,43,1,0,0,2.33,19.0
74,2020-05-01,울산,43,1,0,0,2.33,21.9
75,2020-05-02,울산,43,1,0,0,2.33,21.6
76,2020-05-03,울산,43,1,0,0,2.33,16.8
77,2020-05-04,울산,44,1,1,0,2.27,19.5
78,2020-05-05,울산,44,1,0,0,2.27,15.4
79,2020-05-06,울산,44,1,0,0,2.27,16.7
80,2020-05-07,울산,44,1,0,0,2.27,14.5
81,2020-05-08,울산,44,1,0,0,2.27,16.7
82,2020-05-09,울산,44,1,0,0,2.27,16.8
83,2020-05-10,울산,44,1,0,0,2.27,19.4
84,2020-05-11,울산,44,1,0,0,2.27,21.6
85,2020-05-12,울산,44,1,0,0,2.27,19.9
86,2020-05-13,울산,45,1,1,0,2.22,18.6
87,2020-05-14,울산,45,1,0,0,2.22,20.5
88,2020-05-15,울산,45,1,0,0,2.22,16.2
89,2020-05-16,울산,45,1,0,0,2.22,17.9
90,2020-05-17,울산,45,1,0,0,2.22,18.1
91,2020-05-18,울산,45,1,0,0,2.22,17.1
92,2020-05-19,울산,49,1,4,0,2.04,16.3
93,2020-05-20,울산,49,1,0,0,2.04,13.8
94,2020-05-21,울산,49,1,0,0,2.04,14.0
95,2020-05-22,울산,50,1,1,0,2.0,14.1
96,2020-05-23,울산,50,1,0,0,2.0,16.6
97,2020-05-24,울산,50,1,0,0,2.0,20.9
98,2020-05-25,울산,50,1,0,0,2.0,20.1
99,2020-05-26,울산,50,1,0,0,2.0,19.8
100,2020-05-27,울산,50,1,0,0,2.0,19.2
101,2020-05-28,울산,50,1,0,0,2.0,19.6
102,2020-05-29,울산,50,1,0,0,2.0,18.9
103,2020-05-30,울산,50,1,0,0,2.0,19.6
104,2020-05-31,울산,52,1,2,0,1.92,20.1
105,2020-06-01,울산,52,1,0,0,1.92,22.8
106,2020-06-02,울산,52,1,0,0,1.92,21.5
107,2020-06-03,울산,52,1,0,0,1.92,23.2
108,2020-06-04,울산,52,1,0,0,1.92,24.7
109,2020-06-05,울산,52,1,0,0,1.92,23.2
110,2020-06-06,울산,52,1,0,0,1.92,19.7
111,2020-06-07,울산,53,1,1,0,1.89,20.3
112,2020-06-08,울산,53,1,0,0,1.89,23.1
113,2020-06-09,울산,53,1,0,0,1.89,23.7
114,2020-06-10,울산,53,1,0,0,1.89,24.2
115,2020-06-11,울산,53,1,0,0,1.89,23.7
116,2020-06-12,울산,53,1,0,0,1.89,23.7
117,2020-06-13,울산,53,1,0,0,1.89,22.7
118,2020-06-14,울산,53,1,0,0,1.89,24.8
119,2020-06-15,울산,53,1,0,0,1.89,25.4
120,2020-06-16,울산,53,1,0,0,1.89,22.7
121,2020-06-17,울산,53,1,0,0,1.89,21.8
122,2020-06-18,울산,53,1,0,0,1.89,18.6
123,2020-06-19,울산,53,1,0,0,1.89,21.2
124,2020-06-20,울산,53,1,0,0,1.89,20.9
125,2020-06-21,울산,53,1,0,0,1.89,20.0
126,2020-06-22,울산,53,1,0,0,1.89,22.3
127,2020-06-23,울산,53,1,0,0,1.89,23.3
128,2020-06-24,울산,55,1,2,0,1.82,22.6
